,why,did,tesla,want,funds,from,morgan,?
over,0.27820903062820435,0.2535076439380646,0.16356024146080017,0.23625460267066956,0.2200595736503601,0.37539660930633545,0.12064848840236664,0.25742942094802856
the,0.30742117762565613,0.34736719727516174,0.1324402391910553,0.3003826439380646,0.23871955275535583,0.40150508284568787,0.2054959386587143,0.22068053483963013
next,0.18889206647872925,0.22386232018470764,0.11633504927158356,0.25218722224235535,0.09720474481582642,0.19093751907348633,0.18835830688476562,0.167460098862648
five,0.19245602190494537,0.1999429613351822,0.12380130589008331,0.14137178659439087,0.19083921611309052,0.24532808363437653,0.11378998309373856,0.18342848122119904
years,0.2000180333852768,0.2695724070072174,0.11282773315906525,0.14151804149150848,0.21771134436130524,0.31063511967658997,0.09047259390354156,0.1914375126361847
",",0.2827242314815521,0.3015086054801941,0.20599327981472015,0.30747702717781067,0.20136137306690216,0.39760664105415344,0.2837265133857727,0.31091248989105225
tesla,0.1375875622034073,0.09757418930530548,0.9999999403953552,0.13094691932201385,0.17212091386318207,0.10324860364198685,0.1387946456670761,0.10250775516033173
wrote,0.23921993374824524,0.3485160768032074,0.13169313967227936,0.2177027016878128,0.08605800569057465,0.16906718909740448,0.20191584527492523,0.19322504103183746
over,0.27820903062820435,0.2535076439380646,0.16356024146080017,0.23625460267066956,0.2200595736503601,0.37539660930633545,0.12064848840236664,0.25742942094802856
50,0.007107708603143692,0.03749820590019226,-0.053768038749694824,0.08966627717018127,-0.038049157708883286,0.014360516332089901,-0.022903641685843468,0.030512850731611252
letters,0.1633528769016266,0.1800529956817627,0.14245650172233582,0.17960980534553528,0.19638991355895996,0.16431336104869843,0.17959539592266083,0.18739263713359833
to,0.4100138247013092,0.4452643394470215,0.17548894882202148,0.4966742694377899,0.33157411217689514,0.4069952368736267,0.16705390810966492,0.29463258385658264
morgan,0.10798878967761993,0.20618073642253876,0.1387946456670761,0.17223329842090607,0.146619975566864,0.16856181621551514,1.0,0.09039338678121567
",",0.2827242314815521,0.3015086054801941,0.20599327981472015,0.30747702717781067,0.20136137306690216,0.39760664105415344,0.2837265133857727,0.31091248989105225
pleading,0.2744555175304413,0.2999393343925476,0.14796079695224762,0.33053532242774963,0.3801875412464142,0.1853245496749878,0.2473645806312561,0.28710174560546875
for,0.3869043290615082,0.318512886762619,0.13983871042728424,0.2998926341533661,0.3407641053199768,0.314039945602417,0.17865847051143646,0.264628142118454
and,0.27806392312049866,0.34479495882987976,0.19560420513153076,0.34348347783088684,0.24975134432315826,0.3601827025413513,0.2510843276977539,0.20544172823429108
demanding,0.2230418622493744,0.3604845106601715,0.2274867743253708,0.30476289987564087,0.3533483147621155,0.23468679189682007,0.20848549902439117,0.11861293762922287
additional,0.17980585992336273,0.20902137458324432,0.17880655825138092,0.2495921552181244,0.20038504898548126,0.13113704323768616,0.16056635975837708,0.24309562146663666
funding,0.21238426864147186,0.24792753159999847,0.17594441771507263,0.3135058879852295,0.730065643787384,0.27866506576538086,0.17370948195457458,0.1842934638261795
to,0.4100138247013092,0.4452643394470215,0.17548894882202148,0.4966742694377899,0.33157411217689514,0.4069952368736267,0.16705390810966492,0.29463258385658264
complete,0.19267037510871887,0.2538607120513916,0.13203854858875275,0.2520000636577606,0.22674958407878876,0.21847596764564514,0.1592215895652771,0.11962060630321503
the,0.30742117762565613,0.34736719727516174,0.1324402391910553,0.3003826439380646,0.23871955275535583,0.40150508284568787,0.2054959386587143,0.22068053483963013
construction,0.11226168274879456,0.1474381983280182,0.228234201669693,0.09862440079450607,0.3414927124977112,0.15699175000190735,0.1936461478471756,0.13494056463241577
of,0.28464117646217346,0.2513895630836487,0.18837453424930573,0.2645295262336731,0.24558281898498535,0.4249346852302551,0.15910735726356506,0.1826142966747284
wardenclyffe,0.2215142399072647,0.2182881236076355,0.14223843812942505,0.27533355355262756,0.26979127526283264,0.209026038646698,0.3474668860435486,0.22984455525875092
.,0.32909876108169556,0.35288307070732117,0.17949827015399933,0.31944841146469116,0.19765421748161316,0.41536515951156616,0.235212042927742,0.4130953550338745
