,the,flushing,action,of,what,expels,pathogens,from,the,eyes,?
the,1.0,0.30757391452789307,0.28415048122406006,0.733189046382904,0.42745697498321533,0.25529494881629944,0.23115308582782745,0.40150508284568787,1.0,0.24057909846305847,0.22068053483963013
flushing,0.30757391452789307,1.0,0.17395788431167603,0.2553960084915161,0.19249066710472107,0.10807234793901443,0.21456745266914368,0.1968126893043518,0.30757391452789307,0.29003363847732544,0.14536088705062866
action,0.28415048122406006,0.17395788431167603,1.0,0.23570318520069122,0.30170392990112305,0.1318412870168686,0.21101218461990356,0.14448009431362152,0.28415048122406006,0.13358646631240845,0.250188946723938
of,0.733189046382904,0.2553960084915161,0.23570318520069122,1.0,0.33290785551071167,0.25898832082748413,0.22946582734584808,0.4249346852302551,0.733189046382904,0.1866634339094162,0.1826142966747284
tears,0.24051350355148315,0.29541659355163574,0.16841405630111694,0.22679205238819122,0.2509855031967163,0.2498694658279419,0.2309032678604126,0.2464994639158249,0.24051350355148315,0.42545285820961,0.15044362843036652
and,0.5171257257461548,0.3069579005241394,0.25631651282310486,0.5116966962814331,0.31309178471565247,0.2951711416244507,0.21800068020820618,0.3601827025413513,0.5171257257461548,0.30207008123397827,0.20544172823429108
urine,0.22975634038448334,0.2860589027404785,0.13179609179496765,0.19867825508117676,0.21326909959316254,0.2837361991405487,0.45588114857673645,0.21597111225128174,0.22975634038448334,0.3076876401901245,0.16043098270893097
also,0.6021018624305725,0.24104203283786774,0.24688886106014252,0.4924938678741455,0.42747777700424194,0.2268722653388977,0.2463332712650299,0.33783096075057983,0.6021018624305725,0.25592559576034546,0.21848613023757935
mechanically,0.32439124584198,0.21410952508449554,0.20963144302368164,0.2882295250892639,0.2510342001914978,0.1759851574897766,0.2787884473800659,0.15522992610931396,0.32439124584198,0.16196295619010925,0.1182527095079422
expels,0.25529494881629944,0.10807234793901443,0.1318412870168686,0.25898832082748413,0.15712037682533264,1.0,0.263929545879364,0.3099450170993805,0.25529494881629944,0.23608176410198212,0.05435362458229065
pathogens,0.23115308582782745,0.21456745266914368,0.21101218461990356,0.22946582734584808,0.24503889679908752,0.263929545879364,1.0,0.20573127269744873,0.23115308582782745,0.26304519176483154,0.21364152431488037
",",0.4933079481124878,0.37093639373779297,0.22599565982818604,0.4946078956127167,0.3087472915649414,0.18806324899196625,0.20320750772953033,0.39760664105415344,0.4933079481124878,0.27599993348121643,0.31091248989105225
while,0.39804592728614807,0.255595862865448,0.22556671500205994,0.3366928696632385,0.35511791706085205,0.3412688970565796,0.17669670283794403,0.35008183121681213,0.39804592728614807,0.2468528300523758,0.21076419949531555
mucus,0.2608017325401306,0.2764061987400055,0.20580433309078217,0.23427817225456238,0.2653682231903076,0.28963702917099,0.6337404251098633,0.2791934311389923,0.2608017325401306,0.33884698152542114,0.24662978947162628
secreted,0.290791392326355,0.2466929405927658,0.1862691193819046,0.2680227756500244,0.1878325343132019,0.3675535321235657,0.6070496439933777,0.26910027861595154,0.290791392326355,0.311299592256546,0.11639850586652756
by,0.4408751428127289,0.14038027822971344,0.23816438019275665,0.3646814823150635,0.2455483376979828,0.21649660170078278,0.20554135739803314,0.3373257517814636,0.4408751428127289,0.16266442835330963,0.17966607213020325
the,1.0,0.30757391452789307,0.28415048122406006,0.733189046382904,0.42745697498321533,0.25529494881629944,0.23115308582782745,0.40150508284568787,1.0,0.24057909846305847,0.22068053483963013
respiratory,0.22238017618656158,0.2576145827770233,0.13056528568267822,0.26080000400543213,0.11584015935659409,0.28852227330207825,0.42906245589256287,0.28266429901123047,0.22238017618656158,0.26884153485298157,0.10154426842927933
and,0.5171257257461548,0.3069579005241394,0.25631651282310486,0.5116966962814331,0.31309178471565247,0.2951711416244507,0.21800068020820618,0.3601827025413513,0.5171257257461548,0.30207008123397827,0.20544172823429108
gastrointestinal,0.2552933990955353,0.28805139660835266,0.14605382084846497,0.28050732612609863,0.2256762981414795,0.28948837518692017,0.6034079194068909,0.27249109745025635,0.2552933990955353,0.3348759710788727,0.20382177829742432
tract,0.2717020511627197,0.22855885326862335,0.1539291888475418,0.20875340700149536,0.23493309319019318,0.20307937264442444,0.4035767614841461,0.25547346472740173,0.2717020511627197,0.20804856717586517,0.1459975689649582
serves,0.3302452266216278,0.1391148716211319,0.14787332713603973,0.3168865740299225,0.18323971331119537,0.2298073023557663,0.13312894105911255,0.1953769326210022,0.3302452266216278,0.10062527656555176,0.11498242616653442
to,0.535392165184021,0.2108556181192398,0.24674110114574432,0.41548454761505127,0.455847829580307,0.34294748306274414,0.26178881525993347,0.4069952368736267,0.535392165184021,0.18490970134735107,0.29463258385658264
trap,0.2515074908733368,0.21570122241973877,0.20899851620197296,0.2053745537996292,0.2175908088684082,0.2531296908855438,0.2850531339645386,0.17195375263690948,0.2515074908733368,0.22853058576583862,0.1698015183210373
and,0.5171257257461548,0.3069579005241394,0.25631651282310486,0.5116966962814331,0.31309178471565247,0.2951711416244507,0.21800068020820618,0.3601827025413513,0.5171257257461548,0.30207008123397827,0.20544172823429108
