,when,was,a,doctor,who,prom,performed,?
a,0.44397395849227905,0.4508470594882965,1.0,0.22883038222789764,0.36608949303627014,0.19603660702705383,0.18003734946250916,0.23916715383529663
doctor,0.16867952048778534,0.19672659039497375,0.22883038222789764,0.9999999403953552,0.3504868149757385,0.16214604675769806,0.17301315069198608,0.1462511420249939
who,0.48282691836357117,0.3318818509578705,0.36608949303627014,0.3504868149757385,0.9999998807907104,0.22319534420967102,0.2702884376049042,0.26220351457595825
prom,0.25406965613365173,0.16763935983181,0.19603660702705383,0.16214604675769806,0.22319534420967102,1.0,0.33247750997543335,0.14861229062080383
was,0.37326499819755554,1.0000001192092896,0.4508470594882965,0.19672659039497375,0.3318818509578705,0.16763935983181,0.30916687846183777,0.18412111699581146
celebrated,0.14992815256118774,0.2716774046421051,0.15006709098815918,0.09907631576061249,0.1951369345188141,0.32056087255477905,0.3480681777000427,0.19592389464378357
on,0.37706470489501953,0.3909217119216919,0.3848365545272827,0.1636410653591156,0.2340552806854248,0.2024405598640442,0.25529783964157104,0.2714994251728058
27,-0.042299967259168625,0.07487557828426361,0.025956379249691963,0.026399951428174973,-0.03443349897861481,0.048976704478263855,0.028924353420734406,0.036716945469379425
july,0.24211758375167847,0.40724116563796997,0.23807190358638763,0.20920288562774658,0.2606464624404907,0.16824661195278168,0.15146473050117493,0.2897891402244568
2008,-0.08004710078239441,0.09246674180030823,-0.08630643039941788,0.03041495941579342,0.0393119752407074,0.10025986284017563,0.03891061618924141,-0.09852470457553864
in,0.4431333839893341,0.45514053106307983,0.539380669593811,0.25567495822906494,0.2792111933231354,0.21733437478542328,0.27994897961616516,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,0.5829201340675354,0.2820442318916321,0.3733934462070465,0.2048463672399521,0.239950031042099,0.22068053483963013
royal,0.19010110199451447,0.2874114215373993,0.19676944613456726,0.2059999704360962,0.16729144752025604,0.26571065187454224,0.25924038887023926,0.11453001946210861
albert,0.21266065537929535,0.240865096449852,0.13642995059490204,0.20019012689590454,0.20950829982757568,0.16727814078330994,0.14252310991287231,0.15350762009620667
hall,0.21217741072177887,0.2961261570453644,0.23568391799926758,0.11379833519458771,0.21594181656837463,0.35264864563941956,0.23337353765964508,0.13520537316799164
as,0.4437963366508484,0.3677520453929901,0.39550232887268066,0.17422905564308167,0.3923053741455078,0.20942963659763336,0.24694512784481049,0.27043893933296204
part,0.35435768961906433,0.3407018780708313,0.3994528353214264,0.19045589864253998,0.19576206803321838,0.19854561984539032,0.20890964567661285,0.08557961881160736
of,0.3757161796092987,0.4069072902202606,0.5052502155303955,0.16895952820777893,0.2827862501144409,0.12190516293048859,0.16441160440444946,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,0.5829201340675354,0.2820442318916321,0.3733934462070465,0.2048463672399521,0.239950031042099,0.22068053483963013
annual,0.12633469700813293,0.19130820035934448,0.24023446440696716,0.20682860910892487,0.1617826521396637,0.2402401715517044,0.17402280867099762,0.1083487942814827
bbc,0.19045519828796387,0.19087861478328705,0.199848011136055,0.32370132207870483,0.2086644321680069,0.360166072845459,0.20152632892131805,0.20556949079036713
proms,0.2725282907485962,0.28522205352783203,0.22691911458969116,0.2028818130493164,0.24499082565307617,0.7109866142272949,0.4490066468715668,0.1986144334077835
.,0.475719153881073,0.40146201848983765,0.50484299659729,0.22361043095588684,0.3541337847709656,0.17251326143741608,0.2417089343070984,0.4130953550338745
