,when,did,kublai,ban,the,international,mongol,slave,trade,?
seeing,0.3747151792049408,0.3183659017086029,0.14211148023605347,0.2176785171031952,0.2316836714744568,0.10960844904184341,0.13734111189842224,0.12865473330020905,0.1231924369931221,0.3295612037181854
this,0.4959332048892975,0.3609912693500519,0.2806724011898041,0.3063664436340332,0.6274310946464539,0.20747728645801544,0.19343864917755127,0.19773970544338226,0.19465044140815735,0.3155723512172699
as,0.4437963366508484,0.3596470057964325,0.1864137202501297,0.2583363652229309,0.48381632566452026,0.20422232151031494,0.17740172147750854,0.18812838196754456,0.21768774092197418,0.27043893933296204
damaging,0.2871861159801483,0.2822878360748291,0.11865995079278946,0.24305221438407898,0.2490997463464737,0.09438840299844742,0.12640568614006042,0.16982299089431763,0.14472989737987518,0.17482057213783264
to,0.5423505902290344,0.4452643394470215,0.2918815314769745,0.26575782895088196,0.535392165184021,0.21173149347305298,0.2125127911567688,0.24340349435806274,0.2781698405742645,0.29463258385658264
the,0.5091903209686279,0.34736719727516174,0.32886171340942383,0.1830999106168747,1.0,0.23719607293605804,0.2924198508262634,0.2051265835762024,0.2681608200073242,0.22068053483963013
mongol,0.17596986889839172,0.17534953355789185,0.633603572845459,0.1521635800600052,0.2924198508262634,0.16901370882987976,1.0000001192092896,0.18390148878097534,0.2091890126466751,0.12849251925945282
nation,0.1968017816543579,0.23396416008472443,0.2811771333217621,0.20492736995220184,0.39486879110336304,0.29790276288986206,0.28203320503234863,0.27826839685440063,0.2636502683162689,0.17865248024463654
",",0.36674630641937256,0.3015086054801941,0.2569756805896759,0.2151244729757309,0.4933079481124878,0.23395943641662598,0.2229510098695755,0.1839952915906906,0.1945054978132248,0.31091248989105225
kublai,0.24958351254463196,0.2875992953777313,0.9999999403953552,0.23333990573883057,0.32886171340942383,0.1567787379026413,0.633603572845459,0.2105971872806549,0.16017983853816986,0.14562560617923737
in,0.4431333839893341,0.2593238651752472,0.2070179283618927,0.16131305694580078,0.6662389636039734,0.26377472281455994,0.16958336532115936,0.17601537704467773,0.23862801492214203,0.20430970191955566
1291,0.2616567313671112,0.19327926635742188,0.09280319511890411,0.0856098085641861,0.06620699167251587,0.031091459095478058,0.04307911917567253,0.05221553519368172,0.08707897365093231,0.11370758712291718
forbade,0.2447729855775833,0.3319678008556366,0.1905527114868164,0.307720422744751,0.35212260484695435,0.2250521183013916,0.17899490892887115,0.27727094292640686,0.24001464247703552,0.2140699326992035
the,0.5091903209686279,0.34736719727516174,0.32886171340942383,0.1830999106168747,1.0,0.23719607293605804,0.2924198508262634,0.2051265835762024,0.2681608200073242,0.22068053483963013
sale,0.2140309363603592,0.17367155849933624,0.14921079576015472,0.28448912501335144,0.23683100938796997,0.1784002035856247,0.11184603720903397,0.2625906467437744,0.3490281105041504,0.10629682242870331
abroad,0.18751709163188934,0.2670290470123291,0.2255220264196396,0.14370353519916534,0.23752523958683014,0.2747516632080078,0.20300517976284027,0.18540427088737488,0.28483912348747253,0.12052648514509201
of,0.3757161796092987,0.2513895630836487,0.231930211186409,0.15118597447872162,0.733189046382904,0.23367412388324738,0.22712039947509766,0.18442977964878082,0.2310105711221695,0.1826142966747284
mongols,0.20358523726463318,0.21908389031887054,0.5959007740020752,0.1486280858516693,0.310281366109848,0.17243070900440216,0.905461847782135,0.21546785533428192,0.26811397075653076,0.11517509818077087
.,0.475719153881073,0.35288307070732117,0.2311694622039795,0.20274263620376587,0.5934505462646484,0.20745405554771423,0.16751837730407715,0.19368305802345276,0.20157761871814728,0.4130953550338745
