,what,has,the,court,required,to,be,more,accessible,?
the,0.42745697498321533,0.4177538752555847,1.0,0.2812081575393677,0.27848219871520996,0.535392165184021,0.4248143136501312,0.39758381247520447,0.21238647401332855,0.22068053483963013
court,0.23440583050251007,0.18286947906017303,0.2812081575393677,1.0,0.16947077214717865,0.24824365973472595,0.20228137075901031,0.12774759531021118,0.1673980951309204,0.17100423574447632
has,0.20338068902492523,1.0,0.4177538752555847,0.18286947906017303,0.20454327762126923,0.3619994819164276,0.3863394856452942,0.3442428410053253,0.16884881258010864,0.15994466841220856
required,0.2506856620311737,0.20454327762126923,0.27848219871520996,0.16947077214717865,1.0000001192092896,0.3613971471786499,0.3677930235862732,0.3386021852493286,0.39590775966644287,0.24962718784809113
that,0.6297725439071655,0.41272613406181335,0.5473989248275757,0.2474849969148636,0.37379229068756104,0.5436353087425232,0.6036020517349243,0.4813884496688843,0.25979822874069214,0.32716336846351624
higher,0.2538340389728546,0.2676869332790375,0.3292480409145355,0.18506155908107758,0.3566591143608093,0.3279348313808441,0.31005796790122986,0.41627442836761475,0.25851142406463623,0.15679465234279633
education,0.19940856099128723,0.19203995168209076,0.23982903361320496,0.3019661605358124,0.2273806780576706,0.2626708149909973,0.19451211392879486,0.18603861331939697,0.26282283663749695,0.18067774176597595
",",0.3087472915649414,0.3734780251979828,0.4933079481124878,0.24410836398601532,0.22653338313102722,0.44245919585227966,0.39254459738731384,0.3696524500846863,0.20165064930915833,0.31091248989105225
along,0.22421957552433014,0.27603578567504883,0.39495137333869934,0.10939811170101166,0.07364696264266968,0.2976071536540985,0.21169698238372803,0.18806776404380798,0.11520460993051529,0.17134909331798553
with,0.2464839518070221,0.44092974066734314,0.4223487675189972,0.14494022727012634,0.27981439232826233,0.4239959120750427,0.36101722717285156,0.3535402715206146,0.14693593978881836,0.2433311939239502
other,0.341873437166214,0.3162766396999359,0.44152235984802246,0.16148273646831512,0.309059202671051,0.4193183183670044,0.4629868268966675,0.49628373980522156,0.2775094211101532,0.24682199954986572
forms,0.16334041953086853,0.27240872383117676,0.2950737178325653,0.1481418013572693,0.16570088267326355,0.2363802045583725,0.30402427911758423,0.2714720666408539,0.17953665554523468,0.1196754202246666
of,0.33290785551071167,0.3909035325050354,0.733189046382904,0.28835242986679077,0.26183071732521057,0.41548454761505127,0.33904364705085754,0.30478984117507935,0.24014221131801605,0.1826142966747284
vocational,0.25595757365226746,0.231797993183136,0.23646128177642822,0.22930645942687988,0.2907150685787201,0.28264284133911133,0.24187541007995605,0.21970289945602417,0.2913878858089447,0.1961013227701187
training,0.19520394504070282,0.17694206535816193,0.22380973398685455,0.20440435409545898,0.30688661336898804,0.2564074397087097,0.15071651339530945,0.25850194692611694,0.18517692387104034,0.14311334490776062
",",0.3087472915649414,0.3734780251979828,0.4933079481124878,0.24410836398601532,0.22653338313102722,0.44245919585227966,0.39254459738731384,0.3696524500846863,0.20165064930915833,0.31091248989105225
should,0.43830034136772156,0.30622398853302,0.32399165630340576,0.21214649081230164,0.43452128767967224,0.44452130794525146,0.6527681946754456,0.4906694293022156,0.29028016328811646,0.4442402422428131
be,0.3929833769798279,0.3863394856452942,0.4248143136501312,0.20228137075901031,0.3677930235862732,0.4972836375236511,1.0,0.5445363521575928,0.3349855840206146,0.3324260413646698
more,0.3484537899494171,0.3442428410053253,0.39758381247520447,0.12774759531021118,0.3386021852493286,0.47084665298461914,0.5445363521575928,1.0,0.2963685095310211,0.27894994616508484
access,0.2685140371322632,0.20782889425754547,0.22827552258968353,0.14864562451839447,0.40716099739074707,0.3465658128261566,0.3263862729072571,0.33291739225387573,0.702667236328125,0.2482174038887024
",",0.3087472915649414,0.3734780251979828,0.4933079481124878,0.24410836398601532,0.22653338313102722,0.44245919585227966,0.39254459738731384,0.3696524500846863,0.20165064930915833,0.31091248989105225
albeit,0.2947821319103241,0.33243483304977417,0.274771511554718,0.1840391904115677,0.3163473904132843,0.30286338925361633,0.4235255718231201,0.3630366325378418,0.2615704834461212,0.2858094274997711
with,0.2464839518070221,0.44092974066734314,0.4223487675189972,0.14494022727012634,0.27981439232826233,0.4239959120750427,0.36101722717285156,0.3535402715206146,0.14693593978881836,0.2433311939239502
qualifying,0.18061456084251404,0.1427781730890274,0.2900393009185791,0.1803666651248932,0.28537800908088684,0.21209627389907837,0.16498415172100067,0.10908666253089905,0.10911484807729721,0.1416226327419281
periods,0.21756020188331604,0.16442443430423737,0.27702534198760986,0.1644488424062729,0.23330605030059814,0.23085090517997742,0.3087558448314667,0.28707560896873474,0.22318901121616364,0.167264923453331
.,0.3567904531955719,0.4105546176433563,0.5934505462646484,0.2742154598236084,0.2724599838256836,0.4645031690597534,0.4383580684661865,0.4070230722427368,0.25968417525291443,0.4130953550338745
