,how,was,it,suggested,that,the,ipcc,avoid,political,problems,?
other,0.3591516315937042,0.14651623368263245,0.36282607913017273,0.26185065507888794,0.5570666193962097,0.44152235984802246,0.2497648149728775,0.27280476689338684,0.1741310954093933,0.2678011357784271,0.24682199954986572
recommendations,0.28873124718666077,0.18074369430541992,0.2004261314868927,0.38854143023490906,0.30267566442489624,0.30358588695526123,0.39541101455688477,0.28786027431488037,0.1783471256494522,0.30094414949417114,0.24508310854434967
included,0.13500849902629852,0.3148443400859833,0.20007821917533875,0.29552462697029114,0.2736181616783142,0.3825419843196869,0.12195993959903717,0.1908400058746338,0.22265145182609558,0.16185419261455536,0.14385655522346497
that,0.557814359664917,0.33670201897621155,0.5921133160591125,0.45882919430732727,1.0,0.5473989248275757,0.3323146402835846,0.30128729343414307,0.2016311138868332,0.3758413791656494,0.32716336846351624
the,0.33890387415885925,0.48711544275283813,0.6251175999641418,0.28443726897239685,0.5473989248275757,1.0,0.24925659596920013,0.24833035469055176,0.20477235317230225,0.2659202516078949,0.22068053483963013
panel,0.2077735811471939,0.16851958632469177,0.15230363607406616,0.12922528386116028,0.18264733254909515,0.20552968978881836,0.393046110868454,0.09760336577892303,0.203106090426445,0.12873812019824982,0.1475982517004013
employ,0.2718530595302582,0.14105436205863953,0.16817621886730194,0.21742403507232666,0.29171299934387207,0.2120160162448883,0.18099823594093323,0.19315990805625916,0.2010551244020462,0.29240766167640686,0.16813796758651733
a,0.29312583804130554,0.4508470594882965,0.5452592968940735,0.2665110230445862,0.47537946701049805,0.5829201340675354,0.12244262546300888,0.2583659291267395,0.21418654918670654,0.21523453295230865,0.23916715383529663
full-time,0.32950559258461,0.3001776337623596,0.2846647799015045,0.2369246929883957,0.4143564999103546,0.32999011874198914,0.32665079832077026,0.2163875848054886,0.2326391637325287,0.2637087106704712,0.2854166030883789
staff,0.1983451247215271,0.21558520197868347,0.11942349374294281,0.18444140255451202,0.21744154393672943,0.2306259125471115,0.3130539059638977,0.14508295059204102,0.21888689696788788,0.1841290146112442,0.15871673822402954
and,0.33647966384887695,0.3740963041782379,0.40957894921302795,0.2645586431026459,0.4731321930885315,0.5171257257461548,0.20790739357471466,0.2800402045249939,0.33013346791267395,0.285793662071228,0.20544172823429108
remove,0.2663903534412384,0.1193658709526062,0.22973166406154633,0.2717636525630951,0.3686818480491638,0.28754451870918274,0.17135468125343323,0.36923474073410034,0.1768587827682495,0.2593039572238922,0.32355964183807373
government,0.21719732880592346,0.2995857298374176,0.28037968277931213,0.2324407547712326,0.29558056592941284,0.31798112392425537,0.3235599100589752,0.19739718735218048,0.4633687138557434,0.19512803852558136,0.18851417303085327
oversight,0.31570613384246826,0.17834053933620453,0.27626070380210876,0.2381419986486435,0.3431815207004547,0.184760183095932,0.34187981486320496,0.26110997796058655,0.2573853135108948,0.26611950993537903,0.45554885268211365
from,0.22939439117908478,0.31171464920043945,0.325604110956192,0.16930745542049408,0.3477667272090912,0.40150508284568787,0.1346227526664734,0.23280875384807587,0.20812924206256866,0.21618343889713287,0.19969791173934937
its,0.22449488937854767,0.3518870174884796,0.5786119699478149,0.2743713855743408,0.416561484336853,0.559237003326416,0.24596279859542847,0.23287256062030792,0.19519953429698944,0.21335220336914062,0.15103481709957123
processes,0.4216870367527008,0.11330343037843704,0.2817577123641968,0.279900461435318,0.37169188261032104,0.24400095641613007,0.39796459674835205,0.3049853444099426,0.15907108783721924,0.4112861752510071,0.22719913721084595
to,0.44169697165489197,0.3636345863342285,0.513711154460907,0.32327648997306824,0.5436353087425232,0.535392165184021,0.25466105341911316,0.33193957805633545,0.2065112292766571,0.28989166021347046,0.29463258385658264
avoid,0.3047965168952942,0.16494938731193542,0.19602304697036743,0.3143361508846283,0.30128729343414307,0.24833035469055176,0.09251045435667038,1.0,0.15839307010173798,0.408329576253891,0.26885488629341125
political,0.1886202096939087,0.24282537400722504,0.13214361667633057,0.21121825277805328,0.2016311138868332,0.20477235317230225,0.31663084030151367,0.15839307010173798,1.0000001192092896,0.22024883329868317,0.17130474746227264
interference,0.30670681595802307,0.18647605180740356,0.16923317313194275,0.27754655480384827,0.33843550086021423,0.26789531111717224,0.19996309280395508,0.30934202671051025,0.2060297727584839,0.333870530128479,0.11166875064373016
.,0.3287222981452942,0.40146201848983765,0.5593622326850891,0.2633555829524994,0.4460422694683075,0.5934505462646484,0.20098818838596344,0.19342699646949768,0.24802669882774353,0.2602308988571167,0.4130953550338745
