,who,studies,the,expected,monetary,flow,over,the,life,of,the,project,and,to,monitor,the,payouts,throughout,the,process,?
the,0.3733934462070465,0.22738903760910034,1.0,0.3108554780483246,0.25381726026535034,0.314039409160614,0.39856547117233276,1.0,0.23528170585632324,0.733189046382904,1.0,0.2027820199728012,0.5171257257461548,0.535392165184021,0.21356156468391418,1.0,0.2260202020406723,0.4158564507961273,1.0,0.264274537563324,0.22068053483963013
presence,0.19076025485992432,0.2156229466199875,0.34114351868629456,0.2517169415950775,0.11743338406085968,0.2673934996128082,0.21474242210388184,0.34114351868629456,0.21420153975486755,0.2917717397212982,0.34114351868629456,0.1286752074956894,0.284408837556839,0.3215413987636566,0.17799325287342072,0.34114351868629456,0.18687684834003448,0.35458701848983765,0.34114351868629456,0.2872963547706604,0.08592845499515533
of,0.2827862501144409,0.26975658535957336,0.733189046382904,0.26944905519485474,0.24208438396453857,0.2407451719045639,0.36136594414711,0.733189046382904,0.2788603901863098,1.0,0.733189046382904,0.17578177154064178,0.5116966962814331,0.41548454761505127,0.15312890708446503,0.733189046382904,0.1513962596654892,0.35374847054481506,0.733189046382904,0.23962904512882233,0.1826142966747284
the,0.3733934462070465,0.22738903760910034,1.0,0.3108554780483246,0.25381726026535034,0.314039409160614,0.39856547117233276,1.0,0.23528170585632324,0.733189046382904,1.0,0.2027820199728012,0.5171257257461548,0.535392165184021,0.21356156468391418,1.0,0.2260202020406723,0.4158564507961273,1.0,0.264274537563324,0.22068053483963013
mortgage,0.23864278197288513,0.12179303914308548,0.2744140326976776,0.2910856008529663,0.45658808946609497,0.26842200756073,0.18862055242061615,0.2744140326976776,0.18472422659397125,0.24695326387882233,0.2744140326976776,0.19275948405265808,0.2045108824968338,0.35149720311164856,0.12981349229812622,0.2744140326976776,0.5212740898132324,0.15120400488376617,0.2744140326976776,0.26186949014663696,0.19544269144535065
banker,0.3055954575538635,0.2074735313653946,0.19288764894008636,0.18156681954860687,0.3745793402194977,0.16028057038784027,0.08855213224887848,0.19288764894008636,0.22480246424674988,0.1735401600599289,0.19288764894008636,0.13116024434566498,0.24611695110797882,0.11629784107208252,0.13225215673446655,0.19288764894008636,0.3017614185810089,0.13019979000091553,0.19288764894008636,0.08782505989074707,0.13623839616775513
is,0.24293622374534607,0.2583865225315094,0.5823672413825989,0.20087631046772003,0.16264118254184723,0.26788079738616943,0.2159561663866043,0.5823672413825989,0.2110576033592224,0.4854315221309662,0.5823672413825989,0.1924840211868286,0.3859752118587494,0.42745086550712585,0.20835259556770325,0.5823672413825989,0.18344485759735107,0.2639545500278473,0.5823672413825989,0.21762968599796295,0.22961433231830597
highly,0.24307133257389069,0.16870468854904175,0.2051282376050949,0.24337932467460632,0.10647845268249512,0.13883771002292633,0.2676953077316284,0.2051282376050949,0.2290240377187729,0.21906863152980804,0.2051282376050949,0.16162531077861786,0.25759628415107727,0.24264846742153168,0.18975922465324402,0.2051282376050949,0.1799701750278473,0.29332825541496277,0.2051282376050949,0.22958903014659882,0.1542806625366211
likely,0.32538387179374695,0.20312120020389557,0.28129076957702637,0.45034345984458923,0.17425908148288727,0.1774083375930786,0.2730345129966736,0.28129076957702637,0.2029617577791214,0.2704482078552246,0.28129076957702637,0.18802893161773682,0.3069725036621094,0.41562584042549133,0.19016988575458527,0.28129076957702637,0.17356429994106293,0.19490890204906464,0.28129076957702637,0.30741479992866516,0.35971182584762573
",",0.3365725874900818,0.26373082399368286,0.4933079481124878,0.23470614850521088,0.22782517969608307,0.23027558624744415,0.3301127254962921,0.4933079481124878,0.24050940573215485,0.4946078956127167,0.4933079481124878,0.24875426292419434,0.6633074283599854,0.44245919585227966,0.22247396409511566,0.4933079481124878,0.23510941863059998,0.22385434806346893,0.4933079481124878,0.2061346471309662,0.31091248989105225
even,0.33644744753837585,0.19196614623069763,0.37996912002563477,0.3341536223888397,0.12809397280216217,0.1962272822856903,0.32891958951950073,0.37996912002563477,0.2763756811618805,0.34735506772994995,0.37996912002563477,0.19362829625606537,0.4625037908554077,0.46467068791389465,0.21989116072654724,0.37996912002563477,0.2224145233631134,0.3347157835960388,0.37996912002563477,0.3144739270210266,0.30082517862319946
in,0.2792111933231354,0.30442532896995544,0.6662389636039734,0.2959997057914734,0.17339298129081726,0.22435857355594635,0.3605569899082184,0.6662389636039734,0.27054134011268616,0.5696388483047485,0.6662389636039734,0.16277937591075897,0.4954058527946472,0.45010748505592346,0.10966344177722931,0.6662389636039734,0.22640280425548553,0.46596065163612366,0.6662389636039734,0.19851736724376678,0.20430970191955566
