,what,did,the,moscone,center,host,?
the,0.42745697498321533,0.34736719727516174,1.0,0.30502593517303467,0.29064592719078064,0.26909032464027405,0.22068053483963013
annual,0.14798973500728607,0.13183704018592834,0.2958983778953552,0.22226352989673615,0.21705931425094604,0.19202139973640442,0.1083487942814827
nfl,0.12579965591430664,0.16524574160575867,0.15305201709270477,0.26426073908805847,0.1418347954750061,0.22719800472259521,0.10610254108905792
experience,0.3894727826118469,0.2411177009344101,0.21682339906692505,0.09628963470458984,0.167202889919281,0.09691720455884933,0.25203612446784973
was,0.22111038863658905,0.41399896144866943,0.48711544275283813,0.3655855357646942,0.19517986476421356,0.16720354557037354,0.18412111699581146
held,0.0974166989326477,0.18607917428016663,0.32185450196266174,0.2881282866001129,0.2514551877975464,0.22374919056892395,0.14103956520557404
at,0.2838611304759979,0.28390252590179443,0.457212895154953,0.31536146998405457,0.29677248001098633,0.15717428922653198,0.21978627145290375
the,0.42745697498321533,0.34736719727516174,1.0,0.30502593517303467,0.29064592719078064,0.26909032464027405,0.22068053483963013
moscone,0.14248551428318024,0.1708195060491562,0.30502593517303467,1.0,0.208943173289299,0.1743503212928772,0.10797344148159027
center,0.1908310204744339,0.14647023379802704,0.29064592719078064,0.208943173289299,0.9999999403953552,0.1260383129119873,0.12538520991802216
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.28995877504348755,0.27253323793411255,0.21661671996116638,0.20430970191955566
san,0.19375550746917725,0.1785750538110733,0.2858080565929413,0.45650798082351685,0.24079224467277527,0.16593219339847565,0.10952327400445938
francisco,0.17887917160987854,0.1959451586008072,0.25086042284965515,0.4284886419773102,0.1576988399028778,0.14032593369483948,0.1020219698548317
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.31820935010910034,0.29649654030799866,0.20596550405025482,0.4130953550338745
