,when,did,the,last,batch,of,students,that,followed,the,former,system,graudate,?
although,0.3650384247303009,0.29252153635025024,0.3265823423862457,0.18739870190620422,0.1783793568611145,0.3024747669696808,0.16039614379405975,0.4722958207130432,0.23145878314971924,0.3265823423862457,0.09218277037143707,0.14506679773330688,0.33423563838005066,0.15541206300258636
the,0.5091903209686279,0.34736719727516174,1.0,0.3698786795139313,0.1901983916759491,0.733189046382904,0.25268980860710144,0.5473989248275757,0.3567860722541809,1.0,0.2251449078321457,0.3233085572719574,0.3111061453819275,0.22068053483963013
7–4–2–3,0.14976629614830017,0.10612253099679947,0.2333783656358719,0.0900178924202919,0.07989149540662766,0.2995818257331848,0.1749390959739685,0.1602274477481842,0.064259372651577,0.2333783656358719,0.08072724938392639,0.06323695927858353,0.11146815866231918,0.023762304335832596
system,0.27706024050712585,0.1967303454875946,0.3233085572719574,0.14964330196380615,0.1926015019416809,0.25597915053367615,0.20193026959896088,0.3088737428188324,0.1443028450012207,0.3233085572719574,0.1336117535829544,1.0000001192092896,0.26970943808555603,0.15556083619594574
theoretically,0.27688634395599365,0.17085273563861847,0.2543277144432068,0.1947794258594513,0.1727510392665863,0.2197323888540268,0.24713894724845886,0.3876168727874756,0.12618152797222137,0.2543277144432068,0.11616366356611252,0.16163547337055206,0.3672686517238617,0.15105554461479187
ended,0.2624439001083374,0.33372020721435547,0.3356485068798065,0.36035385727882385,0.054693762212991714,0.27636510133743286,0.110214464366436,0.2152271419763565,0.36678004264831543,0.3356485068798065,0.1861265003681183,0.14897899329662323,0.26288893818855286,0.15429291129112244
with,0.5075214505195618,0.25472134351730347,0.4223487675189972,0.1975114792585373,0.16572551429271698,0.41827285289764404,0.17162418365478516,0.4154358208179474,0.35106009244918823,0.4223487675189972,0.16752652823925018,0.14296101033687592,0.24555212259292603,0.2433311939239502
the,0.5091903209686279,0.34736719727516174,1.0,0.3698786795139313,0.1901983916759491,0.733189046382904,0.25268980860710144,0.5473989248275757,0.3567860722541809,1.0,0.2251449078321457,0.3233085572719574,0.3111061453819275,0.22068053483963013
introduction,0.16042596101760864,0.19281218945980072,0.2808631956577301,0.13755635917186737,0.33033064007759094,0.24229779839515686,0.1908189207315445,0.27633512020111084,0.28644219040870667,0.2808631956577301,0.05970122292637825,0.20884548127651215,0.21998007595539093,0.27021539211273193
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.3052992522716522,0.1316806524991989,1.0,0.25513339042663574,0.41498205065727234,0.3060508966445923,0.733189046382904,0.30415382981300354,0.25597915053367615,0.30040308833122253,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,1.0,0.3698786795139313,0.1901983916759491,0.733189046382904,0.25268980860710144,0.5473989248275757,0.3567860722541809,1.0,0.2251449078321457,0.3233085572719574,0.3111061453819275,0.22068053483963013
new,0.257220059633255,0.227974995970726,0.3845241069793701,0.19813843071460724,0.3284621834754944,0.343457967042923,0.19169281423091888,0.29177987575531006,0.11514970660209656,0.3845241069793701,0.2383175641298294,0.20223183929920197,0.2594403028488159,0.14782847464084625
8–4–4,0.03931249678134918,0.04311583191156387,-0.07812517881393433,0.010885237716138363,-0.09230849891901016,-0.10876622796058655,0.04353838041424751,0.08438193798065186,0.013725384138524532,-0.07812517881393433,-0.09325109422206879,-0.1596514880657196,-0.17184238135814667,0.03036368452012539
system,0.27706024050712585,0.1967303454875946,0.3233085572719574,0.14964330196380615,0.1926015019416809,0.25597915053367615,0.20193026959896088,0.3088737428188324,0.1443028450012207,0.3233085572719574,0.1336117535829544,1.0000001192092896,0.26970943808555603,0.15556083619594574
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.30714505910873413,0.20720802247524261,0.5696388483047485,0.2676171064376831,0.435920387506485,0.3307904005050659,0.6662389636039734,0.2668642997741699,0.21978288888931274,0.31365686655044556,0.20430970191955566
1985,-0.00747395446524024,0.07323421537876129,0.02310241386294365,-0.07435119897127151,0.018558306619524956,0.01818043366074562,0.08789089322090149,0.0721283033490181,0.017647532746195793,0.02310241386294365,0.08970791846513748,-0.030647099018096924,0.03438562899827957,-0.03005216084420681
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.29026782512664795,0.2094457894563675,0.4946078956127167,0.26501646637916565,0.4137537479400635,0.3097211718559265,0.4933079481124878,0.2738454341888428,0.18439900875091553,0.4086398184299469,0.31091248989105225
the,0.5091903209686279,0.34736719727516174,1.0,0.3698786795139313,0.1901983916759491,0.733189046382904,0.25268980860710144,0.5473989248275757,0.3567860722541809,1.0,0.2251449078321457,0.3233085572719574,0.3111061453819275,0.22068053483963013
last,0.3294509947299957,0.30895525217056274,0.3698786795139313,1.0,0.19782483577728271,0.3052992522716522,0.09704992175102234,0.31652477383613586,0.335909366607666,0.3698786795139313,0.16374008357524872,0.14964330196380615,0.29449164867401123,0.22371746599674225
batch,0.22151440382003784,0.1530056595802307,0.1901983916759491,0.19782483577728271,1.0000001192092896,0.1316806524991989,0.15249328315258026,0.28688788414001465,0.21008816361427307,0.1901983916759491,0.08997771888971329,0.1926015019416809,0.2644450068473816,0.2877519428730011
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.3052992522716522,0.1316806524991989,1.0,0.25513339042663574,0.41498205065727234,0.3060508966445923,0.733189046382904,0.30415382981300354,0.25597915053367615,0.30040308833122253,0.1826142966747284
students,0.219375342130661,0.1996062994003296,0.25268980860710144,0.09704992175102234,0.15249328315258026,0.25513339042663574,1.0,0.2510627210140228,0.16910843551158905,0.25268980860710144,0.15790601074695587,0.20193026959896088,0.15549062192440033,0.18017297983169556
from,0.405669629573822,0.20248863101005554,0.40150508284568787,0.235591322183609,0.17354552447795868,0.4249346852302551,0.20272988080978394,0.3477667272090912,0.212905153632164,0.40150508284568787,0.18530778586864471,0.22092437744140625,0.23896455764770508,0.19969791173934937
the,0.5091903209686279,0.34736719727516174,1.0,0.3698786795139313,0.1901983916759491,0.733189046382904,0.25268980860710144,0.5473989248275757,0.3567860722541809,1.0,0.2251449078321457,0.3233085572719574,0.3111061453819275,0.22068053483963013
former,0.1756535917520523,0.0988369733095169,0.2251449078321457,0.16374008357524872,0.08997771888971329,0.30415382981300354,0.15790601074695587,0.138786181807518,0.011591124348342419,0.2251449078321457,1.0,0.1336117535829544,0.2687966227531433,0.10570605844259262
