,in,what,year,did,harvey,martin,die,?
no,0.24372287094593048,0.339326947927475,0.17495779693126678,0.23735837638378143,0.188592329621315,0.10490118712186813,0.15483920276165009,0.32165053486824036
plans,0.24845264852046967,0.2364979386329651,0.1866031140089035,0.33907008171081543,0.11821150034666061,0.15689699351787567,0.1369137316942215,0.13513131439685822
were,0.3815755248069763,0.22298263013362885,0.23735305666923523,0.4162326455116272,0.16542106866836548,0.15994206070899963,0.19522075355052948,0.17890112102031708
announced,0.2528248429298401,0.09249057620763779,0.24623410403728485,0.2690480351448059,0.11859765648841858,0.15038856863975525,0.11107451468706131,0.17416009306907654
regarding,0.2634240984916687,0.36432263255119324,0.18372616171836853,0.2796953320503235,0.16225652396678925,0.09553437680006027,0.038046944886446,0.36967232823371887
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.22113537788391113,0.22029393911361694,0.2242266982793808,0.22068053483963013
recognition,0.29843124747276306,0.25729188323020935,0.16084662079811096,0.23289744555950165,0.13972236216068268,0.2047291249036789,0.07990727573633194,0.20074869692325592
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.2513895630836487,0.19638872146606445,0.13722093403339386,0.21324244141578674,0.1826142966747284
harvey,0.22148630023002625,0.17706412076950073,0.1801651120185852,0.08820424228906631,1.0,0.26570430397987366,0.24477174878120422,0.22152839601039886
martin,0.22752496600151062,0.14814218878746033,0.13085660338401794,0.15959656238555908,0.26570430397987366,0.9999999403953552,0.1755678504705429,0.060103293508291245
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.3015086054801941,0.2908572852611542,0.27058324217796326,0.23915338516235352,0.31091248989105225
co-mvp,0.2859489619731903,0.23107749223709106,0.33654266595840454,0.22114504873752594,0.16742762923240662,0.1467318832874298,0.24459433555603027,0.25740912556648254
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.2513895630836487,0.19638872146606445,0.13722093403339386,0.21324244141578674,0.1826142966747284
super,0.18576006591320038,0.13651713728904724,0.20762673020362854,0.16038043797016144,0.16999687254428864,0.13172949850559235,0.14078398048877716,0.166326642036438
bowl,0.17236235737800598,0.15942467749118805,0.22878921031951904,0.18569406867027283,0.18596790730953217,0.07102158665657043,0.1435059756040573,0.21118052303791046
xii,0.2384188175201416,0.12015262246131897,0.12777391076087952,0.1448201984167099,0.12712927162647247,0.13924190402030945,0.13366863131523132,0.1940627098083496
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.3015086054801941,0.2908572852611542,0.27058324217796326,0.23915338516235352,0.31091248989105225
who,0.2792111933231354,0.40942975878715515,0.2851492762565613,0.34038686752319336,0.1935320496559143,0.22000780701637268,0.21630561351776123,0.26220351457595825
died,0.25881269574165344,0.11138711869716644,0.23179858922958374,0.2759808599948883,0.20748914778232574,0.17690125107765198,0.3548888862133026,0.15254227817058563
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.22148630023002625,0.22752496600151062,0.18641351163387299,0.20430970191955566
2001,-0.10387769341468811,-0.11417052894830704,-0.03995949774980545,-0.12195117026567459,-0.1083173006772995,-0.03912251442670822,-0.11160073429346085,-0.08740651607513428
.,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.35288307070732117,0.2668946385383606,0.25235527753829956,0.2658497095108032,0.4130953550338745
