,when,was,the,drainage,basin,of,the,amazon,believed,to,have,split,in,the,middle,of,south,america,?
during,0.46721696853637695,0.4470829963684082,0.4838213622570038,0.16492190957069397,0.17691287398338318,0.3869180977344513,0.4838213622570038,0.11170908063650131,0.29333433508872986,0.2828781306743622,0.27574852108955383,0.1790570616722107,0.4627237319946289,0.4838213622570038,0.2737145721912384,0.3869180977344513,0.24564063549041748,0.245676651597023,0.1325719803571701
the,0.5091903209686279,0.48711544275283813,1.0,0.2736852467060089,0.24553915858268738,0.733189046382904,1.0,0.260541707277298,0.324635773897171,0.535392165184021,0.40389683842658997,0.2967630624771118,0.6662389636039734,1.0,0.3405749201774597,0.733189046382904,0.3129390776157379,0.37090015411376953,0.22068053483963013
mid-eocene,0.22187364101409912,0.18888016045093536,0.25416916608810425,0.2686854898929596,0.3988892138004303,0.20399650931358337,0.25416916608810425,0.19582322239875793,0.21499735116958618,0.22231948375701904,0.2826163172721863,0.21539530158042908,0.24613057076931,0.25416916608810425,0.41701868176460266,0.20399650931358337,0.29905766248703003,0.29531827569007874,0.16638007760047913
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.20687855780124664,0.25865232944488525,0.4946078956127167,0.4933079481124878,0.2214922308921814,0.2386300414800644,0.44245919585227966,0.3541618287563324,0.26985031366348267,0.5201468467712402,0.4933079481124878,0.24847112596035004,0.4946078956127167,0.3256652057170868,0.253568559885025,0.31091248989105225
it,0.4775012135505676,0.4577186405658722,0.6251175999641418,0.2714359164237976,0.25201135873794556,0.38761502504348755,0.6251175999641418,0.22231659293174744,0.30581751465797424,0.513711154460907,0.40974161028862,0.19493211805820465,0.5130809545516968,0.6251175999641418,0.24598756432533264,0.38761502504348755,0.28465771675109863,0.311389297246933,0.25732165575027466
is,0.3471449911594391,0.5810302495956421,0.5823672413825989,0.2501681447029114,0.2273138016462326,0.4854315221309662,0.5823672413825989,0.15197539329528809,0.25439924001693726,0.42745086550712585,0.3613572418689728,0.1479039490222931,0.5394441485404968,0.5823672413825989,0.21621397137641907,0.4854315221309662,0.27680471539497375,0.1998184472322464,0.22961433231830597
believed,0.29870954155921936,0.3758357763290405,0.324635773897171,0.14397597312927246,0.20235739648342133,0.2945859134197235,0.324635773897171,0.16641747951507568,1.0,0.35322412848472595,0.37452754378318787,0.08082016557455063,0.2605416774749756,0.324635773897171,0.17448307573795319,0.2945859134197235,0.21604607999324799,0.21396799385547638,0.17606885731220245
that,0.5860282182693481,0.33670201897621155,0.5473989248275757,0.18015657365322113,0.21932947635650635,0.41498205065727234,0.5473989248275757,0.2228476107120514,0.4644409120082855,0.5436353087425232,0.6182622313499451,0.26544344425201416,0.435920387506485,0.5473989248275757,0.22241683304309845,0.41498205065727234,0.1571199595928192,0.28841280937194824,0.32716336846351624
the,0.5091903209686279,0.48711544275283813,1.0,0.2736852467060089,0.24553915858268738,0.733189046382904,1.0,0.260541707277298,0.324635773897171,0.535392165184021,0.40389683842658997,0.2967630624771118,0.6662389636039734,1.0,0.3405749201774597,0.733189046382904,0.3129390776157379,0.37090015411376953,0.22068053483963013
drainage,0.10509204119443893,0.1710943579673767,0.2736852467060089,1.0,0.6340781450271606,0.2812975347042084,0.2736852467060089,0.35996633768081665,0.14397597312927246,0.17012028396129608,0.19335368275642395,0.11054781824350357,0.19508583843708038,0.2736852467060089,0.16470839083194733,0.2812975347042084,0.27708369493484497,0.1583014279603958,0.160207137465477
