,in,a,market,economy,",",what,is,inequality,a,reflection,of,?
thus,0.26358214020729065,0.3190890848636627,0.17109878361225128,0.2021702229976654,0.3071325421333313,0.30745524168014526,0.244685098528862,0.31463390588760376,0.3190890848636627,0.2692243158817291,0.3487406373023987,0.18769288063049316
",",0.5201468467712402,0.427140474319458,0.2499394416809082,0.2521176040172577,1.0000001192092896,0.3087472915649414,0.4691906273365021,0.21822890639305115,0.427140474319458,0.24771259725093842,0.4946078956127167,0.31091248989105225
in,1.0,0.539380669593811,0.27003997564315796,0.2588731348514557,0.5201468467712402,0.30808621644973755,0.5394441485404968,0.19402410089969635,0.539380669593811,0.25336217880249023,0.5696388483047485,0.20430970191955566
a,0.539380669593811,1.0,0.2680419683456421,0.24415728449821472,0.427140474319458,0.3320399522781372,0.658733606338501,0.1783585250377655,1.0,0.3007514178752899,0.5052502155303955,0.23916715383529663
market,0.27003997564315796,0.2680419683456421,1.0000001192092896,0.41833436489105225,0.2499394416809082,0.12116116285324097,0.2463478147983551,0.27847257256507874,0.2680419683456421,0.22386515140533447,0.1694333702325821,0.12805593013763428
economy,0.2588731348514557,0.24415728449821472,0.41833436489105225,1.0,0.2521176040172577,0.21764783561229706,0.2698528468608856,0.41350439190864563,0.24415728449821472,0.20714415609836578,0.2583308815956116,0.11486924439668655
",",0.5201468467712402,0.427140474319458,0.2499394416809082,0.2521176040172577,1.0000001192092896,0.3087472915649414,0.4691906273365021,0.21822890639305115,0.427140474319458,0.24771259725093842,0.4946078956127167,0.31091248989105225
inequality,0.19402410089969635,0.1783585250377655,0.27847257256507874,0.41350439190864563,0.21822890639305115,0.30072227120399475,0.1953488290309906,1.0000001192092896,0.1783585250377655,0.36040449142456055,0.27910974621772766,0.23619021475315094
is,0.5394441485404968,0.658733606338501,0.2463478147983551,0.2698528468608856,0.4691906273365021,0.28837618231773376,1.0,0.1953488290309906,0.658733606338501,0.24867863953113556,0.4854315221309662,0.22961433231830597
a,0.539380669593811,1.0,0.2680419683456421,0.24415728449821472,0.427140474319458,0.3320399522781372,0.658733606338501,0.1783585250377655,1.0,0.3007514178752899,0.5052502155303955,0.23916715383529663
reflection,0.25336217880249023,0.3007514178752899,0.22386515140533447,0.20714415609836578,0.24771259725093842,0.27464163303375244,0.24867863953113556,0.36040449142456055,0.3007514178752899,1.0,0.27738237380981445,0.17918743193149567
of,0.5696388483047485,0.5052502155303955,0.1694333702325821,0.2583308815956116,0.4946078956127167,0.33290785551071167,0.4854315221309662,0.27910974621772766,0.5052502155303955,0.27738237380981445,1.0,0.1826142966747284
the,0.6662389636039734,0.5829201340675354,0.2041238248348236,0.24644890427589417,0.4933079481124878,0.42745697498321533,0.5823672413825989,0.23508106172084808,0.5829201340675354,0.28977152705192566,0.733189046382904,0.22068053483963013
productivity,0.18360760807991028,0.21406765282154083,0.33954286575317383,0.4374251663684845,0.2500196099281311,0.2654266059398651,0.23724260926246643,0.44250747561454773,0.21406765282154083,0.30518391728401184,0.2269303798675537,0.23359106481075287
gap,0.1954546719789505,0.22175835072994232,0.1379002332687378,0.13014161586761475,0.213828906416893,0.17691411077976227,0.19868990778923035,0.255584180355072,0.22175835072994232,0.17429408431053162,0.2172139286994934,0.09251954406499863
between,0.41100412607192993,0.29385313391685486,0.16633649170398712,0.17449726164340973,0.27714940905570984,0.2462156116962433,0.26809602975845337,0.29772037267684937,0.29385313391685486,0.18007667362689972,0.3737983703613281,0.12887074053287506
highly-paid,0.30288079380989075,0.3354402482509613,0.2123449295759201,0.2490561157464981,0.30147215723991394,0.2900795638561249,0.28152114152908325,0.2456255853176117,0.3354402482509613,0.2420153021812439,0.34702709317207336,0.22317546606063843
professions,0.19816915690898895,0.2951270639896393,0.1311132162809372,0.2845419645309448,0.3048284649848938,0.2469734102487564,0.23565930128097534,0.2833051085472107,0.2951270639896393,0.11447600275278091,0.25294873118400574,0.1938619166612625
and,0.4954058527946472,0.3739250600337982,0.23057621717453003,0.26484790444374084,0.6633074283599854,0.31309178471565247,0.3859752118587494,0.2590520679950714,0.3739250600337982,0.2393127828836441,0.5116966962814331,0.20544172823429108
lower-paid,0.29267606139183044,0.279192179441452,0.2653638422489166,0.3193804919719696,0.2809569537639618,0.2837706208229065,0.18207503855228424,0.3861486613750458,0.279192179441452,0.15624363720417023,0.34192097187042236,0.20497649908065796
professions,0.19816915690898895,0.2951270639896393,0.1311132162809372,0.2845419645309448,0.3048284649848938,0.2469734102487564,0.23565930128097534,0.2833051085472107,0.2951270639896393,0.11447600275278091,0.25294873118400574,0.1938619166612625
.,0.5591574311256409,0.50484299659729,0.19660170376300812,0.2477293759584427,0.6812511086463928,0.3567904531955719,0.4569662809371948,0.22563500702381134,0.50484299659729,0.2547461688518524,0.5352458953857422,0.4130953550338745
