,what,types,of,responsibilities,might,a,pharmacy,technician,have,?
in,0.30808621644973755,0.18516337871551514,0.5696388483047485,0.18130142986774445,0.26443570852279663,0.539380669593811,0.22082467377185822,0.19130711257457733,0.36843645572662354,0.20430970191955566
the,0.42745697498321533,0.23509301245212555,0.733189046382904,0.2885926067829132,0.32504433393478394,0.5829201340675354,0.1938311904668808,0.16273300349712372,0.40389683842658997,0.22068053483963013
uk,0.17163191735744476,0.19072361290454865,0.21513383090496063,0.1469326764345169,0.1815558522939682,0.19665123522281647,0.17869573831558228,0.2226514369249344,0.1696256846189499,0.20222434401512146
the,0.42745697498321533,0.23509301245212555,0.733189046382904,0.2885926067829132,0.32504433393478394,0.5829201340675354,0.1938311904668808,0.16273300349712372,0.40389683842658997,0.22068053483963013
role,0.22614215314388275,0.0803406685590744,0.1797693818807602,0.34224894642829895,0.16487249732017517,0.22880133986473083,0.08443436771631241,0.13987292349338531,0.15813656151294708,0.18676944077014923
of,0.33290785551071167,0.2447618544101715,1.0,0.27643904089927673,0.2900311052799225,0.5052502155303955,0.18226979672908783,0.09919387847185135,0.3802283704280853,0.1826142966747284
a,0.3320399522781372,0.27099108695983887,0.5052502155303955,0.20878002047538757,0.4210625886917114,1.0,0.21975059807300568,0.22603899240493774,0.338716596364975,0.23916715383529663
pht,0.15415869653224945,0.21896955370903015,0.1571073681116104,0.15057548880577087,0.22280514240264893,0.21070915460586548,0.3706302046775818,0.2874397933483124,0.21970012784004211,0.24604324996471405
has,0.20338068902492523,0.22215433418750763,0.3909035325050354,0.20945468544960022,0.32525649666786194,0.4670248031616211,0.14217540621757507,0.10940933972597122,0.6353569626808167,0.15994466841220856
grown,0.1829942911863327,0.19475378096103668,0.2827320992946625,0.19671961665153503,0.21502387523651123,0.2070879489183426,0.21167516708374023,0.045201532542705536,0.3075537383556366,0.10581663250923157
and,0.31309178471565247,0.3014242649078369,0.5116966962814331,0.3244750499725342,0.31685465574264526,0.3739250600337982,0.21655313670635223,0.17816412448883057,0.4711785912513733,0.20544172823429108
responsibility,0.3360894024372101,0.11670255661010742,0.28464245796203613,0.9131866097450256,0.29601266980171204,0.22730666399002075,0.1812942773103714,0.2105293869972229,0.29877299070358276,0.20907385647296906
has,0.20338068902492523,0.22215433418750763,0.3909035325050354,0.20945468544960022,0.32525649666786194,0.4670248031616211,0.14217540621757507,0.10940933972597122,0.6353569626808167,0.15994466841220856
been,0.2567804455757141,0.26826557517051697,0.31685134768486023,0.2807045876979828,0.3649062514305115,0.3315402865409851,0.07285185903310776,0.09474575519561768,0.6493861675262451,0.24354910850524902
passed,0.22233739495277405,0.06411311775445938,0.2703755795955658,0.2694690525531769,0.2104455977678299,0.24766449630260468,0.17729973793029785,0.12937192618846893,0.24508267641067505,0.12064517289400101
on,0.34226128458976746,0.2141326367855072,0.3966929316520691,0.1771114021539688,0.23525792360305786,0.3848365545272827,0.17541885375976562,0.18503381311893463,0.36494916677474976,0.2714994251728058
to,0.455847829580307,0.20054484903812408,0.41548454761505127,0.2899641990661621,0.5153919458389282,0.45503583550453186,0.1824638396501541,0.20189866423606873,0.4544740617275238,0.29463258385658264
them,0.4994642734527588,0.3692839741706848,0.34503093361854553,0.3559463322162628,0.43886637687683105,0.3151612877845764,0.16964799165725708,0.1503583788871765,0.5357621312141418,0.35435691475868225
to,0.455847829580307,0.20054484903812408,0.41548454761505127,0.2899641990661621,0.5153919458389282,0.45503583550453186,0.1824638396501541,0.20189866423606873,0.4544740617275238,0.29463258385658264
manage,0.265919029712677,0.15582379698753357,0.20368057489395142,0.356616348028183,0.28400918841362,0.25264784693717957,0.20596261322498322,0.2009442150592804,0.2895157039165497,0.2014334350824356
the,0.42745697498321533,0.23509301245212555,0.733189046382904,0.2885926067829132,0.32504433393478394,0.5829201340675354,0.1938311904668808,0.16273300349712372,0.40389683842658997,0.22068053483963013
pharmacy,0.21638189256191254,0.07559753209352493,0.18226979672908783,0.19778628647327423,0.15637502074241638,0.21975059807300568,1.0,0.3012925684452057,0.172938272356987,0.1355620175600052
department,0.20655807852745056,0.1999543160200119,0.3181971311569214,0.2634052038192749,0.14740514755249023,0.17256495356559753,0.3141871988773346,0.2632727324962616,0.1813110113143921,0.1343645304441452
and,0.31309178471565247,0.3014242649078369,0.5116966962814331,0.3244750499725342,0.31685465574264526,0.3739250600337982,0.21655313670635223,0.17816412448883057,0.4711785912513733,0.20544172823429108
specialised,0.21627891063690186,0.3791731297969818,0.2754605710506439,0.31250542402267456,0.3236915171146393,0.2672325372695923,0.27593788504600525,0.31434914469718933,0.37198498845100403,0.18122164905071259
areas,0.23739881813526154,0.3362932801246643,0.2803763747215271,0.3519383668899536,0.2716331481933594,0.24730755388736725,0.18458442389965057,0.12088765949010849,0.35837849974632263,0.1273590475320816
in,0.30808621644973755,0.18516337871551514,0.5696388483047485,0.18130142986774445,0.26443570852279663,0.539380669593811,0.22082467377185822,0.19130711257457733,0.36843645572662354,0.20430970191955566
pharmacy,0.21638189256191254,0.07559753209352493,0.18226979672908783,0.19778628647327423,0.15637502074241638,0.21975059807300568,1.0,0.3012925684452057,0.172938272356987,0.1355620175600052
practice,0.2749895751476288,0.17462334036827087,0.2597380578517914,0.3286176919937134,0.20346002280712128,0.27658340334892273,0.2685104310512543,0.17915043234825134,0.2906533181667328,0.21386858820915222
allowing,0.21854478120803833,0.16729335486888885,0.29282480478286743,0.3308202028274536,0.3866352140903473,0.3025304675102234,0.15430496633052826,0.1569378823041916,0.36123982071876526,0.1434045135974884
pharmacists,0.28274545073509216,0.22212976217269897,0.20506609976291656,0.22749672830104828,0.31382250785827637,0.25803542137145996,0.7877770662307739,0.3059596121311188,0.3271150588989258,0.1797308325767517
the,0.42745697498321533,0.23509301245212555,0.733189046382904,0.2885926067829132,0.32504433393478394,0.5829201340675354,0.1938311904668808,0.16273300349712372,0.40389683842658997,0.22068053483963013
time,0.36319252848625183,0.20990289747714996,0.35127586126327515,0.2520768642425537,0.29128819704055786,0.3292340338230133,0.2017434537410736,0.1951950341463089,0.3659670352935791,0.27391523122787476
