,what,is,the,largest,traveling,fair,in,europe,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.2753162384033203,0.2018251270055771,0.6662389636039734,0.34463706612586975,0.22068053483963013
hoppings,0.23065772652626038,0.21562011539936066,0.21224600076675415,0.16568392515182495,0.1926720142364502,0.19116748869419098,0.16391269862651825,0.20472311973571777,0.2839316129684448
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.26626327633857727,0.19962750375270844,0.2696084678173065,0.5201468467712402,0.2542513906955719,0.31091248989105225
reputedly,0.2074810117483139,0.166179358959198,0.22721819579601288,0.1636582612991333,0.13743822276592255,0.19604526460170746,0.19228526949882507,0.18577878177165985,0.1357717216014862
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.2753162384033203,0.2018251270055771,0.6662389636039734,0.34463706612586975,0.22068053483963013
largest,0.13463157415390015,0.3413417339324951,0.3757036626338959,0.9999999403953552,0.13323141634464264,0.1420276015996933,0.3017216920852661,0.2597532272338867,0.12401245534420013
travelling,0.23107963800430298,0.18501920998096466,0.2908712327480316,0.17690825462341309,0.7622792720794678,0.14426499605178833,0.22477178275585175,0.24521155655384064,0.10423967242240906
fair,0.31485888361930847,0.1955455094575882,0.2018251270055771,0.1420276015996933,0.14462803304195404,1.0000001192092896,0.17628079652786255,0.09386903047561646,0.22737592458724976
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.3017216920852661,0.20478862524032593,0.17628079652786255,1.0,0.33061710000038147,0.20430970191955566
europe,0.17179538309574127,0.20961034297943115,0.34463706612586975,0.2597532272338867,0.235676109790802,0.09386903047561646,0.33061710000038147,1.0000001192092896,0.18278923630714417
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.26626327633857727,0.19962750375270844,0.2696084678173065,0.5201468467712402,0.2542513906955719,0.31091248989105225
takes,0.15264007449150085,0.4061736762523651,0.33578023314476013,0.14895440638065338,0.29741427302360535,0.14861276745796204,0.2945663630962372,0.13689254224300385,0.10935472697019577
place,0.2689766585826874,0.3122972249984741,0.4179787337779999,0.23909464478492737,0.22960180044174194,0.23441506922245026,0.38128477334976196,0.21859313547611237,0.2455766350030899
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.16868500411510468,0.2166467010974884,0.2015625387430191,0.46853652596473694,0.250590980052948,0.2714994251728058
newcastle,0.16276082396507263,0.1841045320034027,0.2253497689962387,0.17620566487312317,0.15107519924640656,0.15801824629306793,0.19270820915699005,0.2158113569021225,0.0902252271771431
town,0.19713185727596283,0.30097827315330505,0.2974243760108948,0.2161252647638321,0.19436904788017273,0.13964970409870148,0.34975525736808777,0.13645170629024506,0.09902279824018478
moor,0.12272269278764725,0.16642916202545166,0.20820119976997375,0.16152805089950562,0.12724857032299042,0.18499957025051117,0.2172868251800537,0.1863015592098236,0.05198021978139877
every,0.30284011363983154,0.3428492546081543,0.4023689329624176,0.18683791160583496,0.2467597872018814,0.27626290917396545,0.31953179836273193,0.19858886301517487,0.24066033959388733
june,0.2171148657798767,0.2469720095396042,0.24568822979927063,0.12250323593616486,0.1391402631998062,0.21687881648540497,0.29047903418540955,0.17617112398147583,0.31416764855384827
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18871670961380005,0.2175574004650116,0.18155190348625183,0.5591574311256409,0.31984585523605347,0.4130953550338745
