,where,was,the,space,task,group,located,?
it,0.36972272396087646,0.4577186405658722,0.6251175999641418,0.1662190854549408,0.21210777759552002,0.2364906221628189,0.34368759393692017,0.25732165575027466
became,0.1668500453233719,0.6575068235397339,0.36325156688690186,0.08250382542610168,0.097772978246212,0.1589025855064392,0.14077776670455933,0.11374033987522125
clear,0.30406272411346436,0.13787133991718292,0.3209454417228699,0.15410171449184418,0.23705118894577026,0.15836915373802185,0.08900582790374756,0.2738020122051239
that,0.4876193106174469,0.33670201897621155,0.5473989248275757,0.2368461638689041,0.3318406343460083,0.3089635670185089,0.1796129047870636,0.32716336846351624
managing,0.20745158195495605,0.22950881719589233,0.2366330474615097,0.229022815823555,0.30989760160446167,0.17182885110378265,0.1530454456806183,0.09971600025892258
the,0.5003893971443176,0.48711544275283813,1.0,0.24495907127857208,0.22566188871860504,0.30795547366142273,0.407527357339859,0.22068053483963013
apollo,0.08840306103229523,0.2306441366672516,0.2169172167778015,0.3076713979244232,0.18596574664115906,0.10725327581167221,0.09110546112060547,0.191528782248497
program,0.19802777469158173,0.1849333792924881,0.22986935079097748,0.27222728729248047,0.34723177552223206,0.22232387959957123,0.09791156649589539,0.1440187245607376
would,0.3602546751499176,0.41663143038749695,0.4133751392364502,0.2089509218931198,0.2964872419834137,0.15431860089302063,0.10901174694299698,0.37178951501846313
exceed,0.16680409014225006,0.17090298235416412,0.23819206655025482,0.19621148705482483,0.1500709503889084,0.13920864462852478,0.11641322076320648,0.13049276173114777
the,0.5003893971443176,0.48711544275283813,1.0,0.24495907127857208,0.22566188871860504,0.30795547366142273,0.407527357339859,0.22068053483963013
capabilities,0.15503914654254913,0.11712989211082458,0.2042628526687622,0.267724871635437,0.4108053743839264,0.18641583621501923,0.1761341243982315,0.20460444688796997
of,0.38066378235816956,0.4069072902202606,0.733189046382904,0.21300287544727325,0.18514713644981384,0.25542253255844116,0.32520920038223267,0.1826142966747284
robert,0.15809039771556854,0.24186499416828156,0.2257954627275467,0.09437542408704758,0.17912061512470245,0.11834578216075897,0.0640135407447815,0.11293095350265503
r.,-0.00745957950130105,0.14707937836647034,0.007481080945581198,-0.0024734006728976965,0.004673323594033718,0.19274163246154785,-0.09885663539171219,0.10428094118833542
gilruth,0.2514196038246155,0.3229728937149048,0.31088438630104065,0.22317267954349518,0.22329135239124298,0.226636603474617,0.19743555784225464,0.22578026354312897
's,0.0007701900321990252,0.008974763564765453,-0.01540423184633255,-0.1200559139251709,0.03291068598628044,-0.01093533169478178,-0.031078986823558807,-0.023395681753754616
space,0.2208663374185562,0.14677780866622925,0.24495907127857208,1.0000001192092896,0.20996089279651642,0.1777517944574356,0.1592559665441513,0.1885536164045334
task,0.21150095760822296,0.17517952620983124,0.22566188871860504,0.20996089279651642,1.0,0.19646552205085754,0.13167420029640198,0.289821058511734
group,0.19778083264827728,0.1789962202310562,0.30795547366142273,0.1777517944574356,0.19646552205085754,0.9999999403953552,0.14253154397010803,0.13827809691429138
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.2285580337047577,0.21093271672725677,0.2809832692146301,0.2678719460964203,0.31091248989105225
which,0.5477990508079529,0.2830964922904968,0.6521818041801453,0.2025344967842102,0.2638848125934601,0.32466647028923035,0.29797419905662537,0.25814583897590637
had,0.2596948444843292,0.5927209258079529,0.3875846862792969,0.16386190056800842,0.18766997754573822,0.20148104429244995,0.1453970968723297,0.20728366076946259
been,0.24669882655143738,0.518218457698822,0.3563927710056305,0.18637923896312714,0.2038501501083374,0.18679015338420868,0.13127942383289337,0.24354910850524902
directing,0.24284705519676208,0.2110992670059204,0.34082669019699097,0.16795210540294647,0.249508336186409,0.15393216907978058,0.1800646185874939,0.11965001374483109
the,0.5003893971443176,0.48711544275283813,1.0,0.24495907127857208,0.22566188871860504,0.30795547366142273,0.407527357339859,0.22068053483963013
nation,0.21890567243099213,0.26869508624076843,0.39486879110336304,0.15044166147708893,0.161859929561615,0.2223362922668457,0.22223472595214844,0.17865248024463654
's,0.0007701900321990252,0.008974763564765453,-0.01540423184633255,-0.1200559139251709,0.03291068598628044,-0.01093533169478178,-0.031078986823558807,-0.023395681753754616
manned,0.14348626136779785,0.24339483678340912,0.2392944097518921,0.4009856879711151,0.2758806049823761,0.1546257883310318,0.2471044361591339,0.17514055967330933
space,0.2208663374185562,0.14677780866622925,0.24495907127857208,1.0000001192092896,0.20996089279651642,0.1777517944574356,0.1592559665441513,0.1885536164045334
program,0.19802777469158173,0.1849333792924881,0.22986935079097748,0.27222728729248047,0.34723177552223206,0.22232387959957123,0.09791156649589539,0.1440187245607376
from,0.3713873624801636,0.31171464920043945,0.40150508284568787,0.14363344013690948,0.12869276106357574,0.2369973510503769,0.2290649116039276,0.19969791173934937
nasa,0.10755529254674911,0.19417528808116913,0.19786997139453888,0.4611377716064453,0.23243984580039978,0.13749520480632782,0.144960418343544,0.1809994876384735
's,0.0007701900321990252,0.008974763564765453,-0.01540423184633255,-0.1200559139251709,0.03291068598628044,-0.01093533169478178,-0.031078986823558807,-0.023395681753754616
langley,0.18488763272762299,0.3013164699077606,0.306919664144516,0.27621617913246155,0.11124741286039352,0.1266077309846878,0.24817171692848206,0.14557650685310364
