,who,organized,the,britain,can,make,it,exhibition,?
the,0.3733934462070465,0.28001853823661804,1.0,0.29784059524536133,0.312528520822525,0.3146495521068573,0.6251175999641418,0.22614671289920807,0.22068053483963013
success,0.174932062625885,0.19923414289951324,0.2764457166194916,0.2746804356575012,0.12414290010929108,0.1795540153980255,0.26427826285362244,0.22106574475765228,0.1216118186712265
of,0.2827862501144409,0.2566941976547241,0.733189046382904,0.28899943828582764,0.2603091299533844,0.2912110388278961,0.38761502504348755,0.20735959708690643,0.1826142966747284
this,0.3345087468624115,0.23368395864963531,0.6274310946464539,0.2555267810821533,0.4006461203098297,0.4313279688358307,0.6107783317565918,0.209568053483963,0.3155723512172699
exhibition,0.1821725070476532,0.27817603945732117,0.22614671289920807,0.2268972396850586,0.1121729388833046,0.16665147244930267,0.16556185483932495,1.0000001192092896,0.11494685709476471
led,0.2450801581144333,0.2995787560939789,0.3267505168914795,0.20651252567768097,0.07811321318149567,0.1738184690475464,0.09852217882871628,0.2057289481163025,0.09273858368396759
to,0.42656609416007996,0.2154233157634735,0.535392165184021,0.25324371457099915,0.4979398250579834,0.497876912355423,0.513711154460907,0.17194919288158417,0.29463258385658264
the,0.3733934462070465,0.28001853823661804,1.0,0.29784059524536133,0.312528520822525,0.3146495521068573,0.6251175999641418,0.22614671289920807,0.22068053483963013
planning,0.2241315394639969,0.29878684878349304,0.3046698570251465,0.19126030802726746,0.14957095682621002,0.2279840111732483,0.24183262884616852,0.24017933011054993,0.1869431883096695
of,0.2827862501144409,0.2566941976547241,0.733189046382904,0.28899943828582764,0.2603091299533844,0.2912110388278961,0.38761502504348755,0.20735959708690643,0.1826142966747284
the,0.3733934462070465,0.28001853823661804,1.0,0.29784059524536133,0.312528520822525,0.3146495521068573,0.6251175999641418,0.22614671289920807,0.22068053483963013
festival,0.15094922482967377,0.2312910407781601,0.20982226729393005,0.1824871003627777,0.1458803415298462,0.10282636433839798,0.23690196871757507,0.30569565296173096,0.17767390608787537
of,0.2827862501144409,0.2566941976547241,0.733189046382904,0.28899943828582764,0.2603091299533844,0.2912110388278961,0.38761502504348755,0.20735959708690643,0.1826142966747284
britain,0.2346068173646927,0.15012334287166595,0.29784059524536133,1.0000001192092896,0.17672592401504517,0.20652365684509277,0.24028480052947998,0.2268972396850586,0.1268460750579834
(,0.2443375140428543,0.1367122083902359,0.33289089798927307,0.15627750754356384,0.22726960480213165,0.2345844954252243,0.2745298147201538,0.09543333947658539,0.40561532974243164
1951,-0.03120521828532219,-0.13239122927188873,-0.20524539053440094,-0.15814454853534698,-0.08391918987035751,-0.11769145727157593,-0.22708073258399963,-0.1359766721725464,-0.20064012706279755
),0.2457384318113327,0.1452978551387787,0.3456730246543884,0.17229953408241272,0.23216170072555542,0.2487562596797943,0.28560304641723633,0.12514269351959229,0.42300865054130554
.,0.3541337847709656,0.2294844090938568,0.5934505462646484,0.25750598311424255,0.35783761739730835,0.3547073304653168,0.5593622326850891,0.16661708056926727,0.4130953550338745
,who,organized,the,britain,can,make,it,exhibition,?
this,0.3345087468624115,0.23368395864963531,0.6274310946464539,0.2555267810821533,0.4006461203098297,0.4313279688358307,0.6107783317565918,0.209568053483963,0.3155723512172699
was,0.3318818509578705,0.2777135372161865,0.48711544275283813,0.27792006731033325,0.23099195957183838,0.20205417275428772,0.4577186405658722,0.24921445548534393,0.18412111699581146
organised,0.22497816383838654,0.645948588848114,0.2934150993824005,0.27103951573371887,0.10603724420070648,0.1760828197002411,0.1882506161928177,0.3015308082103729,0.12453324347734451
by,0.39727845788002014,0.2424151748418808,0.4408751428127289,0.20873384177684784,0.29642900824546814,0.2695997655391693,0.40926623344421387,0.16569796204566956,0.17966607213020325
the,0.3733934462070465,0.28001853823661804,1.0,0.29784059524536133,0.312528520822525,0.3146495521068573,0.6251175999641418,0.22614671289920807,0.22068053483963013
