,in,local,alemannic,dialect,",",what,is,the,the,singular,form,of,the,names,of,the,islands,formed,by,the,rhine,?
in,1.0,0.2223825752735138,0.27618688344955444,0.19946523010730743,0.5201468467712402,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.6662389636039734,0.19735653698444366,0.2815987169742584,0.5696388483047485,0.6662389636039734,0.19826655089855194,0.5696388483047485,0.6662389636039734,0.2010209858417511,0.27325257658958435,0.370934396982193,0.6662389636039734,0.24648422002792358,0.20430970191955566
the,0.6662389636039734,0.2130540907382965,0.2998456358909607,0.18307873606681824,0.4933079481124878,0.42745697498321533,0.5823672413825989,1.0,1.0,0.2641136050224304,0.29286009073257446,0.733189046382904,1.0,0.27965226769447327,0.733189046382904,1.0,0.27959951758384705,0.28813210129737854,0.4408751428127289,1.0,0.30735138058662415,0.22068053483963013
local,0.2223825752735138,1.0,0.26145219802856445,0.25070467591285706,0.20673875510692596,0.18981902301311493,0.13173899054527283,0.2130540907382965,0.2130540907382965,0.22857682406902313,0.11148111522197723,0.20668989419937134,0.2130540907382965,0.18172046542167664,0.20668989419937134,0.2130540907382965,0.1932269185781479,0.20755881071090698,0.17162570357322693,0.2130540907382965,0.14312678575515747,0.15022775530815125
alemannic,0.27618688344955444,0.26145219802856445,1.0,0.45877689123153687,0.2393423616886139,0.2311769276857376,0.25289711356163025,0.2998456358909607,0.2998456358909607,0.21934165060520172,0.1898285299539566,0.26005497574806213,0.2998456358909607,0.16150020062923431,0.26005497574806213,0.2998456358909607,0.170619934797287,0.13116681575775146,0.19974114000797272,0.2998456358909607,0.4241665005683899,0.25152501463890076
dialect,0.19946523010730743,0.25070467591285706,0.45877689123153687,1.0,0.19181562960147858,0.22094208002090454,0.19101184606552124,0.18307873606681824,0.18307873606681824,0.28820550441741943,0.16728056967258453,0.17277581989765167,0.18307873606681824,0.21820418536663055,0.17277581989765167,0.18307873606681824,0.24996894598007202,0.12028692662715912,0.07641436904668808,0.18307873606681824,0.2035110741853714,0.11663753539323807
",",0.5201468467712402,0.20673875510692596,0.2393423616886139,0.19181562960147858,1.0000001192092896,0.3087472915649414,0.4691906273365021,0.4933079481124878,0.4933079481124878,0.2602675259113312,0.21805599331855774,0.4946078956127167,0.4933079481124878,0.2669545114040375,0.4946078956127167,0.4933079481124878,0.2641065716743469,0.2636634409427643,0.3680937886238098,0.4933079481124878,0.167837992310524,0.31091248989105225
the,0.6662389636039734,0.2130540907382965,0.2998456358909607,0.18307873606681824,0.4933079481124878,0.42745697498321533,0.5823672413825989,1.0,1.0,0.2641136050224304,0.29286009073257446,0.733189046382904,1.0,0.27965226769447327,0.733189046382904,1.0,0.27959951758384705,0.28813210129737854,0.4408751428127289,1.0,0.30735138058662415,0.22068053483963013
singular,0.19735653698444366,0.22857682406902313,0.21934165060520172,0.28820550441741943,0.2602675259113312,0.2832280993461609,0.23253826797008514,0.2641136050224304,0.2641136050224304,0.9999998807907104,0.26948362588882446,0.25296831130981445,0.2641136050224304,0.25265663862228394,0.25296831130981445,0.2641136050224304,0.20554551482200623,0.18749628961086273,0.08454886078834534,0.2641136050224304,0.15559189021587372,0.17302146553993225
is,0.5394441485404968,0.13173899054527283,0.25289711356163025,0.19101184606552124,0.4691906273365021,0.28837618231773376,1.0,0.5823672413825989,0.5823672413825989,0.23253826797008514,0.3218395411968231,0.4854315221309662,0.5823672413825989,0.21354545652866364,0.4854315221309662,0.5823672413825989,0.18837878108024597,0.22319979965686798,0.3899846076965332,0.5823672413825989,0.15617261826992035,0.22961433231830597
pronounced,0.18721576035022736,0.09252986311912537,0.20771728456020355,0.3805748224258423,0.2561875581741333,0.167657732963562,0.25434353947639465,0.15958891808986664,0.15958891808986664,0.29850244522094727,0.16200722754001617,0.11319049447774887,0.15958891808986664,0.2663295269012451,0.11319049447774887,0.15958891808986664,0.12773354351520538,0.17267432808876038,0.11727114766836166,0.15958891808986664,0.134031742811203,0.18877464532852173
