,what,is,it,called,when,the,tax,rate,and,base,amount,increase,simultaneously,?
a,0.3320399522781372,0.658733606338501,0.5452592968940735,0.4868806302547455,0.44397395849227905,0.5829201340675354,0.23702840507030487,0.24373900890350342,0.3739250600337982,0.27513372898101807,0.3439450263977051,0.24428929388523102,0.27070993185043335,0.23916715383529663
progressive,0.20924389362335205,0.19127468764781952,0.1285521686077118,0.22594478726387024,0.18502916395664215,0.2495650351047516,0.26907187700271606,0.2211216539144516,0.2772483825683594,0.07990062981843948,0.19776636362075806,0.3067573308944702,0.26758256554603577,0.12022990733385086
tax,0.21278929710388184,0.12364397197961807,0.17267748713493347,0.1899346560239792,0.1878177672624588,0.19507044553756714,0.9999999403953552,0.33589982986450195,0.2044418603181839,0.1616012305021286,0.34067606925964355,0.3543097972869873,0.20515567064285278,0.2097984105348587
is,0.28837618231773376,1.0,0.6328473687171936,0.430266410112381,0.3471449911594391,0.5823672413825989,0.12364397197961807,0.24290183186531067,0.3859752118587494,0.28868359327316284,0.3016021251678467,0.18273088335990906,0.195766419172287,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.5452592968940735,0.4868806302547455,0.44397395849227905,0.5829201340675354,0.23702840507030487,0.24373900890350342,0.3739250600337982,0.27513372898101807,0.3439450263977051,0.24428929388523102,0.27070993185043335,0.23916715383529663
tax,0.21278929710388184,0.12364397197961807,0.17267748713493347,0.1899346560239792,0.1878177672624588,0.19507044553756714,0.9999999403953552,0.33589982986450195,0.2044418603181839,0.1616012305021286,0.34067606925964355,0.3543097972869873,0.20515567064285278,0.2097984105348587
by,0.2455483376979828,0.3899846076965332,0.40926623344421387,0.3092815577983856,0.4376842677593231,0.4408751428127289,0.17775239050388336,0.20015428960323334,0.4289871156215668,0.21752656996250153,0.19143085181713104,0.20121172070503235,0.245899498462677,0.17966607213020325
which,0.5261979103088379,0.4457404911518097,0.616637647151947,0.5573342442512512,0.572554349899292,0.6521818041801453,0.22960160672664642,0.26058194041252136,0.506277859210968,0.2855173349380493,0.38932931423187256,0.3720623254776001,0.42111271619796753,0.25814583897590637
the,0.42745697498321533,0.5823672413825989,0.6251175999641418,0.489897221326828,0.5091903209686279,1.0,0.19507044553756714,0.24881242215633392,0.5171257257461548,0.2870652377605438,0.3336862325668335,0.32049667835235596,0.26942768692970276,0.22068053483963013
tax,0.21278929710388184,0.12364397197961807,0.17267748713493347,0.1899346560239792,0.1878177672624588,0.19507044553756714,0.9999999403953552,0.33589982986450195,0.2044418603181839,0.1616012305021286,0.34067606925964355,0.3543097972869873,0.20515567064285278,0.2097984105348587
rate,0.21845893561840057,0.24290183186531067,0.2473200112581253,0.14546145498752594,0.20147286355495453,0.24881242215633392,0.33589982986450195,1.0000001192092896,0.17405889928340912,0.19042198359966278,0.4187385141849518,0.5056966543197632,0.26860979199409485,0.1308269053697586
increases,0.23849372565746307,0.24743452668190002,0.25594741106033325,0.29351699352264404,0.3511248826980591,0.38141000270843506,0.32018688321113586,0.5145103335380554,0.2800044119358063,0.2565684914588928,0.5037626028060913,0.8556717038154602,0.3148757219314575,0.10270863026380539
as,0.31749409437179565,0.43216490745544434,0.4461488723754883,0.2827680706977844,0.4437963366508484,0.48381632566452026,0.15733236074447632,0.17456910014152527,0.49487000703811646,0.20152351260185242,0.19476667046546936,0.24019303917884827,0.21430425345897675,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,0.6251175999641418,0.489897221326828,0.5091903209686279,1.0,0.19507044553756714,0.24881242215633392,0.5171257257461548,0.2870652377605438,0.3336862325668335,0.32049667835235596,0.26942768692970276,0.22068053483963013
taxable,0.32343634963035583,0.25915637612342834,0.3066175580024719,0.2213224172592163,0.24372395873069763,0.3077660799026489,0.6455044746398926,0.35650834441185,0.33467230200767517,0.191438227891922,0.41037097573280334,0.43153116106987,0.2723718583583832,0.3143687844276428
base,0.1336955726146698,0.28868359327316284,0.28890976309776306,0.2427084743976593,0.2460559606552124,0.2870652377605438,0.1616012305021286,0.19042198359966278,0.23155631124973297,1.0000001192092896,0.19317787885665894,0.20021426677703857,0.10056445747613907,0.10518061369657516
amount,0.2602839767932892,0.3016021251678467,0.3270067572593689,0.21523937582969666,0.33989670872688293,0.3336862325668335,0.34067606925964355,0.4187385141849518,0.2668909728527069,0.19317787885665894,1.0000001192092896,0.46620678901672363,0.22919780015945435,0.17984020709991455
increases,0.23849372565746307,0.24743452668190002,0.25594741106033325,0.29351699352264404,0.3511248826980591,0.38141000270843506,0.32018688321113586,0.5145103335380554,0.2800044119358063,0.2565684914588928,0.5037626028060913,0.8556717038154602,0.3148757219314575,0.10270863026380539
.,0.3567904531955719,0.4569662809371948,0.5593622326850891,0.300344854593277,0.475719153881073,0.5934505462646484,0.23817123472690582,0.2418757975101471,0.588965117931366,0.26800644397735596,0.24893930554389954,0.24619564414024353,0.2399883270263672,0.4130953550338745
