,what,was,report,p-2626
report,0.2868559956550598,0.19926786422729492,0.9999998807907104,0.08719907701015472
p-2626,0.2793515920639038,0.08724398165941238,0.08719907701015472,0.9999999403953552
described,0.22590412199497223,0.2883506715297699,0.2695773243904114,0.16964153945446014
a,0.3320399522781372,0.4508470594882965,0.2148611694574356,0.15981502830982208
general,0.24928055703639984,0.2445744127035141,0.18785524368286133,0.05846311151981354
architecture,0.23286667466163635,0.2264874130487442,0.06428647041320801,0.004316526465117931
for,0.3017193675041199,0.3863949179649353,0.2216007560491562,0.09508568793535233
a,0.3320399522781372,0.4508470594882965,0.2148611694574356,0.15981502830982208
large-scale,0.26211512088775635,0.2392376959323883,0.2865391969680786,0.11285310238599777
",",0.3087472915649414,0.45456063747406006,0.250803142786026,0.07282454520463943
distributed,0.12753748893737793,0.1954849809408188,0.21950273215770721,0.0899534523487091
",",0.3087472915649414,0.45456063747406006,0.250803142786026,0.07282454520463943
survivable,0.3223760724067688,0.21822617948055267,0.2759234309196472,0.24030965566635132
communications,0.18950708210468292,0.2137834131717682,0.27774491906166077,0.005113828461617231
network,0.16917307674884796,0.1994880586862564,0.25415703654289246,0.020699983462691307
.,0.3567904531955719,0.40146201848983765,0.277835488319397,0.01927107945084572
,what,was,report,p-2626
baran,0.11883194744586945,0.1646592766046524,0.11666057258844376,0.06717803329229355
developed,0.15555569529533386,0.3253139555454254,0.1818796545267105,0.185146763920784
the,0.42745697498321533,0.48711544275283813,0.2556745111942291,0.08473308384418488
concept,0.28724339604377747,0.2765439450740814,0.10493963211774826,0.20115028321743011
of,0.33290785551071167,0.4069072902202606,0.22992923855781555,0.04990331456065178
distributed,0.12753748893737793,0.1954849809408188,0.21950273215770721,0.0899534523487091
adaptive,0.22806508839130402,0.18288499116897583,0.15007098019123077,0.1969272941350937
message,0.35757336020469666,0.16742418706417084,0.2788997292518616,0.2257348895072937
block,0.33229514956474304,0.1182115375995636,0.2373649626970291,0.12869997322559357
switching,0.24737738072872162,0.18965338170528412,0.12330558896064758,0.07324843108654022
during,0.24137552082538605,0.4470829963684082,0.1805049628019333,0.0505831204354763
his,0.26976513862609863,0.4405253231525421,0.15566636621952057,0.04012351855635643
research,0.237140491604805,0.21417704224586487,0.3599732220172882,0.09912827610969543
at,0.2838611304759979,0.36707764863967896,0.2458806037902832,-0.006377194542437792
the,0.42745697498321533,0.48711544275283813,0.2556745111942291,0.08473308384418488
rand,0.23037707805633545,0.22434252500534058,0.18373975157737732,0.15383785963058472
corporation,0.1715448498725891,0.2535845935344696,0.17818735539913177,-0.035277675837278366
for,0.3017193675041199,0.3863949179649353,0.2216007560491562,0.09508568793535233
the,0.42745697498321533,0.48711544275283813,0.2556745111942291,0.08473308384418488
us,0.32081687450408936,0.19898231327533722,0.22383563220500946,0.11019691079854965
air,0.10361403971910477,0.18898457288742065,0.138037770986557,-0.051277872174978256
force,0.16915984451770782,0.20879842340946198,0.19555364549160004,0.04828978329896927
into,0.2180619090795517,0.2322220653295517,0.11436567455530167,0.09519658982753754
survivable,0.3223760724067688,0.21822617948055267,0.2759234309196472,0.24030965566635132
communications,0.18950708210468292,0.2137834131717682,0.27774491906166077,0.005113828461617231
networks,0.18279550969600677,0.169170543551445,0.20898906886577606,0.0028142929077148438
",",0.3087472915649414,0.45456063747406006,0.250803142786026,0.07282454520463943
first,0.28086137771606445,0.5022147297859192,0.1939777135848999,0.15824982523918152
presented,0.23381416499614716,0.2883085608482361,0.21316151320934296,0.03372592851519585
to,0.455847829580307,0.3636345863342285,0.2559358477592468,0.16231772303581238
the,0.42745697498321533,0.48711544275283813,0.2556745111942291,0.08473308384418488
air,0.10361403971910477,0.18898457288742065,0.138037770986557,-0.051277872174978256
force,0.16915984451770782,0.20879842340946198,0.19555364549160004,0.04828978329896927
in,0.30808621644973755,0.45514053106307983,0.204250767827034,0.05470483750104904
the,0.42745697498321533,0.48711544275283813,0.2556745111942291,0.08473308384418488
summer,0.16213102638721466,0.22632931172847748,0.13949169218540192,0.03484441712498665
of,0.33290785551071167,0.4069072902202606,0.22992923855781555,0.04990331456065178
1961,-0.03442762792110443,0.09389110654592514,-0.11616174876689911,0.04054859280586243
as,0.31749409437179565,0.3677520453929901,0.26206639409065247,0.04614492505788803
briefing,0.18385592103004456,0.28812867403030396,0.4095400273799896,0.055030807852745056
b-265,0.0787566751241684,0.07904361933469772,0.16822770237922668,0.3475741147994995
",",0.3087472915649414,0.45456063747406006,0.250803142786026,0.07282454520463943
later,0.2517229914665222,0.5684447288513184,0.18607690930366516,0.10117679834365845
published,0.20457668602466583,0.2896443009376526,0.3798125088214874,0.13404658436775208
as,0.31749409437179565,0.3677520453929901,0.26206639409065247,0.04614492505788803
rand,0.23037707805633545,0.22434252500534058,0.18373975157737732,0.15383785963058472
