,when,did,bskyb,announce,it,'s,intention,to,replace,it,'s,free-to-air,digital,channels,?
on,0.37706470489501953,0.2670976221561432,0.13935911655426025,0.24828478693962097,0.4529881477355957,0.0026888418942689896,0.2348380982875824,0.41031414270401,0.2115083932876587,0.4529881477355957,0.0026888418942689896,0.2634529173374176,0.2216719537973404,0.3108726739883423,0.2714994251728058
8,0.010968375019729137,-0.004101584665477276,-0.014912096783518791,0.013920898549258709,-0.08903226256370544,0.04971888288855553,-0.02195878140628338,-0.013905820436775684,-0.004287597257643938,-0.08903226256370544,0.04971888288855553,0.034639209508895874,0.03350704163312912,-0.010399255901575089,-0.04056251794099808
february,0.2621206045150757,0.25426602363586426,0.2539891302585602,0.2348729968070984,0.2681677043437958,-0.056284528225660324,0.2592562735080719,0.20325583219528198,0.13935329020023346,0.2681677043437958,-0.056284528225660324,0.1745142638683319,0.07780663669109344,0.09726671874523163,0.29594847559928894
2007,-0.1582726538181305,-0.2447822093963623,-0.1625428944826126,-0.14789728820323944,-0.14445658028125763,-0.07339024543762207,-0.2322039008140564,-0.1738293468952179,-0.005826578009873629,-0.14445658028125763,-0.07339024543762207,-0.19495679438114166,0.016212310642004013,-0.04585105925798416,-0.1664225310087204
",",0.36674630641937256,0.3015086054801941,0.2852807641029358,0.19437241554260254,0.48329564929008484,-0.0016132977325469255,0.24119137227535248,0.44245919585227966,0.19695894420146942,0.48329564929008484,-0.0016132977325469255,0.3174576461315155,0.17865565419197083,0.2199012041091919,0.31091248989105225
bskyb,0.14459176361560822,0.15346096456050873,1.0000001192092896,0.13137052953243256,0.16915087401866913,0.046084970235824585,0.11358129233121872,0.16040074825286865,0.20963923633098602,0.16915087401866913,0.046084970235824585,0.26922181248664856,0.2244831621646881,0.1449941098690033,0.2979319989681244
announced,0.15404565632343292,0.2690480351448059,0.15416163206100464,0.8293300867080688,0.15299035608768463,-0.056355372071266174,0.369486540555954,0.20247882604599,0.2680695950984955,0.15299035608768463,-0.056355372071266174,0.18544629216194153,0.12995541095733643,0.19878804683685303,0.17416009306907654
its,0.34032323956489563,0.19922670722007751,0.16232934594154358,0.1663920134305954,0.5786119699478149,0.03202139586210251,0.21565274894237518,0.3691340684890747,0.17213566601276398,0.5786119699478149,0.03202139586210251,0.2371145337820053,0.13031713664531708,0.2970668077468872,0.15103481709957123
intention,0.2905697822570801,0.36771532893180847,0.11358129233121872,0.4110066294670105,0.2660040557384491,-0.015082811936736107,1.0,0.37529003620147705,0.20581763982772827,0.2660040557384491,-0.015082811936736107,0.2743736505508423,0.10662204027175903,0.11384064704179764,0.27262312173843384
to,0.5423505902290344,0.4452643394470215,0.16040074825286865,0.2422245293855667,0.513711154460907,0.03782717138528824,0.37529003620147705,1.0,0.3497537076473236,0.513711154460907,0.03782717138528824,0.32343536615371704,0.1787031590938568,0.21767447888851166,0.29463258385658264
replace,0.2646997570991516,0.20470131933689117,0.20963923633098602,0.22660785913467407,0.19596821069717407,-0.07363197207450867,0.20581763982772827,0.3497537076473236,1.0000001192092896,0.19596821069717407,-0.07363197207450867,0.11895845085382462,0.13397906720638275,0.11635220050811768,0.27411603927612305
its,0.34032323956489563,0.19922670722007751,0.16232934594154358,0.1663920134305954,0.5786119699478149,0.03202139586210251,0.21565274894237518,0.3691340684890747,0.17213566601276398,0.5786119699478149,0.03202139586210251,0.2371145337820053,0.13031713664531708,0.2970668077468872,0.15103481709957123
three,0.2820437252521515,0.2043166607618332,0.16006436944007874,0.08750329911708832,0.27537038922309875,0.03946888819336891,0.13639569282531738,0.3043823838233948,0.10195845365524292,0.27537038922309875,0.03946888819336891,0.179170623421669,0.15630698204040527,0.1754206418991089,0.20928427577018738
