,about,how,many,cubic,meters,of,make-up,water,is,used,by,a,700-megawatt,coal-fired,power,plant,for,evaporative,cooling,hourly,?
evaporative,0.15107452869415283,0.2083929181098938,0.20303671061992645,0.3679445683956146,0.2983093559741974,0.23131199181079865,0.2865811586380005,0.632208526134491,0.3083042800426483,0.30364254117012024,0.15102031826972961,0.24660974740982056,0.3723117411136627,0.40401944518089294,0.22129546105861664,0.3615984320640564,0.209011048078537,1.0000001192092896,0.5483213067054749,0.2511717975139618,0.1687430739402771
cooling,0.16853730380535126,0.2554044723510742,0.23378388583660126,0.290475070476532,0.25377437472343445,0.2464919537305832,0.2106180191040039,0.4451141655445099,0.19721323251724243,0.2434728592634201,0.16985099017620087,0.253410667181015,0.38560935854911804,0.421007364988327,0.317924439907074,0.29942840337753296,0.21203839778900146,0.5483213067054749,1.0000001192092896,0.21927876770496368,0.19326604902744293
towers,0.11799804121255875,0.11672791093587875,0.19874775409698486,0.21828417479991913,0.31136563420295715,0.19224536418914795,0.14003996551036835,0.19302599132061005,0.13957606256008148,0.21220137178897858,0.16851255297660828,0.15877503156661987,0.277904748916626,0.34191423654556274,0.26833710074424744,0.1498880386352539,0.18062777817249298,0.216486394405365,0.32186761498451233,0.20090770721435547,0.11272349953651428
need,0.2940417528152466,0.49246230721473694,0.3260347247123718,0.22299931943416595,0.1556876003742218,0.24285943806171417,0.2173590511083603,0.2950000464916229,0.25332385301589966,0.4084407389163971,0.18746642768383026,0.30329999327659607,0.21174854040145874,0.2526041865348816,0.22750256955623627,0.23354320228099823,0.3668079972267151,0.3189305067062378,0.316079318523407,0.32205870747566223,0.40413710474967957
less,0.37624892592430115,0.3495950996875763,0.3831726610660553,0.30665600299835205,0.21650294959545135,0.30836719274520874,0.25471970438957214,0.30554935336112976,0.3123510479927063,0.3045300245285034,0.2012643665075302,0.3475147485733032,0.2690499424934387,0.28968554735183716,0.24907979369163513,0.22090019285678864,0.3358951508998871,0.36495542526245117,0.30855852365493774,0.3503377139568329,0.22418740391731262
water,0.24728088080883026,0.19594718515872955,0.2702730894088745,0.3699619174003601,0.29645732045173645,0.2741255462169647,0.19908909499645233,0.9999998807907104,0.2879090905189514,0.2721066176891327,0.22562243044376373,0.2979097068309784,0.38410478830337524,0.37644535303115845,0.2890745997428894,0.3316476047039032,0.189085453748703,0.632208526134491,0.4451141655445099,0.249022975564003,0.14731885492801666
flow,0.1435808539390564,0.21408434212207794,0.20892028510570526,0.3629438579082489,0.2213129848241806,0.2407451719045639,0.15198135375976562,0.4377398192882538,0.26788079738616943,0.17952577769756317,0.16639110445976257,0.21422207355499268,0.33513322472572327,0.22419854998588562,0.2136474847793579,0.19347509741783142,0.1708725541830063,0.4672703742980957,0.3289876878261566,0.21262629330158234,0.10458291321992874
than,0.40586400032043457,0.29763275384902954,0.39069414138793945,0.265519917011261,0.25922515988349915,0.33036211133003235,0.21305036544799805,0.26151132583618164,0.2839990258216858,0.28633373975753784,0.2015816867351532,0.3126874566078186,0.2771139442920685,0.2501104176044464,0.2108277827501297,0.19269990921020508,0.30793827772140503,0.272971510887146,0.22024106979370117,0.31444355845451355,0.24917294085025787
``,0.008102871477603912,-0.01591024175286293,0.012824942357838154,0.13926488161087036,0.04059896990656853,0.06780257821083069,0.0757899358868599,0.021624350920319557,0.058766357600688934,0.08103004097938538,-0.030704375356435776,0.07272057235240936,0.005427603144198656,-0.06241561844944954,0.02305009216070175,-0.03582979366183281,0.01270448137074709,0.03425152227282524,-0.0439240001142025,0.04935964569449425,0.0685480609536171
once-through,0.32480329275131226,0.3453681170940399,0.36338773369789124,0.28118836879730225,0.18976108729839325,0.3999943733215332,0.2570379376411438,0.302318811416626,0.3364986479282379,0.2825363576412201,0.38247427344322205,0.433826208114624,0.33336958289146423,0.319620281457901,0.22684623301029205,0.2253398895263672,0.4174119234085083,0.3362928330898285,0.2705763280391693,0.2825481593608856,0.26951274275779724
'',0.007750829216092825,-0.0029843549709767103,-0.016843097284436226,0.05008777603507042,-0.01283800508826971,0.13035868108272552,-0.007733948994427919,-0.06721995025873184,0.0793738141655922,0.050410956144332886,-0.010275691747665405,0.04890415817499161,0.03299873322248459,0.012823483906686306,0.03610771894454956,-0.008381419815123081,-0.04479556903243065,-0.010143350809812546,-0.006896735168993473,-0.07720345258712769,0.018684765323996544
cooling,0.16853730380535126,0.2554044723510742,0.23378388583660126,0.290475070476532,0.25377437472343445,0.2464919537305832,0.2106180191040039,0.4451141655445099,0.19721323251724243,0.2434728592634201,0.16985099017620087,0.253410667181015,0.38560935854911804,0.421007364988327,0.317924439907074,0.29942840337753296,0.21203839778900146,0.5483213067054749,1.0000001192092896,0.21927876770496368,0.19326604902744293
by,0.30091190338134766,0.34370526671409607,0.3409687578678131,0.17070280015468597,0.15965574979782104,0.3646814823150635,0.18243449926376343,0.22562243044376373,0.3899846076965332,0.27705541253089905,1.0000001192092896,0.32094135880470276,0.14267820119857788,0.313244491815567,0.21582826972007751,0.20213352143764496,0.3248702883720398,0.15102031826972961,0.16985099017620087,0.23691216111183167,0.17966607213020325
river,0.16182227432727814,0.09142279624938965,0.12832623720169067,0.32736435532569885,0.23633918166160583,0.19903257489204407,0.18755562603473663,0.40245044231414795,0.20670881867408752,0.08789447695016861,0.11889402568340302,0.20514865219593048,0.34535571932792664,0.19386182725429535,0.13200804591178894,0.15485277771949768,0.12789757549762726,0.2962442636489868,0.12275930494070053,0.13173434138298035,0.15390869975090027
