,how,large,are,plastoglobuli,?
plastoglobuli,0.22687989473342896,0.39389172196388245,0.39545711874961853,0.9999999403953552,0.205425426363945
(,0.1676948219537735,0.1259251832962036,0.23263892531394958,0.23828886449337006,0.40561532974243164
singular,0.180061474442482,0.2600214183330536,0.31954002380371094,0.34887731075286865,0.17302146553993225
plastoglobulus,0.18883661925792694,0.3536504805088043,0.32217612862586975,0.9273571968078613,0.1813764125108719
",",0.22659391164779663,0.2263888567686081,0.4062570035457611,0.2822408080101013,0.31091248989105225
sometimes,0.3142040967941284,0.36017194390296936,0.47411349415779114,0.2670368552207947,0.1751544177532196
spelled,0.09780282527208328,0.10313504189252853,0.13192860782146454,0.15817604959011078,0.13924984633922577
plastoglobule,0.21446479856967926,0.37070944905281067,0.3753983974456787,0.9682641625404358,0.21403087675571442
(,0.1676948219537735,0.1259251832962036,0.23263892531394958,0.23828886449337006,0.40561532974243164
s,0.3008496165275574,0.24322138726711273,0.18007658421993256,0.1408490687608719,0.25130221247673035
),0.17939934134483337,0.12569274008274078,0.2373749315738678,0.22788865864276886,0.42300865054130554
),0.17939934134483337,0.12569274008274078,0.2373749315738678,0.22788865864276886,0.42300865054130554
",",0.22659391164779663,0.2263888567686081,0.4062570035457611,0.2822408080101013,0.31091248989105225
are,0.311818927526474,0.3467932939529419,1.0,0.39545711874961853,0.24591213464736938
spherical,0.12683427333831787,0.2899508774280548,0.24994061887264252,0.4400584399700165,0.0753602683544159
bubbles,0.21103928983211517,0.22294436395168304,0.22877022624015808,0.36224478483200073,0.1478032022714615
of,0.2480744868516922,0.3569655418395996,0.39081433415412903,0.3235050141811371,0.1826142966747284
lipids,0.22218813002109528,0.24887068569660187,0.4149616062641144,0.6103792786598206,0.2055819183588028
and,0.33647966384887695,0.3404269814491272,0.48576638102531433,0.2619543969631195,0.20544172823429108
proteins,0.28566843271255493,0.24780133366584778,0.3328206241130829,0.6427497863769531,0.18469302356243134
about,0.44264400005340576,0.20547378063201904,0.36165615916252136,0.20389510691165924,0.302409827709198
45–60,-0.037850018590688705,-0.0837550163269043,0.03181203454732895,0.06706543266773224,-0.05720561370253563
nanometers,0.33808672428131104,0.3287728726863861,0.34647881984710693,0.5555122494697571,0.18336744606494904
across,0.2515762746334076,0.33689454197883606,0.24150612950325012,0.21358826756477356,0.17034576833248138
.,0.3287222981452942,0.2304532378911972,0.3452940285205841,0.31105032563209534,0.4130953550338745
