,who,is,the,costa,rican,president,that,went,to,harvard,?
politics,0.24479417502880096,0.1504008024930954,0.2115192860364914,0.15638497471809387,0.20767705142498016,0.3579765558242798,0.24556031823158264,0.24395638704299927,0.23491926491260529,0.3164205849170685,0.16389669477939606
:,-0.0025186005514115095,-0.07222653180360794,-0.03403344005346298,0.002135467017069459,0.07771903276443481,0.06327061355113983,-0.12200210988521576,-0.004309739451855421,-0.09243495017290115,-0.027428796514868736,-0.07156077772378922
u.n.,-0.003195784520357847,0.09247436374425888,0.1132451668381691,0.06374451518058777,0.07259353995323181,0.014611930586397648,0.08920097351074219,-0.012084686197340488,0.05103698745369911,0.11962779611349106,-0.11193981021642685
secretary,0.2019355148077011,0.14854203164577484,0.23160062730312347,0.15865537524223328,0.14826646447181702,0.5172431468963623,0.18073731660842896,0.18990440666675568,0.17736056447029114,0.3061186969280243,0.10113837569952011
general,0.2461782991886139,0.20144300162792206,0.28634732961654663,0.1355549395084381,0.10533519089221954,0.28887805342674255,0.2510950565338135,0.11357397586107254,0.24755197763442993,0.17517182230949402,0.1972234547138214
ban,0.22141440212726593,0.20151987671852112,0.1830999106168747,0.13378573954105377,0.1319742649793625,0.2283330112695694,0.2858000099658966,0.15088729560375214,0.26575782895088196,0.16241209208965302,0.29495060443878174
ki-moon,0.23644809424877167,0.2656586170196533,0.27764788269996643,0.1501249372959137,0.1512269675731659,0.28253957629203796,0.24045848846435547,0.2094746232032776,0.21297650039196014,0.14428576827049255,0.1735510528087616
;,0.007937713526189327,0.05324986204504967,0.09152708947658539,0.05787055939435959,0.028289271518588066,-0.05959305167198181,0.0633435994386673,0.015374010428786278,0.0979827418923378,0.005234759766608477,0.10349778085947037
american,0.3093835413455963,0.1853146106004715,0.24562937021255493,0.24810341000556946,0.5640963912010193,0.25288230180740356,0.24748189747333527,0.17615444958209991,0.16338081657886505,0.3106759190559387,0.18877598643302917
political,0.24357503652572632,0.15203817188739777,0.20477235317230225,0.2282954454421997,0.2700376808643341,0.30758240818977356,0.2016311138868332,0.19685131311416626,0.2065112292766571,0.2671944499015808,0.17130474746227264
