,what,other,locations,can,the,booth,school,of,business,be,found,?
the,0.42745697498321533,0.44152235984802246,0.3575807511806488,0.312528520822525,1.0,0.2461899220943451,0.22953221201896667,0.733189046382904,0.2389037162065506,0.4248143136501312,0.3452354073524475,0.22068053483963013
university,0.20256435871124268,0.1804676055908203,0.19779516756534576,0.0956953763961792,0.263973206281662,0.19056181609630585,0.48676231503486633,0.30646374821662903,0.3387548327445984,0.13178980350494385,0.13880765438079834,0.11887256056070328
's,0.02692362666130066,0.04445967823266983,0.01308623980730772,-0.02075597457587719,-0.01540423184633255,0.03848238289356232,-0.017113132402300835,-0.03817026689648628,0.026998259127140045,0.025217169895768166,0.005866709165275097,-0.023395681753754616
booth,0.19849097728729248,0.1537843942642212,0.16562515497207642,0.20640146732330322,0.2461899220943451,1.0000001192092896,0.20256754755973816,0.18579788506031036,0.28439658880233765,0.17560794949531555,0.09734408557415009,0.12951403856277466
school,0.18774057924747467,0.13396640121936798,0.179690420627594,0.09772772341966629,0.22953221201896667,0.20256754755973816,1.0,0.2391800880432129,0.34036654233932495,0.16095811128616333,0.1281358003616333,0.15091250836849213
of,0.33290785551071167,0.38583824038505554,0.2825617790222168,0.2603091299533844,0.733189046382904,0.18579788506031036,0.2391800880432129,1.0,0.23985227942466736,0.33904364705085754,0.2982911467552185,0.1826142966747284
business,0.21758167445659637,0.24130384624004364,0.23166942596435547,0.19319318234920502,0.2389037162065506,0.28439658880233765,0.34036654233932495,0.23985227942466736,1.0,0.1669478863477707,0.0872928574681282,0.1545659303665161
maintains,0.17929726839065552,0.28373241424560547,0.29655057191848755,0.17902497947216034,0.2744854986667633,0.1367054581642151,0.1087602749466896,0.2886165380477905,0.22201251983642578,0.2223711609840393,0.21493133902549744,0.13273680210113525
campuses,0.09493694454431534,0.27858084440231323,0.36125674843788147,0.14467434585094452,0.19650089740753174,0.12895120680332184,0.40189307928085327,0.2573612928390503,0.2547820508480072,0.12850026786327362,0.1229984238743782,0.08666198700666428
in,0.30808621644973755,0.39989137649536133,0.36845505237579346,0.26527702808380127,0.6662389636039734,0.208547905087471,0.26157811284065247,0.5696388483047485,0.2298729121685028,0.3481820821762085,0.39141854643821716,0.20430970191955566
singapore,0.13772054016590118,0.2259816825389862,0.2089182734489441,0.16043737530708313,0.22571977972984314,0.11775990575551987,0.21569286286830902,0.22627803683280945,0.2660219669342041,0.21804580092430115,0.08061347901821136,0.14662936329841614
",",0.3087472915649414,0.4446498453617096,0.2831610143184662,0.3139454126358032,0.4933079481124878,0.2501300275325775,0.27141863107681274,0.4946078956127167,0.2952407896518707,0.39254459738731384,0.27385151386260986,0.31091248989105225
london,0.15188734233379364,0.12056033313274384,0.20996633172035217,0.13201864063739777,0.27034124732017517,0.23024411499500275,0.2039404660463333,0.2159106284379959,0.2590002417564392,0.14569836854934692,0.0865134447813034,0.11278104782104492
",",0.3087472915649414,0.4446498453617096,0.2831610143184662,0.3139454126358032,0.4933079481124878,0.2501300275325775,0.27141863107681274,0.4946078956127167,0.2952407896518707,0.39254459738731384,0.27385151386260986,0.31091248989105225
and,0.31309178471565247,0.5504306554794312,0.2926171123981476,0.3675691485404968,0.5171257257461548,0.3100356161594391,0.2752758264541626,0.5116966962814331,0.33353009819984436,0.41766801476478577,0.27978911995887756,0.20544172823429108
the,0.42745697498321533,0.44152235984802246,0.3575807511806488,0.312528520822525,1.0,0.2461899220943451,0.22953221201896667,0.733189046382904,0.2389037162065506,0.4248143136501312,0.3452354073524475,0.22068053483963013
downtown,0.1348404437303543,0.16975097358226776,0.3265748918056488,0.1590631902217865,0.2602716088294983,0.17168191075325012,0.25847941637039185,0.21455974876880646,0.3174465298652649,0.11822254955768585,0.0773150771856308,0.15638743340969086
streeterville,0.15766455233097076,0.16235074400901794,0.13640077412128448,0.19904813170433044,0.24793735146522522,0.4475581645965576,0.3005409240722656,0.22373738884925842,0.3510308265686035,0.16319502890110016,0.18694095313549042,0.1269211620092392
neighborhood,0.12062139064073563,0.15127277374267578,0.22823838889598846,0.10090001672506332,0.20152483880519867,0.21998704969882965,0.2740325927734375,0.15683332085609436,0.2775381803512573,0.09327203035354614,0.11956284195184708,0.048473283648490906
of,0.33290785551071167,0.38583824038505554,0.2825617790222168,0.2603091299533844,0.733189046382904,0.18579788506031036,0.2391800880432129,1.0,0.23985227942466736,0.33904364705085754,0.2982911467552185,0.1826142966747284
chicago,0.1521448791027069,0.20384545624256134,0.17823275923728943,0.19342438876628876,0.27360326051712036,0.27957069873809814,0.25633347034454346,0.18391016125679016,0.271560400724411,0.14773215353488922,0.06447991728782654,0.16446958482265472
.,0.3567904531955719,0.41511186957359314,0.2907765209674835,0.35783761739730835,0.5934505462646484,0.2309747040271759,0.24214158952236176,0.5352458953857422,0.25987809896469116,0.4383580684661865,0.3618174195289612,0.4130953550338745
