,what,food,bacteria,is,an,example,of,intracellular,pathogenesis,?
some,0.4491020441055298,0.2776726186275482,0.2830193042755127,0.3038453459739685,0.2864145338535309,0.5190876126289368,0.4300730526447296,0.32762840390205383,0.32581138610839844,0.2562315762042999
examples,0.26665759086608887,0.19756470620632172,0.20764049887657166,0.29282552003860474,0.19613532721996307,0.7060196995735168,0.3054686188697815,0.30199217796325684,0.2815569043159485,0.19976599514484406
of,0.33290785551071167,0.2602803111076355,0.17966590821743011,0.4854315221309662,0.32280945777893066,0.3570667505264282,1.0,0.30168500542640686,0.24332807958126068,0.1826142966747284
intracellular,0.22688700258731842,0.30379989743232727,0.5692588686943054,0.23824672400951385,0.2226359099149704,0.31982168555259705,0.30168500542640686,1.0,0.5901666879653931,0.18181154131889343
pathogens,0.24503889679908752,0.3293651044368744,0.7157832980155945,0.19907276332378387,0.13588155806064606,0.265323668718338,0.22946582734584808,0.6172797679901123,0.822292685508728,0.21364152431488037
include,0.1535889357328415,0.13684572279453278,0.16770043969154358,0.28863582015037537,0.14737801253795624,0.3811541199684143,0.37431180477142334,0.23696035146713257,0.18359576165676117,0.14925788342952728
viruses,0.22483296692371368,0.22317029535770416,0.6448697447776794,0.19504015147686005,0.1342434138059616,0.30711835622787476,0.23382140696048737,0.5905914306640625,0.6043485403060913,0.2074798345565796
",",0.3087472915649414,0.2870374023914337,0.2358950972557068,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.17754223942756653,0.17862223088741302,0.31091248989105225
the,0.42745697498321533,0.3025728166103363,0.1839996725320816,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.28458255529403687,0.26744985580444336,0.22068053483963013
food,0.23540689051151276,1.0,0.35282066464424133,0.20563258230686188,0.18289192020893097,0.2684621214866638,0.2602803111076355,0.30379989743232727,0.3033031225204468,0.15376032888889313
poisoning,0.24842742085456848,0.37776291370391846,0.36533454060554504,0.18555288016796112,0.18247170746326447,0.30628183484077454,0.23517683148384094,0.3911469578742981,0.37841472029685974,0.1484118103981018
bacterium,0.16779913008213043,0.27982866764068604,0.859127938747406,0.19884376227855682,0.16911688446998596,0.2654193639755249,0.16499640047550201,0.5216625928878784,0.5906274318695068,0.15626735985279083
salmonella,0.1998356282711029,0.3825762867927551,0.6079890131950378,0.2290792614221573,0.18648363649845123,0.28007325530052185,0.2793824374675751,0.4742826521396637,0.5374334454536438,0.15411792695522308
and,0.31309178471565247,0.31356173753738403,0.2316904515028,0.3859752118587494,0.2838519215583801,0.35305824875831604,0.5116966962814331,0.22796420753002167,0.18476346135139465,0.20544172823429108
the,0.42745697498321533,0.3025728166103363,0.1839996725320816,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.28458255529403687,0.26744985580444336,0.22068053483963013
eukaryotic,0.22978590428829193,0.20071780681610107,0.6366073489189148,0.19955050945281982,0.143870010972023,0.2648780941963196,0.2760854661464691,0.6315608024597168,0.6249567270278931,0.1899385005235672
parasites,0.14318375289440155,0.3574247360229492,0.6170529127120972,0.15738041698932648,0.1312187910079956,0.2405262440443039,0.18682974576950073,0.5880255699157715,0.5962777137756348,0.19514422118663788
that,0.6297725439071655,0.2860657870769501,0.2798275947570801,0.3995479643344879,0.365763783454895,0.429897665977478,0.41498205065727234,0.30467697978019714,0.349391371011734,0.32716336846351624
cause,0.24883218109607697,0.21657244861125946,0.3869265913963318,0.218277707695961,0.22220543026924133,0.3452683091163635,0.25979894399642944,0.33553338050842285,0.42312681674957275,0.240532785654068
malaria,0.22301892936229706,0.271650493144989,0.4758695363998413,0.19805718958377838,0.19325269758701324,0.22632534801959991,0.26847997307777405,0.42542675137519836,0.5361226797103882,0.2527943551540375
(,0.2411840260028839,0.1459987312555313,0.20388175547122955,0.35393038392066956,0.286407470703125,0.23614145815372467,0.35032153129577637,0.20974157750606537,0.15585562586784363,0.40561532974243164
plasmodium,0.16936452686786652,0.361878365278244,0.6209187507629395,0.2554321587085724,0.1807773858308792,0.30110788345336914,0.22665829956531525,0.5900958776473999,0.6105470061302185,0.18686768412590027
falciparum,0.2987809181213379,0.3560972809791565,0.5543504357337952,0.25243282318115234,0.19420811533927917,0.34163182973861694,0.31607556343078613,0.5256380438804626,0.5857853293418884,0.25974851846694946
),0.26259949803352356,0.16337907314300537,0.16720116138458252,0.37732169032096863,0.2873353958129883,0.26101627945899963,0.3680361211299896,0.2171735316514969,0.14261268079280853,0.42300865054130554
and,0.31309178471565247,0.31356173753738403,0.2316904515028,0.3859752118587494,0.2838519215583801,0.35305824875831604,0.5116966962814331,0.22796420753002167,0.18476346135139465,0.20544172823429108
leishmaniasis,0.30933332443237305,0.3196868300437927,0.554919421672821,0.28331828117370605,0.23774093389511108,0.3607439696788788,0.2562313973903656,0.5562739968299866,0.6665511727333069,0.2698650360107422
(,0.2411840260028839,0.1459987312555313,0.20388175547122955,0.35393038392066956,0.286407470703125,0.23614145815372467,0.35032153129577637,0.20974157750606537,0.15585562586784363,0.40561532974243164
leishmania,0.24660922586917877,0.24652452766895294,0.47530266642570496,0.2373458743095398,0.1829642355442047,0.28241124749183655,0.25293922424316406,0.46081259846687317,0.5631198287010193,0.19196563959121704
spp,0.08053943514823914,0.25230923295021057,0.3171944320201874,0.20135831832885742,0.1747652143239975,0.1529306024312973,0.19285979866981506,0.30405017733573914,0.3253219425678253,0.09964082390069962
.,0.3567904531955719,0.27541688084602356,0.24264462292194366,0.4569662809371948,0.3581749200820923,0.41217929124832153,0.5352458953857422,0.2569732069969177,0.22004567086696625,0.4130953550338745
),0.26259949803352356,0.16337907314300537,0.16720116138458252,0.37732169032096863,0.2873353958129883,0.26101627945899963,0.3680361211299896,0.2171735316514969,0.14261268079280853,0.42300865054130554
.,0.3567904531955719,0.27541688084602356,0.24264462292194366,0.4569662809371948,0.3581749200820923,0.41217929124832153,0.5352458953857422,0.2569732069969177,0.22004567086696625,0.4130953550338745
