,what,process,down,the,line,does,rubisco,'s,flaw,interfere,with,?
this,0.5489566326141357,0.4155423641204834,0.2833457589149475,0.6274310946464539,0.2371007651090622,0.4166489243507385,0.3145739436149597,0.02106832154095173,0.30655401945114136,0.3400755822658539,0.36358317732810974,0.3155723512172699
is,0.28837618231773376,0.21762968599796295,0.16725905239582062,0.5823672413825989,0.19879867136478424,0.4403602182865143,0.25389885902404785,0.02396530658006668,0.22069938480854034,0.1437637358903885,0.3250955045223236,0.22961433231830597
a,0.3320399522781372,0.2601566016674042,0.2387222796678543,0.5829201340675354,0.23499317467212677,0.38201746344566345,0.28479453921318054,0.04866964742541313,0.3123522996902466,0.2175959199666977,0.3783375024795532,0.23916715383529663
big,0.2788069546222687,0.10981340706348419,0.12160193920135498,0.308749794960022,0.1907712072134018,0.22052116692066193,0.14861565828323364,0.08747415989637375,0.2376364916563034,0.1558060348033905,0.23504121601581573,0.20497842133045197
problem,0.42183366417884827,0.3925642967224121,0.22888262569904327,0.24928659200668335,0.18983198702335358,0.27746546268463135,0.209811270236969,-0.02317415177822113,0.38207870721817017,0.29088759422302246,0.2717578709125519,0.3762950301170349
",",0.3087472915649414,0.2061346471309662,0.23362469673156738,0.4933079481124878,0.22637072205543518,0.28617382049560547,0.22536292672157288,-0.0016132977325469255,0.215308278799057,0.22249235212802887,0.4120737314224243,0.31091248989105225
since,0.29783400893211365,0.23980604112148285,0.17723341286182404,0.4054957628250122,0.18991616368293762,0.23816218972206116,0.2530229091644287,-0.04899144917726517,0.18449629843235016,0.15423084795475006,0.3120420575141907,0.2876587212085724
o2,-0.039665523916482925,0.1024903729557991,-0.0007186566945165396,-0.11169687658548355,0.01465288270264864,-0.01086235512048006,0.1220720186829567,-0.044634588062763214,0.06530074030160904,0.02672487124800682,-0.020301831886172295,0.008434558287262917
is,0.28837618231773376,0.21762968599796295,0.16725905239582062,0.5823672413825989,0.19879867136478424,0.4403602182865143,0.25389885902404785,0.02396530658006668,0.22069938480854034,0.1437637358903885,0.3250955045223236,0.22961433231830597
produced,0.1393624097108841,0.2055693417787552,0.18132783472537994,0.22045251727104187,0.08310908824205399,0.13402628898620605,0.3001217544078827,-0.03862787038087845,0.08260262757539749,0.17386198043823242,0.26250705122947693,0.1623450517654419
by,0.2455483376979828,0.2115318775177002,0.27259311079978943,0.4408751428127289,0.1433108150959015,0.143477201461792,0.22404374182224274,-0.010884488001465797,0.15234480798244476,0.2045009285211563,0.39731505513191223,0.17966607213020325
the,0.42745697498321533,0.264274537563324,0.3325848877429962,1.0,0.29789501428604126,0.35928019881248474,0.27236315608024597,-0.01540423184633255,0.2224152833223343,0.2552265524864197,0.4223487675189972,0.22068053483963013
initial,0.2771121859550476,0.3119427561759949,0.15972888469696045,0.29837024211883545,0.18920180201530457,0.25702667236328125,0.24309271574020386,0.018094532191753387,0.27742061018943787,0.1798584759235382,0.19669650495052338,0.16868601739406586
light,0.22953972220420837,0.21135006844997406,0.19706283509731293,0.2649136185646057,0.2111576944589615,0.1665857434272766,0.27636411786079407,0.047048170119524,0.25617730617523193,0.24736948311328888,0.20245222747325897,0.17429810762405396
reactions,0.3074890077114105,0.41792547702789307,0.23465748131275177,0.20951740443706512,0.12774138152599335,0.22880467772483826,0.3963117301464081,-0.08805011212825775,0.23447076976299286,0.3323979377746582,0.23934826254844666,0.20989809930324554
