,who,was,the,speaker,of,the,tribal,council,?
they,0.47879111766815186,0.3300964832305908,0.49925389885902405,0.15819668769836426,0.3426007330417633,0.49925389885902405,0.25043240189552307,0.15941329300403595,0.2753053903579712
met,0.32960283756256104,0.3100595772266388,0.2303115278482437,0.158488467335701,0.2307862788438797,0.2303115278482437,0.18718136847019196,0.20328257977962494,0.13848096132278442
at,0.22096660733222961,0.36707764863967896,0.457212895154953,0.22048266232013702,0.42558613419532776,0.457212895154953,0.11775492876768112,0.20668897032737732,0.21978627145290375
albany,0.17982615530490875,0.1557421237230301,0.25673940777778625,0.15258941054344177,0.2912404239177704,0.25673940777778625,0.06623189151287079,0.17131929099559784,0.08516642451286316
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2610192596912384,0.4946078956127167,0.4933079481124878,0.21239762008190155,0.23820561170578003,0.31091248989105225
new,0.2378052920103073,0.2748313844203949,0.3845241069793701,0.15113523602485657,0.343457967042923,0.3845241069793701,0.1189006045460701,0.1857822835445404,0.14782847464084625
york,0.23077517747879028,0.2746913433074951,0.3034006953239441,0.14880482852458954,0.23040355741977692,0.3034006953239441,0.03576754406094551,0.1282014101743698,0.15262620151042938
with,0.3282766342163086,0.27411898970603943,0.4223487675189972,0.0965919941663742,0.41827285289764404,0.4223487675189972,0.2197524607181549,0.10649243742227554,0.2433311939239502
governor,0.20484673976898193,0.25802454352378845,0.19955585896968842,0.3437696695327759,0.19877229630947113,0.19955585896968842,0.18869301676750183,0.2834407389163971,0.135940283536911
clinton,0.23197166621685028,0.23761619627475739,0.2572503685951233,0.2505806088447571,0.19718830287456512,0.2572503685951233,0.1581192910671234,0.23655511438846588,0.22146934270858765
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.22946549952030182,0.5116966962814331,0.5171257257461548,0.2447868138551712,0.25117602944374084,0.20544172823429108
