,what,do,isolated,",",spaced,out,graves,of,plague,victims,indicate,?
interestingly,0.35306957364082336,0.30435261130332947,0.2637653946876526,0.3176625072956085,0.3023826479911804,0.225186288356781,0.2532466650009155,0.23769325017929077,0.12821443378925323,0.1673201024532318,0.29360640048980713,0.29862338304519653
while,0.35511791706085205,0.3032379448413849,0.22793354094028473,0.38232675194740295,0.18857771158218384,0.3492880165576935,0.11495596170425415,0.3366928696632385,0.19562406837940216,0.19018955528736115,0.2276221066713333,0.21076419949531555
contemporary,0.20300830900669098,0.18457463383674622,0.1499083936214447,0.28917112946510315,0.17320476472377777,0.12465742975473404,0.17196904122829437,0.2923402488231659,0.22920013964176178,0.1684943586587906,0.1884869933128357,0.09539991617202759
reports,0.24207861721515656,0.23928427696228027,0.1512390375137329,0.2661382555961609,0.10814788937568665,0.3069603741168976,0.19935156404972076,0.27564457058906555,0.2684270739555359,0.29555827379226685,0.26363202929496765,0.23746368288993835
account,0.27991923689842224,0.28909391164779663,0.15064604580402374,0.2591261863708496,0.13804233074188232,0.2219739407300949,0.17145602405071259,0.19751501083374023,0.17489254474639893,0.17324566841125488,0.24649357795715332,0.34417325258255005
of,0.33290785551071167,0.26150479912757874,0.233377605676651,0.4946078956127167,0.1785961240530014,0.34176841378211975,0.26505351066589355,1.0,0.27455615997314453,0.21811941266059875,0.25098979473114014,0.1826142966747284
mass,0.23905135691165924,0.12603875994682312,0.11539720743894577,0.2439754158258438,0.1939290463924408,0.19746729731559753,0.3741113543510437,0.26915112137794495,0.19297024607658386,0.3217214345932007,0.16728538274765015,0.2076406031847
burial,0.18476168811321259,0.06583623588085175,0.1457635909318924,0.2167155146598816,0.06934315711259842,0.18170426785945892,0.5382872819900513,0.22971592843532562,0.23971439898014069,0.28774526715278625,0.20275698602199554,0.15331946313381195
pits,0.14546936750411987,0.10121159255504608,0.17417050898075104,0.21682877838611603,0.23794440925121307,0.34463638067245483,0.30150917172431946,0.200468510389328,0.19948555529117584,0.24510349333286285,0.19875304400920868,0.07225832343101501
being,0.3760843276977539,0.2324799746274948,0.22892668843269348,0.34499165415763855,0.23720782995224,0.32819026708602905,0.1507265865802765,0.34885138273239136,0.20799273252487183,0.21010611951351166,0.19982115924358368,0.26743772625923157
created,0.20714101195335388,0.21025130152702332,0.18142403662204742,0.2755771577358246,0.18445740640163422,0.18243464827537537,0.19377313554286957,0.32043445110321045,0.1584206372499466,0.1283329725265503,0.11743391305208206,0.21177415549755096
in,0.30808621644973755,0.23402775824069977,0.2690384089946747,0.5201468467712402,0.17162339389324188,0.3576207756996155,0.2839863896369934,0.5696388483047485,0.2488756626844406,0.1911110132932663,0.21759656071662903,0.20430970191955566
response,0.3532308340072632,0.2198486179113388,0.1802353858947754,0.24039098620414734,0.1340622901916504,0.20993046462535858,0.12805353105068207,0.21864040195941925,0.2068944126367569,0.22661438584327698,0.23889359831809998,0.2007838636636734
to,0.455847829580307,0.38876664638519287,0.21428942680358887,0.44245919585227966,0.19996711611747742,0.42386990785598755,0.21795877814292908,0.41548454761505127,0.21845681965351105,0.2319965660572052,0.28129613399505615,0.29463258385658264
the,0.42745697498321533,0.30239659547805786,0.28042563796043396,0.4933079481124878,0.22072622179985046,0.39404502511024475,0.2546413242816925,0.733189046382904,0.2537761330604553,0.21845385432243347,0.2430160641670227,0.22068053483963013
large,0.2017821967601776,0.22322134673595428,0.2708527445793152,0.2263888567686081,0.3208659589290619,0.24965140223503113,0.23939137160778046,0.3569655418395996,0.2398844212293625,0.20650899410247803,0.19754187762737274,0.1355665624141693
numbers,0.24586999416351318,0.23637384176254272,0.22133317589759827,0.26479464769363403,0.315609335899353,0.22636806964874268,0.1940484344959259,0.228018656373024,0.1846897155046463,0.18920598924160004,0.2777709662914276,0.19297972321510315
of,0.33290785551071167,0.26150479912757874,0.233377605676651,0.4946078956127167,0.1785961240530014,0.34176841378211975,0.26505351066589355,1.0,0.27455615997314453,0.21811941266059875,0.25098979473114014,0.1826142966747284
dead,0.22529608011245728,0.1346656233072281,0.1042177826166153,0.25024712085723877,0.10084787756204605,0.24594613909721375,0.3809674084186554,0.21156227588653564,0.23394343256950378,0.27450934052467346,0.11740574240684509,0.1856520175933838
",",0.3087472915649414,0.3283645510673523,0.19693833589553833,1.0000001192092896,0.22425691783428192,0.3161109685897827,0.25781551003456116,0.4946078956127167,0.2630122900009155,0.1933097541332245,0.21923933923244476,0.31091248989105225
recent,0.24256184697151184,0.2665645182132721,0.20865154266357422,0.26883119344711304,0.2396041452884674,0.20363907516002655,0.173322394490242,0.2896444797515869,0.16525164246559143,0.18550482392311096,0.29907605051994324,0.2544887959957123
scientific,0.18922170996665955,0.22111821174621582,0.2188888043165207,0.2464645951986313,0.1928730607032776,0.20069360733032227,0.09112146496772766,0.2751598358154297,0.20958064496517181,0.1573869287967682,0.2801402509212494,0.16215236485004425
investigations,0.20865970849990845,0.22292111814022064,0.20417550206184387,0.2506360411643982,0.12104713916778564,0.2812919318675995,0.20802858471870422,0.2303210347890854,0.25938913226127625,0.333036333322525,0.20576617121696472,0.14811140298843384
of,0.33290785551071167,0.26150479912757874,0.233377605676651,0.4946078956127167,0.1785961240530014,0.34176841378211975,0.26505351066589355,1.0,0.27455615997314453,0.21811941266059875,0.25098979473114014,0.1826142966747284
