,what,did,wiesner,shout,out,in,front,of,the,press,during,a,presentation,by,von,braun,?
wiesner,0.2037028968334198,0.18779589235782623,0.9999999403953552,0.2252524346113205,0.15058791637420654,0.2684754431247711,0.15035180747509003,0.2243858128786087,0.27002912759780884,0.24122276902198792,0.14065852761268616,0.2337254136800766,0.26875436305999756,0.20859763026237488,0.5044733881950378,0.5603924989700317,0.2351539433002472
blurted,0.30423852801322937,0.3401026427745819,0.2505936324596405,0.28552186489105225,0.2967701852321625,0.2645714282989502,0.20502562820911407,0.28715187311172485,0.3122016489505768,0.18296071887016296,0.22776320576667786,0.28576111793518066,0.2423994541168213,0.3804697096347809,0.20832614600658417,0.18553224205970764,0.23843419551849365
out,0.3633197546005249,0.28413498401641846,0.15058791637420654,0.3902258574962616,1.0,0.3576207756996155,0.2490314543247223,0.34176841378211975,0.39404502511024475,0.16942083835601807,0.2754679322242737,0.34264278411865234,0.16521750390529633,0.29497629404067993,0.07438871264457703,0.09904490411281586,0.22020699083805084
``,0.008517155423760414,-0.029888948425650597,-0.011669270694255829,-0.019905632361769676,0.024644849821925163,0.04765888676047325,0.15435993671417236,0.06780257821083069,0.029072100296616554,-0.07731731235980988,0.007871326059103012,0.07272057235240936,-0.07938370853662491,-0.030704375356435776,-0.031101351603865623,-0.05730033665895462,0.0685480609536171
no,0.339326947927475,0.23735837638378143,0.16022339463233948,0.241226926445961,0.23585276305675507,0.24372287094593048,0.2285485863685608,0.24809792637825012,0.3461136817932129,0.15499505400657654,0.1413324624300003,0.26280897855758667,0.19752947986125946,0.15267254412174225,0.06688588112592697,0.09167788177728653,0.32165053486824036
",",0.3087472915649414,0.3015086054801941,0.37364280223846436,0.2573191821575165,0.3161109685897827,0.5201468467712402,0.19611994922161102,0.4946078956127167,0.4933079481124878,0.27518972754478455,0.3225448727607727,0.427140474319458,0.21531207859516144,0.3680937886238098,0.1878369003534317,0.30214038491249084,0.31091248989105225
that,0.6297725439071655,0.47518548369407654,0.18064245581626892,0.2857329845428467,0.43996092677116394,0.435920387506485,0.20629103481769562,0.41498205065727234,0.5473989248275757,0.20627392828464508,0.31487685441970825,0.47537946701049805,0.3014027178287506,0.37496164441108704,0.18165160715579987,0.17735421657562256,0.32716336846351624
's,0.02692362666130066,0.05069678649306297,0.05787868797779083,0.0019260047702118754,0.0021837172098457813,-0.037580832839012146,-0.04753800109028816,-0.03817026689648628,-0.01540423184633255,-0.05122065544128418,0.011294117197394371,0.04866964742541313,-0.041264068335294724,-0.010884488001465797,0.014292019419372082,0.07161460071802139,-0.023395681753754616
no,0.339326947927475,0.23735837638378143,0.16022339463233948,0.241226926445961,0.23585276305675507,0.24372287094593048,0.2285485863685608,0.24809792637825012,0.3461136817932129,0.15499505400657654,0.1413324624300003,0.26280897855758667,0.19752947986125946,0.15267254412174225,0.06688588112592697,0.09167788177728653,0.32165053486824036
good,0.3916934132575989,0.35611584782600403,0.20452047884464264,0.2854524850845337,0.2796950340270996,0.2152448445558548,0.1207965835928917,0.2696770131587982,0.2735973596572876,0.13777939975261688,0.14376170933246613,0.3146486282348633,0.2265716940164566,0.18340454995632172,0.14787137508392334,0.1968272626399994,0.3187684714794159
