,how,may,yards,did,peyton,manning,throw,?
manning,0.2318497896194458,0.19573265314102173,0.5283294916152954,0.22743284702301025,0.5102329254150391,0.9999998807907104,0.30718404054641724,0.15856626629829407
finished,0.18142320215702057,0.14727024734020233,0.2438107579946518,0.34182655811309814,0.28829672932624817,0.2231869399547577,0.15907371044158936,0.14789283275604248
the,0.33890387415885925,0.2694292366504669,0.16070343554019928,0.34736719727516174,0.2709864377975464,0.27058160305023193,0.23050227761268616,0.22068053483963013
year,0.19631797075271606,0.22333407402038574,0.21480385959148407,0.21422851085662842,0.23666128516197205,0.2521476149559021,0.11593060940504074,0.18315006792545319
with,0.3525622487068176,0.23512546718120575,0.14512313902378082,0.25472134351730347,0.23540177941322327,0.18539859354496002,0.20230844616889954,0.2433311939239502
a,0.29312583804130554,0.29255667328834534,0.19167225062847137,0.2552328109741211,0.298135370016098,0.2509649395942688,0.32970285415649414,0.23916715383529663
career-low,0.2479514181613922,0.16944652795791626,0.33976468443870544,0.31910577416419983,0.39296090602874756,0.39836275577545166,0.2020246982574463,0.15329208970069885
67.9,0.09646183252334595,0.1876627653837204,0.23373161256313324,0.19133634865283966,0.3196260631084442,0.31852784752845764,0.10444589704275131,0.07895093411207199
passer,0.19386127591133118,0.141411691904068,0.4222199618816376,0.1459997296333313,0.35299578309059143,0.36685898900032043,0.2844102084636688,0.15625450015068054
rating,0.20311082899570465,0.18063566088676453,0.2996661067008972,0.17871320247650146,0.308472603559494,0.3009924292564392,0.22742414474487305,0.18754872679710388
",",0.22659391164779663,0.5007920861244202,0.16944201290607452,0.3015086054801941,0.2979121208190918,0.30921146273612976,0.18939918279647827,0.31091248989105225
throwing,0.24389290809631348,0.17081113159656525,0.33956798911094666,0.2288447916507721,0.22289134562015533,0.3527540862560272,0.7815671563148499,0.15241092443466187
for,0.3308170735836029,0.29255861043930054,0.21746347844600677,0.318512886762619,0.30435749888420105,0.33057859539985657,0.26654914021492004,0.264628142118454
"2,249",0.18779075145721436,0.04710228368639946,0.06923092156648636,0.16991975903511047,0.07875607162714005,0.029534146189689636,-0.015244459733366966,0.018604634329676628
yards,0.1345205456018448,0.14057207107543945,1.0,0.11230118572711945,0.4152722656726837,0.5283294916152954,0.3343540132045746,0.12453813850879669
and,0.33647966384887695,0.34598252177238464,0.22108176350593567,0.34479495882987976,0.27112144231796265,0.2638654112815857,0.1982293725013733,0.20544172823429108
nine,0.1557593196630478,0.17850361764431,0.2518538236618042,0.16091835498809814,0.13646109402179718,0.2181665301322937,0.16704508662223816,0.13964155316352844
touchdowns,0.15057362616062164,0.15222686529159546,0.7052563428878784,0.20483340322971344,0.44845646619796753,0.5383488535881042,0.3633248805999756,0.1509619653224945
",",0.22659391164779663,0.5007920861244202,0.16944201290607452,0.3015086054801941,0.2979121208190918,0.30921146273612976,0.18939918279647827,0.31091248989105225
with,0.3525622487068176,0.23512546718120575,0.14512313902378082,0.25472134351730347,0.23540177941322327,0.18539859354496002,0.20230844616889954,0.2433311939239502
17,0.11148978024721146,0.0793485939502716,0.08247066289186478,0.07127774506807327,0.08144426345825195,0.02101394347846508,-0.02091015875339508,0.17603135108947754
interceptions,0.2084771692752838,0.2165939062833786,0.6127163171768188,0.21840861439704895,0.33540111780166626,0.47789567708969116,0.34933018684387207,0.10945115238428116
.,0.3287222981452942,0.35826805233955383,0.17664551734924316,0.35288307070732117,0.2932659685611725,0.2937074899673462,0.22780419886112213,0.4130953550338745
