,what,was,the,name,of,the,king,of,the,scots,?
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.25887003540992737,0.733189046382904,1.0,0.22918754816055298,0.22068053483963013
scots,0.1671418398618698,0.1818067878484726,0.22918754816055298,0.18644490838050842,0.20557327568531036,0.22918754816055298,0.3130476176738739,0.20557327568531036,0.22918754816055298,1.0000001192092896,0.1396099328994751
king,0.18449601531028748,0.27377256751060486,0.25887003540992737,0.22814035415649414,0.2938710153102875,0.25887003540992737,1.0000001192092896,0.2938710153102875,0.25887003540992737,0.3130476176738739,0.19130074977874756
william,0.24990826845169067,0.28444796800613403,0.21537061035633087,0.10910340398550034,0.20272590219974518,0.21537061035633087,0.2880098819732666,0.20272590219974518,0.21537061035633087,0.2779722213745117,0.14462219178676605
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.25887003540992737,0.733189046382904,1.0,0.22918754816055298,0.22068053483963013
lion,0.15693210065364838,0.2325008511543274,0.2764444947242737,0.15196286141872406,0.20189277827739716,0.2764444947242737,0.3907891809940338,0.20189277827739716,0.2764444947242737,0.16235801577568054,0.13262073695659637
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.2646567225456238,0.4069072902202606,0.48711544275283813,0.27377256751060486,0.4069072902202606,0.48711544275283813,0.1818067878484726,0.18412111699581146
imprisoned,0.13585619628429413,0.31245532631874084,0.20625166594982147,0.127829447388649,0.2474561184644699,0.20625166594982147,0.2584773302078247,0.2474561184644699,0.20625166594982147,0.13150164484977722,0.12017518281936646
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.2044914960861206,0.5696388483047485,0.6662389636039734,0.15963716804981232,0.20430970191955566
newcastle,0.16276082396507263,0.25710436701774597,0.2253497689962387,0.11727967113256454,0.18781472742557526,0.2253497689962387,0.18451805412769318,0.18781472742557526,0.2253497689962387,0.25533249974250793,0.0902252271771431
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.2044914960861206,0.5696388483047485,0.6662389636039734,0.15963716804981232,0.20430970191955566
1174,0.03892755135893822,0.12411355972290039,0.05043589696288109,-0.025464357808232307,0.018295463174581528,0.05043589696288109,0.05361543223261833,0.018295463174581528,0.05043589696288109,0.07415390759706497,-0.05923642963171005
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.27879971265792847,0.4946078956127167,0.4933079481124878,0.20164485275745392,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.24642229080200195,0.5116966962814331,0.5171257257461548,0.22842255234718323,0.20544172823429108
edward,0.13810503482818604,0.22979897260665894,0.1896408498287201,0.09605547040700912,0.1742178201675415,0.1896408498287201,0.2843586504459381,0.1742178201675415,0.1896408498287201,0.3531147539615631,0.1439376026391983
i,0.4411132335662842,0.23566235601902008,0.26687872409820557,0.1543835699558258,0.25849398970603943,0.26687872409820557,0.2881033718585968,0.25849398970603943,0.26687872409820557,0.1953355222940445,0.4695145785808563
brought,0.26212388277053833,0.35886916518211365,0.32700833678245544,0.15871202945709229,0.3339962065219879,0.32700833678245544,0.17452822625637054,0.3339962065219879,0.32700833678245544,0.20692288875579834,0.2339296191930771
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.25887003540992737,0.733189046382904,1.0,0.22918754816055298,0.22068053483963013
stone,0.1478947550058365,0.24110914766788483,0.2695024907588959,0.20240725576877594,0.2815621793270111,0.2695024907588959,0.20528003573417664,0.2815621793270111,0.2695024907588959,0.19857698678970337,0.11966012418270111
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.2938710153102875,1.0,0.733189046382904,0.20557327568531036,0.1826142966747284
scone,0.21744856238365173,0.34797772765159607,0.3116787075996399,0.22322747111320496,0.3016301095485687,0.3116787075996399,0.3269751965999603,0.3016301095485687,0.3116787075996399,0.4925861656665802,0.12048063427209854
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.24642229080200195,0.5116966962814331,0.5171257257461548,0.22842255234718323,0.20544172823429108
william,0.24990826845169067,0.28444796800613403,0.21537061035633087,0.10910340398550034,0.20272590219974518,0.21537061035633087,0.2880098819732666,0.20272590219974518,0.21537061035633087,0.2779722213745117,0.14462219178676605
wallace,0.18739053606987,0.26233312487602234,0.21016709506511688,0.08590453863143921,0.2113148272037506,0.21016709506511688,0.24769319593906403,0.2113148272037506,0.21016709506511688,0.2927758991718292,0.14731012284755707
south,0.15388517081737518,0.2792486846446991,0.3129390776157379,0.21417751908302307,0.33382371068000793,0.3129390776157379,0.2319430410861969,0.33382371068000793,0.3129390776157379,0.16636109352111816,0.12336621433496475
through,0.23167094588279724,0.21752823889255524,0.44071322679519653,0.13352233171463013,0.3647414743900299,0.44071322679519653,0.13522017002105713,0.3647414743900299,0.44071322679519653,0.10225394368171692,0.16913433372974396
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.25887003540992737,0.733189046382904,1.0,0.22918754816055298,0.22068053483963013
