,by,199,how,many,universities,were,connected
the,0.4408751428127289,0.07960809767246246,0.33890387415885925,0.4335206151008606,0.2619408071041107,0.3906462490558624,0.31369513273239136
network,0.214903324842453,0.006006068550050259,0.22464405000209808,0.21386827528476715,0.28553155064582825,0.14680062234401703,0.36028721928596497
was,0.4752357602119446,0.0750051811337471,0.16678167879581451,0.260356068611145,0.21258553862571716,0.590133786201477,0.17375674843788147
engineered,0.2673841416835785,-0.06637435406446457,0.17789313197135925,0.2304781824350357,0.19221623241901398,0.2515849769115448,0.23475703597068787
and,0.4289871156215668,0.03946424275636673,0.33647966384887695,0.5296266674995422,0.3038506805896759,0.42175528407096863,0.2646467387676239
operated,0.25013697147369385,0.023172205314040184,0.13169187307357788,0.14010198414325714,0.24788181483745575,0.23811937868595123,0.38159671425819397
by,1.0000001192092896,0.0046592457219958305,0.34370526671409607,0.3409687578678131,0.1998378038406372,0.4406847059726715,0.2168869525194168
mci,0.16046561300754547,-0.0164414644241333,0.13626790046691895,0.17118342220783234,0.13721781969070435,0.13894665241241455,0.07353043556213379
telecommunications,0.2157081514596939,0.17290623486042023,0.19415728747844696,0.26019805669784546,0.35246673226356506,0.1743343323469162,0.3740085959434509
under,0.3161602020263672,0.04611155390739441,0.23006081581115723,0.21268652379512787,0.0901995375752449,0.28293636441230774,0.13949492573738098
a,0.32094135880470276,0.023409485816955566,0.29312583804130554,0.2872205972671509,0.21368376910686493,0.17203083634376526,0.24938417971134186
cooperative,0.12827521562576294,0.1273515373468399,0.19682621955871582,0.22943156957626343,0.304172158241272,0.18848899006843567,0.17639712989330292
agreement,0.19332832098007202,0.2789265513420105,0.21985773742198944,0.16539208590984344,0.20261608064174652,0.15945924818515778,0.14762510359287262
with,0.39731505513191223,0.0013148681027814746,0.3525622487068176,0.35744401812553406,0.178697869181633,0.3179011940956116,0.28264787793159485
the,0.4408751428127289,0.07960809767246246,0.33890387415885925,0.4335206151008606,0.2619408071041107,0.3906462490558624,0.31369513273239136
nsf,0.18460477888584137,0.1326320916414261,0.25648796558380127,0.1922542005777359,0.3449302613735199,0.11815893650054932,0.08487974107265472
.,0.3936232924461365,0.08854688704013824,0.3287222981452942,0.3974229395389557,0.2545505464076996,0.3378238379955292,0.2379520833492279
,by,199,how,many,universities,were,connected
by,1.0000001192092896,0.0046592457219958305,0.34370526671409607,0.3409687578678131,0.1998378038406372,0.4406847059726715,0.2168869525194168
1998,-0.05810553580522537,0.6654926538467407,0.03995569795370102,-0.0024995526764541864,0.10221606492996216,-0.043989647179841995,-0.0911882296204567
",",0.3680937886238098,0.16871021687984467,0.22659391164779663,0.40610817074775696,0.2774002254009247,0.36755475401878357,0.2201492041349411
the,0.4408751428127289,0.07960809767246246,0.33890387415885925,0.4335206151008606,0.2619408071041107,0.3906462490558624,0.31369513273239136
vbns,0.1869686245918274,0.04534129425883293,0.28307268023490906,0.3159313201904297,0.2926243841648102,0.26770123839378357,0.2550946772098541
had,0.37294110655784607,0.06628105789422989,0.2549138069152832,0.40130746364593506,0.16387607157230377,0.6150832772254944,0.19603052735328674
grown,0.1411670744419098,0.006835508160293102,0.14984677731990814,0.3457489609718323,0.2666904628276825,0.18181361258029938,0.16310064494609833
to,0.33534231781959534,0.0750732421875,0.44169697165489197,0.40243685245513916,0.2433011382818222,0.31913647055625916,0.2315610647201538
connect,0.17610815167427063,-0.011029290966689587,0.2015187293291092,0.24485741555690765,0.20122668147087097,0.18569296598434448,0.8147191405296326
more,0.2627272307872772,0.04865067079663277,0.4319567084312439,0.48608261346817017,0.21804992854595184,0.33779072761535645,0.17543533444404602
than,0.2015816867351532,0.008274049498140812,0.29763275384902954,0.39069414138793945,0.2275306135416031,0.2885614037513733,0.21839462220668793
100,0.2142891138792038,-0.10089641809463501,0.16096413135528564,0.19939450919628143,0.040251344442367554,0.25621604919433594,0.14120818674564362
