,what,is,the,active,form,of,vitamin,d,known,as,?
this,0.5489566326141357,0.480927973985672,0.6274310946464539,0.29579898715019226,0.28080853819847107,0.45148900151252747,0.24312475323677063,0.14608511328697205,0.24229489266872406,0.43993282318115234,0.3155723512172699
is,0.28837618231773376,1.0,0.5823672413825989,0.2193424552679062,0.3218395411968231,0.4854315221309662,0.2015729397535324,0.1841740906238556,0.41921812295913696,0.43216490745544434,0.22961433231830597
essentially,0.36749956011772156,0.2786000370979309,0.2945486903190613,0.2740190923213959,0.2088945508003235,0.2832449674606323,0.2470116764307022,0.12227626889944077,0.2127271592617035,0.3430057168006897,0.24316146969795227
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2637912929058075,0.3088195323944092,0.5052502155303955,0.18759925663471222,0.23995991051197052,0.30882248282432556,0.39550232887268066,0.23916715383529663
signaling,0.222028449177742,0.21126988530158997,0.3361169397830963,0.21008796989917755,0.23019076883792877,0.2891853451728821,0.26833003759384155,0.06133003160357475,0.22501179575920105,0.25802716612815857,0.08560577780008316
device,0.2484142780303955,0.2402733862400055,0.2555081248283386,0.18383361399173737,0.2171834409236908,0.17168864607810974,0.14567041397094727,0.08545835316181183,0.11057247221469879,0.15815763175487518,0.09819377958774567
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.2937624454498291,0.31894639134407043,0.41498205065727234,0.21933655440807343,0.1292460858821869,0.20813259482383728,0.4735107421875,0.32716336846351624
allows,0.1957017332315445,0.2976554334163666,0.2995605766773224,0.1632440984249115,0.2820805013179779,0.2623075544834137,0.1881076544523239,0.145578995347023,0.12897369265556335,0.20692208409309387,0.16094227135181427
the,0.42745697498321533,0.5823672413825989,1.0,0.2376219779253006,0.29286009073257446,0.733189046382904,0.15835851430892944,0.22546343505382538,0.3624623417854309,0.48381632566452026,0.22068053483963013
t-cell,0.23781754076480865,0.12826094031333923,0.1863381564617157,0.21037262678146362,0.2002211958169937,0.22602207958698273,0.27391913533210754,0.15219977498054504,0.14106036722660065,0.2572377324104309,0.2173434942960739
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.24291767179965973,0.2772196829319,0.41548454761505127,0.1845647543668747,0.16277578473091125,0.14337651431560516,0.42092081904411316,0.29463258385658264
bind,0.20024219155311584,0.20363958179950714,0.20701828598976135,0.17287565767765045,0.347547322511673,0.23110318183898926,0.3517693877220154,0.0753462016582489,0.18259389698505402,0.1672244817018509,0.13327588140964508
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.24291767179965973,0.2772196829319,0.41548454761505127,0.1845647543668747,0.16277578473091125,0.14337651431560516,0.42092081904411316,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,1.0,0.2376219779253006,0.29286009073257446,0.733189046382904,0.15835851430892944,0.22546343505382538,0.3624623417854309,0.48381632566452026,0.22068053483963013
active,0.2610722482204437,0.2193424552679062,0.2376219779253006,0.9999998807907104,0.1545594036579132,0.23132829368114471,0.1965039223432541,0.1984005868434906,0.24438825249671936,0.22280307114124298,0.20374006032943726
form,0.15868011116981506,0.3218395411968231,0.29286009073257446,0.1545594036579132,0.9999999403953552,0.29600051045417786,0.13206206262111664,0.030105968937277794,0.21961110830307007,0.24710296094417572,0.1463010311126709
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.23132829368114471,0.29600051045417786,1.0,0.17766891419887543,0.2222626954317093,0.35814476013183594,0.3886612355709076,0.1826142966747284
vitamin,0.12379113584756851,0.2015729397535324,0.15835851430892944,0.1965039223432541,0.13206206262111664,0.17766891419887543,1.0,0.20004038512706757,0.1850612461566925,0.2013903260231018,0.18973398208618164
d,0.13108977675437927,0.1841740906238556,0.22546343505382538,0.1984005868434906,0.030105968937277794,0.2222626954317093,0.20004038512706757,1.0000001192092896,0.15980489552021027,0.16952665150165558,0.1780570149421692
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2681531608104706,0.21805599331855774,0.4946078956127167,0.22316882014274597,0.3832205832004547,0.3604377806186676,0.48816442489624023,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.2376219779253006,0.29286009073257446,0.733189046382904,0.15835851430892944,0.22546343505382538,0.3624623417854309,0.48381632566452026,0.22068053483963013
steroid,0.1479586660861969,0.22360995411872864,0.19979993999004364,0.2210642546415329,0.1354680061340332,0.23350661993026733,0.4518252909183502,0.13481241464614868,0.15793897211551666,0.20782287418842316,0.1976039856672287
hormone,0.21333132684230804,0.22903338074684143,0.22626186907291412,0.22957827150821686,0.14555688202381134,0.19605669379234314,0.5341586470603943,0.1670628786087036,0.18720471858978271,0.21313169598579407,0.1590825915336609
calcitriol,0.2221345603466034,0.25575608015060425,0.24044360220432281,0.17802685499191284,0.3363647162914276,0.2661632001399994,0.540623664855957,0.21208657324314117,0.2751326858997345,0.2787190079689026,0.18284520506858826
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2863844931125641,0.28317511081695557,0.5352458953857422,0.2853734791278839,0.3300735354423523,0.283290296792984,0.515582263469696,0.4130953550338745
