,when,did,warsaw,become,the,capital,of,the,kingdom,of,poland,?
due,0.27254438400268555,0.15152592957019806,0.17273680865764618,0.2054976373910904,0.22577603161334991,0.11148549616336823,0.2533245384693146,0.22577603161334991,0.1288062483072281,0.2533245384693146,0.11201456189155579,0.10954997688531876
to,0.5423505902290344,0.4452643394470215,0.1953994333744049,0.36996012926101685,0.535392165184021,0.1844596415758133,0.41548454761505127,0.535392165184021,0.19473806023597717,0.41548454761505127,0.18661348521709442,0.29463258385658264
its,0.34032323956489563,0.19922670722007751,0.19152112305164337,0.22375573217868805,0.559237003326416,0.2783217430114746,0.48690423369407654,0.559237003326416,0.20481231808662415,0.48690423369407654,0.18914338946342468,0.15103481709957123
central,0.16662165522575378,0.14962437748908997,0.19905970990657806,0.18665778636932373,0.3417201042175293,0.20101356506347656,0.3415789008140564,0.3417201042175293,0.17006894946098328,0.3415789008140564,0.17085996270179749,0.14787602424621582
location,0.16889294981956482,0.1365937441587448,0.08546178042888641,0.0707431361079216,0.351087361574173,0.3336799144744873,0.28702232241630554,0.351087361574173,0.1659649759531021,0.28702232241630554,0.04838014394044876,0.15759775042533875
between,0.38258615136146545,0.16542956233024597,0.15869276225566864,0.14488078653812408,0.39067012071609497,0.19192959368228912,0.3737983703613281,0.39067012071609497,0.19385892152786255,0.3737983703613281,0.20052532851696014,0.12887074053287506
the,0.5091903209686279,0.34736719727516174,0.23137180507183075,0.31731709837913513,1.0,0.3049491047859192,0.733189046382904,1.0,0.3143408000469208,0.733189046382904,0.24871079623699188,0.22068053483963013
polish–lithuanian,0.23218688368797302,0.204283207654953,0.5739424228668213,0.21542808413505554,0.35509294271469116,0.23667581379413605,0.35474205017089844,0.35509294271469116,0.29969245195388794,0.35474205017089844,0.6423345804214478,0.1877656877040863
commonwealth,0.22960522770881653,0.14687210321426392,0.2659563720226288,0.17458651959896088,0.3297852873802185,0.30710211396217346,0.3000677525997162,0.3297852873802185,0.3527248203754425,0.3000677525997162,0.36704352498054504,0.13252873718738556
's,-0.03368149697780609,0.05069678649306297,0.02839025668799877,-0.06629510223865509,-0.01540423184633255,0.01144334115087986,-0.03817026689648628,-0.01540423184633255,0.04632937163114548,-0.03817026689648628,0.010900946334004402,-0.023395681753754616
capitals,0.17880812287330627,0.13849537074565887,0.18681874871253967,0.08268524706363678,0.29568925499916077,0.6909995675086975,0.2499065101146698,0.29568925499916077,0.16052596271038055,0.2499065101146698,0.19198566675186157,0.11594223231077194
of,0.3757161796092987,0.2513895630836487,0.19253842532634735,0.31678006052970886,0.733189046382904,0.30823585391044617,1.0,0.733189046382904,0.3218171298503876,1.0,0.26632049679756165,0.1826142966747284
kraków,0.11460823565721512,0.13580945134162903,0.6385058164596558,0.14341029524803162,0.19051972031593323,0.18472820520401,0.20613795518875122,0.19051972031593323,0.19103531539440155,0.20613795518875122,0.6202669739723206,0.17615953087806702
and,0.4716290831565857,0.34479495882987976,0.2083624005317688,0.3416603207588196,0.5171257257461548,0.218168243765831,0.5116966962814331,0.5171257257461548,0.3048160970211029,0.5116966962814331,0.2642565965652466,0.20544172823429108
vilnius,0.09270736575126648,0.11726152896881104,0.5511760711669922,0.17605435848236084,0.2485794574022293,0.2791638672351837,0.2657318413257599,0.2485794574022293,0.18112492561340332,0.2657318413257599,0.4806020259857178,0.08407469093799591
",",0.36674630641937256,0.3015086054801941,0.25300899147987366,0.29676204919815063,0.4933079481124878,0.28033894300460815,0.4946078956127167,0.4933079481124878,0.2585166394710541,0.4946078956127167,0.2751549184322357,0.31091248989105225
warsaw,0.1615014374256134,0.1939365565776825,1.0,0.1807192862033844,0.23137180507183075,0.15139155089855194,0.19253842532634735,0.23137180507183075,0.15099142491817474,0.19253842532634735,0.6352760195732117,0.09769917279481888
became,0.32363733649253845,0.3632316589355469,0.1935342699289322,0.6258460283279419,0.36325156688690186,0.22269992530345917,0.3638904094696045,0.36325156688690186,0.3033466041088104,0.3638904094696045,0.1915486454963684,0.11374033987522125
the,0.5091903209686279,0.34736719727516174,0.23137180507183075,0.31731709837913513,1.0,0.3049491047859192,0.733189046382904,1.0,0.3143408000469208,0.733189046382904,0.24871079623699188,0.22068053483963013
capital,0.20230671763420105,0.08427972346544266,0.15139155089855194,0.13410331308841705,0.3049491047859192,0.9999999403953552,0.30823585391044617,0.3049491047859192,0.20243757963180542,0.30823585391044617,0.1635831594467163,0.0907452180981636
of,0.3757161796092987,0.2513895630836487,0.19253842532634735,0.31678006052970886,0.733189046382904,0.30823585391044617,1.0,0.733189046382904,0.3218171298503876,1.0,0.26632049679756165,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,0.23137180507183075,0.31731709837913513,1.0,0.3049491047859192,0.733189046382904,1.0,0.3143408000469208,0.733189046382904,0.24871079623699188,0.22068053483963013
commonwealth,0.22960522770881653,0.14687210321426392,0.2659563720226288,0.17458651959896088,0.3297852873802185,0.30710211396217346,0.3000677525997162,0.3297852873802185,0.3527248203754425,0.3000677525997162,0.36704352498054504,0.13252873718738556
and,0.4716290831565857,0.34479495882987976,0.2083624005317688,0.3416603207588196,0.5171257257461548,0.218168243765831,0.5116966962814331,0.5171257257461548,0.3048160970211029,0.5116966962814331,0.2642565965652466,0.20544172823429108
of,0.3757161796092987,0.2513895630836487,0.19253842532634735,0.31678006052970886,0.733189046382904,0.30823585391044617,1.0,0.733189046382904,0.3218171298503876,1.0,0.26632049679756165,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,0.23137180507183075,0.31731709837913513,1.0,0.3049491047859192,0.733189046382904,1.0,0.3143408000469208,0.733189046382904,0.24871079623699188,0.22068053483963013
crown,0.2492285519838333,0.14185261726379395,0.11160732060670853,0.24345360696315765,0.2646690607070923,0.1927749216556549,0.2964670956134796,0.2646690607070923,0.35993334650993347,0.2964670956134796,0.18683625757694244,0.09979621320962906
of,0.3757161796092987,0.2513895630836487,0.19253842532634735,0.31678006052970886,0.733189046382904,0.30823585391044617,1.0,0.733189046382904,0.3218171298503876,1.0,0.26632049679756165,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,0.23137180507183075,0.31731709837913513,1.0,0.3049491047859192,0.733189046382904,1.0,0.3143408000469208,0.733189046382904,0.24871079623699188,0.22068053483963013
kingdom,0.19648540019989014,0.15448923408985138,0.15099142491817474,0.20406530797481537,0.3143408000469208,0.20243757963180542,0.3218171298503876,0.3143408000469208,1.0000001192092896,0.3218171298503876,0.26650241017341614,0.12927088141441345
of,0.3757161796092987,0.2513895630836487,0.19253842532634735,0.31678006052970886,0.733189046382904,0.30823585391044617,1.0,0.733189046382904,0.3218171298503876,1.0,0.26632049679756165,0.1826142966747284
poland,0.1766313761472702,0.1852528303861618,0.6352760195732117,0.22288833558559418,0.24871079623699188,0.1635831594467163,0.26632049679756165,0.24871079623699188,0.26650241017341614,0.26632049679756165,0.9999999403953552,0.14259830117225647
when,0.9999999403953552,0.3228907287120819,0.1615014374256134,0.4120000898838043,0.5091903209686279,0.20230671763420105,0.3757161796092987,0.5091903209686279,0.19648540019989014,0.3757161796092987,0.1766313761472702,0.22841128706932068
king,0.18628188967704773,0.24472618103027344,0.10983172804117203,0.160400852560997,0.25887003540992737,0.23407100141048431,0.2938710153102875,0.25887003540992737,0.47840359807014465,0.2938710153102875,0.16545403003692627,0.19130074977874756
sigismund,0.17361579835414886,0.16112971305847168,0.42401063442230225,0.23284532129764557,0.2685311734676361,0.29017171263694763,0.33887600898742676,0.2685311734676361,0.3123232126235962,0.33887600898742676,0.4628208875656128,0.25470688939094543
iii,0.20814812183380127,0.13783781230449677,0.18053355813026428,0.1617213785648346,0.18552400171756744,0.14765939116477966,0.21691277623176575,0.18552400171756744,0.19913744926452637,0.21691277623176575,0.2260351926088333,0.13642357289791107
vasa,0.19770324230194092,0.14574725925922394,0.285134881734848,0.16778220236301422,0.20161715149879456,0.0736352726817131,0.19801199436187744,0.20161715149879456,0.136351078748703,0.19801199436187744,0.2971080541610718,0.10693056136369705
moved,0.33581581711769104,0.27509647607803345,0.15387406945228577,0.26114654541015625,0.32031023502349854,0.3201691806316376,0.22242598235607147,0.32031023502349854,0.1545611172914505,0.22242598235607147,0.13670602440834045,0.15112607181072235
