,when,were,the,finalists,announced,?
the,0.5091903209686279,0.3906462490558624,1.0,0.28001731634140015,0.2277132272720337,0.22068053483963013
league,0.2000882774591446,0.2012902945280075,0.2724147439002991,0.283221960067749,0.19930961728096008,0.15941482782363892
announced,0.15404565632343292,0.13495038449764252,0.2277132272720337,0.20664839446544647,1.0,0.17416009306907654
on,0.37706470489501953,0.2774328887462616,0.5107308030128479,0.12815363705158234,0.303989976644516,0.2714994251728058
october,0.273419588804245,0.1925499588251114,0.2621108889579773,0.151730477809906,0.28522810339927673,0.29706719517707825
16,0.035893313586711884,0.05623408406972885,0.0058518932200968266,0.073760986328125,0.04451388493180275,0.08446579426527023
",",0.36674630641937256,0.36755475401878357,0.4933079481124878,0.20704138278961182,0.23036719858646393,0.31091248989105225
2012,0.30712300539016724,0.25845152139663696,0.46885523200035095,0.20097310841083527,0.14009785652160645,0.18042556941509247
",",0.36674630641937256,0.36755475401878357,0.4933079481124878,0.20704138278961182,0.23036719858646393,0.31091248989105225
that,0.5860282182693481,0.35517072677612305,0.5473989248275757,0.21575792133808136,0.26166632771492004,0.32716336846351624
the,0.5091903209686279,0.3906462490558624,1.0,0.28001731634140015,0.2277132272720337,0.22068053483963013
two,0.3743424117565155,0.4493520259857178,0.43858039379119873,0.21918395161628723,0.16760827600955963,0.19645625352859497
finalists,0.11144405603408813,0.24409334361553192,0.28001731634140015,1.0000001192092896,0.20664839446544647,0.1289905160665512
were,0.29649975895881653,1.0000001192092896,0.3906462490558624,0.24409334361553192,0.13495038449764252,0.17890112102031708
sun,0.2182876318693161,0.12194310873746872,0.258540540933609,0.18052363395690918,0.14285023510456085,0.1497713327407837
life,0.20499193668365479,0.1938122808933258,0.23528170585632324,0.11564424633979797,0.1293111890554428,0.21677987277507782
stadium,0.1119866892695427,0.15496990084648132,0.21145665645599365,0.2478853166103363,0.22802318632602692,0.07579939067363739
and,0.4716290831565857,0.42175528407096863,0.5171257257461548,0.20736482739448547,0.16773687303066254,0.20544172823429108
levi,0.08693099021911621,0.19408033788204193,0.15661084651947021,0.11432020366191864,0.1974305808544159,0.09252339601516724
's,-0.03368149697780609,0.007088581565767527,-0.01540423184633255,0.0166211798787117,-0.056355372071266174,-0.023395681753754616
stadium,0.1119866892695427,0.15496990084648132,0.21145665645599365,0.2478853166103363,0.22802318632602692,0.07579939067363739
.,0.475719153881073,0.3378238379955292,0.5934505462646484,0.17699584364891052,0.20513638854026794,0.4130953550338745
