,what,activity,maintains,topographic,gradients,?
these,0.4164220690727234,0.3430631160736084,0.25713008642196655,0.27580079436302185,0.3553658425807953,0.2571668326854706
sediments,0.1929577887058258,0.23502294719219208,0.16550558805465698,0.4553822875022888,0.4088420569896698,0.14528776705265045
are,0.29724663496017456,0.33086249232292175,0.2869236171245575,0.16880810260772705,0.2966657876968384,0.24591213464736938
deposited,0.19473183155059814,0.2649095058441162,0.23558661341667175,0.4130258858203888,0.3522907495498657,0.12185612320899963
on,0.34226128458976746,0.2848849296569824,0.2135164439678192,0.25280147790908813,0.24480228126049042,0.2714994251728058
the,0.42745697498321533,0.28331097960472107,0.2744854986667633,0.30854532122612,0.2503424286842346,0.22068053483963013
rock,0.1923677921295166,0.18021751940250397,0.07609284669160843,0.24763262271881104,0.20464105904102325,0.13172835111618042
unit,0.175853431224823,0.16792812943458557,0.21328459680080414,0.2839322090148926,0.3490220606327057,0.09069886058568954
that,0.6297725439071655,0.3449932038784027,0.2821052670478821,0.15717312693595886,0.32246679067611694,0.32716336846351624
is,0.28837618231773376,0.26035502552986145,0.2847173810005188,0.22566455602645874,0.19594094157218933,0.22961433231830597
going,0.5222549438476562,0.28537505865097046,0.23700878024101257,0.11888065934181213,0.21247264742851257,0.3252600431442261
down,0.26226112246513367,0.19287645816802979,0.19976162910461426,0.16877084970474243,0.2420043796300888,0.13836295902729034
.,0.3567904531955719,0.23696304857730865,0.23767796158790588,0.25887331366539,0.24666668474674225,0.4130953550338745
