,how,were,enemy,prisoners,used,tactically,by,mongol,armies,?
the,0.33890387415885925,0.3906462490558624,0.2552780210971832,0.2337981015443802,0.3718377649784088,0.3009285628795624,0.4408751428127289,0.2924198508262634,0.33505764603614807,0.22068053483963013
mongol,0.11711648851633072,0.21221880614757538,0.24240630865097046,0.12605738639831543,0.10013260692358017,0.22657330334186554,0.1995033621788025,1.0000001192092896,0.35058408975601196,0.12849251925945282
military,0.15955743193626404,0.21322216093540192,0.3149026930332184,0.35699740052223206,0.2396242618560791,0.33418798446655273,0.2170676290988922,0.26000091433525085,0.407022625207901,0.1890317052602768
was,0.16678167879581451,0.590133786201477,0.26865243911743164,0.28829601407051086,0.23679393529891968,0.24689917266368866,0.4752357602119446,0.17204789817333221,0.2626568377017975,0.18412111699581146
also,0.43506327271461487,0.31877249479293823,0.24178339540958405,0.2108108252286911,0.45273035764694214,0.2831297814846039,0.3824189305305481,0.2039244920015335,0.18593129515647888,0.21848613023757935
successful,0.17852677404880524,0.24574939906597137,0.17696036398410797,0.1450023204088211,0.20562082529067993,0.22918926179409027,0.1869579404592514,0.11085983365774155,0.11258665472269058,0.1132197454571724
in,0.2601168751716614,0.3815755248069763,0.17286726832389832,0.2508719265460968,0.3090210556983948,0.20094230771064758,0.370934396982193,0.16958336532115936,0.23347583413124084,0.20430970191955566
siege,0.08000341802835464,0.21970319747924805,0.32831406593322754,0.35244545340538025,0.04137276113033295,0.25248709321022034,0.1746872216463089,0.341903954744339,0.444247305393219,0.07257505506277084
warfare,0.2399844527244568,0.26906102895736694,0.3740674555301666,0.28877896070480347,0.30963945388793945,0.37922239303588867,0.1912270039319992,0.2501002848148346,0.36013349890708923,0.1583555042743683
",",0.22659391164779663,0.36755475401878357,0.18225997686386108,0.255770206451416,0.3120402991771698,0.17001980543136597,0.3680937886238098,0.2229510098695755,0.2557220757007599,0.31091248989105225
cutting,0.2312716394662857,0.21747282147407532,0.23099595308303833,0.25557857751846313,0.26882532238960266,0.2050410807132721,0.18736174702644348,0.1403256058692932,0.1238921582698822,0.07885761559009552
off,0.22701384127140045,0.21087022125720978,0.18241947889328003,0.19727982580661774,0.18048913776874542,0.24320077896118164,0.28998351097106934,0.14724689722061157,0.1885354220867157,0.12937544286251068
resources,0.23077203333377838,0.1945209950208664,0.18761949241161346,0.20869052410125732,0.2871328592300415,0.2665805220603943,0.19408294558525085,0.1732160747051239,0.22797714173793793,0.26047492027282715
