,when,are,recent,episodes,of,abc,shows,typically,made,available,on,vod,services,?
the,0.5091903209686279,0.40399202704429626,0.31046223640441895,0.1889590173959732,0.733189046382904,0.2068762183189392,0.36348509788513184,0.33345210552215576,0.3885267674922943,0.26723232865333557,0.5107308030128479,0.2821354568004608,0.2381475418806076,0.22068053483963013
most,0.299309104681015,0.48698675632476807,0.3701000511646271,0.10079029202461243,0.4178851246833801,0.12975531816482544,0.265746146440506,0.373720645904541,0.3095383644104004,0.25660282373428345,0.28303956985473633,0.21574535965919495,0.20012396574020386,0.2107497900724411
recent,0.2353774756193161,0.2818499803543091,1.0,0.15360774099826813,0.2896444797515869,0.20540374517440796,0.333941251039505,0.2545337975025177,0.26826968789100647,0.2317035049200058,0.26223310828208923,0.09556882828474045,0.16566960513591766,0.2544887959957123
episodes,0.20127248764038086,0.1978527158498764,0.15360774099826813,0.9999999403953552,0.19166667759418488,0.4064764380455017,0.3452025353908539,0.15188349783420563,0.1676216423511505,0.23154427111148834,0.25720518827438354,0.17425499856472015,0.1846558302640915,0.21740183234214783
of,0.3757161796092987,0.39081433415412903,0.2896444797515869,0.19166667759418488,1.0,0.14607268571853638,0.3410852253437042,0.28964799642562866,0.33167365193367004,0.2416580766439438,0.3966929316520691,0.2011662721633911,0.23787347972393036,0.1826142966747284
the,0.5091903209686279,0.40399202704429626,0.31046223640441895,0.1889590173959732,0.733189046382904,0.2068762183189392,0.36348509788513184,0.33345210552215576,0.3885267674922943,0.26723232865333557,0.5107308030128479,0.2821354568004608,0.2381475418806076,0.22068053483963013
network,0.19011130928993225,0.2036537528038025,0.1549302041530609,0.37722620368003845,0.21800683438777924,0.4295894205570221,0.31273210048675537,0.23255734145641327,0.1491432934999466,0.2889183461666107,0.30190837383270264,0.21779479086399078,0.392092764377594,0.17853789031505585
's,-0.03368149697780609,-0.008927806280553341,-0.01746293343603611,-0.013447972945868969,-0.03817026689648628,0.06670809537172318,0.02703757770359516,0.06449899077415466,0.08483956009149551,0.03610558435320854,0.0026888418942689896,0.16438880562782288,0.0342075377702713,-0.023395681753754616
shows,0.27013710141181946,0.29522567987442017,0.333941251039505,0.3452025353908539,0.3410852253437042,0.3304527997970581,0.9999999403953552,0.23278576135635376,0.2575196921825409,0.22410283982753754,0.361020565032959,0.10395345091819763,0.15572091937065125,0.2040930688381195
are,0.29873907566070557,1.0,0.2818499803543091,0.1978527158498764,0.39081433415412903,0.06184951588511467,0.29522567987442017,0.4610564708709717,0.2941095530986786,0.31910744309425354,0.268924742937088,0.20674897730350494,0.26135778427124023,0.24591213464736938
usually,0.42107367515563965,0.5635237097740173,0.2041843980550766,0.20699764788150787,0.33931583166122437,0.08103301376104355,0.23414190113544464,0.7066826820373535,0.2806141674518585,0.304841548204422,0.25784361362457275,0.1961185336112976,0.27741310000419617,0.19435347616672516
made,0.2936893105506897,0.2941095530986786,0.26826968789100647,0.1676216423511505,0.33167365193367004,0.16169872879981995,0.2575196921825409,0.200508713722229,1.0,0.29420849680900574,0.37619519233703613,0.19851095974445343,0.17327864468097687,0.17218779027462006
available,0.1828819364309311,0.31910744309425354,0.2317035049200058,0.23154427111148834,0.2416580766439438,0.17715942859649658,0.22410283982753754,0.3666781485080719,0.29420849680900574,1.0000001192092896,0.3133032023906708,0.2324274778366089,0.33985206484794617,0.2501629889011383
