,who,recovered,ward,'s,fumble,?
ward,0.26459071040153503,0.10608749836683273,1.0,-0.04928696155548096,0.24033132195472717,0.09479375928640366
fumbled,0.21337184309959412,0.48067063093185425,0.1908610314130783,0.02210577018558979,0.8084627985954285,0.17208009958267212
the,0.3733934462070465,0.2614712417125702,0.20814019441604614,-0.01540423184633255,0.16197896003723145,0.22068053483963013
ball,0.18419332802295685,0.12504027783870697,0.17405594885349274,-0.028031641617417336,0.3442053198814392,0.1766241192817688
during,0.30551859736442566,0.32247185707092285,0.13898472487926483,0.011294117197394371,0.203555166721344,0.1325719803571701
the,0.3733934462070465,0.2614712417125702,0.20814019441604614,-0.01540423184633255,0.16197896003723145,0.22068053483963013
return,0.14819499850273132,0.28613102436065674,0.16474495828151703,0.03277071565389633,0.33790716528892517,0.14655634760856628
",",0.3365725874900818,0.2676272988319397,0.2985597848892212,-0.0016132977325469255,0.30810612440109253,0.31091248989105225
but,0.4487357437610626,0.3365628123283386,0.1553623378276825,0.04136733338236809,0.19137734174728394,0.27921953797340393
trevathan,0.314143568277359,0.22541053593158722,0.25805240869522095,0.033713873475790024,0.3047519326210022,0.19781902432441711
recovered,0.19365158677101135,1.0,0.10608749836683273,-0.014260370284318924,0.35254186391830444,0.08912046253681183
it,0.2868398427963257,0.2036934196949005,0.20405462384223938,0.06608816236257553,0.1261741667985916,0.25732165575027466
to,0.42656609416007996,0.2292492538690567,0.2050534337759018,0.03782717138528824,0.19821307063102722,0.29463258385658264
enable,0.21422363817691803,0.15119636058807373,0.08875501155853271,0.061433758586645126,0.247516930103302,0.2741726338863373
denver,0.20955970883369446,0.1906365305185318,0.2689022421836853,-0.08765961974859238,0.34056177735328674,0.1520889848470688
to,0.42656609416007996,0.2292492538690567,0.2050534337759018,0.03782717138528824,0.19821307063102722,0.29463258385658264
keep,0.18928852677345276,0.23066574335098267,0.1246517151594162,-0.022091448307037354,0.19882482290267944,0.2537146508693695
possession,0.25850099325180054,0.255143940448761,0.1511932760477066,0.0022223382256925106,0.21473029255867004,0.06212200969457626
.,0.3541337847709656,0.25115838646888733,0.25581514835357666,-0.003708066651597619,0.23846884071826935,0.4130953550338745
