,who,if,the,commissioner,of,the,nfl,?
in,0.2792111933231354,0.2589588761329651,0.6662389636039734,0.25561144948005676,0.5696388483047485,0.6662389636039734,0.12599408626556396,0.20430970191955566
early,0.23985694348812103,0.15941941738128662,0.34442198276519775,0.14156143367290497,0.30937549471855164,0.34442198276519775,0.10286319255828857,0.15272949635982513
2012,0.23490679264068604,0.24687719345092773,0.46885523200035095,0.17070372402668,0.4422316551208496,0.46885523200035095,0.10287706553936005,0.18042556941509247
",",0.3365725874900818,0.257730096578598,0.4933079481124878,0.23213201761245728,0.4946078956127167,0.4933079481124878,0.18939071893692017,0.31091248989105225
nfl,0.13425186276435852,0.1617802232503891,0.15305201709270477,0.26866310834884644,0.1524115800857544,0.15305201709270477,1.0,0.10610254108905792
commissioner,0.23451058566570282,0.13701559603214264,0.25271227955818176,1.0000001192092896,0.233353391289711,0.25271227955818176,0.26866310834884644,0.1209191158413887
roger,0.252828449010849,0.15888841450214386,0.1998666524887085,0.22977811098098755,0.19189049303531647,0.1998666524887085,0.13967666029930115,0.0969553217291832
goodell,0.2778538167476654,0.15910157561302185,0.2954566180706024,0.4120275378227234,0.2612045705318451,0.2954566180706024,0.34426531195640564,0.18825720250606537
stated,0.25916561484336853,0.2599885165691376,0.2814950942993164,0.22937007248401642,0.22148488461971283,0.2814950942993164,0.17967255413532257,0.24280361831188202
that,0.45444270968437195,0.5634250640869141,0.5473989248275757,0.18016722798347473,0.41498205065727234,0.5473989248275757,0.15213505923748016,0.32716336846351624
the,0.3733934462070465,0.33724796772003174,1.0,0.25271227955818176,0.733189046382904,1.0,0.15305201709270477,0.22068053483963013
league,0.2161521464586258,0.1618887186050415,0.2724147439002991,0.32959142327308655,0.23588460683822632,0.2724147439002991,0.3908804953098297,0.15941482782363892
planned,0.189250648021698,0.17159102857112885,0.3010992109775543,0.20996451377868652,0.2487981617450714,0.3010992109775543,0.11800064891576767,0.16188396513462067
to,0.42656609416007996,0.4559597074985504,0.535392165184021,0.21615050733089447,0.41548454761505127,0.535392165184021,0.1526731252670288,0.29463258385658264
make,0.28430092334747314,0.46499893069267273,0.3146495521068573,0.1660543978214264,0.2912110388278961,0.3146495521068573,0.15523679554462433,0.28314751386642456
the,0.3733934462070465,0.33724796772003174,1.0,0.25271227955818176,0.733189046382904,1.0,0.15305201709270477,0.22068053483963013
50th,0.009327351115643978,0.11909833550453186,0.19595111906528473,0.03502976521849632,0.11716882884502411,0.19595111906528473,0.1160515546798706,0.004919986240565777
super,0.1819351613521576,0.14169710874557495,0.21959073841571808,0.162574902176857,0.14718765020370483,0.21959073841571808,0.319060355424881,0.166326642036438
bowl,0.09189514070749283,0.1649239957332611,0.21576224267482758,0.17646083235740662,0.2243070751428604,0.21576224267482758,0.48354101181030273,0.21118052303791046
``,0.02397952415049076,0.20059196650981903,0.029072100296616554,-0.02414378896355629,0.06780257821083069,0.029072100296616554,0.06351951509714127,0.0685480609536171
spectacular,0.1632232367992401,0.16163626313209534,0.3252345323562622,0.13528044521808624,0.24861674010753632,0.3252345323562622,0.20618118345737457,0.14826124906539917
'',0.024401003494858742,-0.010894154198467731,0.041273195296525955,-0.006760009564459324,0.13035868108272552,0.041273195296525955,-0.027741191908717155,0.018684765323996544
and,0.41279885172843933,0.3498523235321045,0.5171257257461548,0.26343652606010437,0.5116966962814331,0.5171257257461548,0.2080700695514679,0.20544172823429108
that,0.45444270968437195,0.5634250640869141,0.5473989248275757,0.18016722798347473,0.41498205065727234,0.5473989248275757,0.15213505923748016,0.32716336846351624
it,0.2868398427963257,0.35967332124710083,0.6251175999641418,0.19621670246124268,0.38761502504348755,0.6251175999641418,0.11547107994556427,0.25732165575027466
would,0.3632977604866028,0.5543612837791443,0.4133751392364502,0.21825768053531647,0.3353942930698395,0.4133751392364502,0.16166402399539948,0.37178951501846313
be,0.3371641933917999,0.5628611445426941,0.4248143136501312,0.1837872862815857,0.33904364705085754,0.4248143136501312,0.12418080866336823,0.3324260413646698
``,0.02397952415049076,0.20059196650981903,0.029072100296616554,-0.02414378896355629,0.06780257821083069,0.029072100296616554,0.06351951509714127,0.0685480609536171
