,when,was,geegen,the,emperor,?
emperor,0.18443609774112701,0.2147601991891861,0.2601129114627838,0.2871226370334625,0.9999998807907104,0.19661661982536316
gegeen,0.24280807375907898,0.2969592809677124,0.7224128842353821,0.29155126214027405,0.2940356433391571,0.28029119968414307
khan,0.16355718672275543,0.23483267426490784,0.23657940328121185,0.21067845821380615,0.30382612347602844,0.12862591445446014
",",0.36674630641937256,0.45456063747406006,0.2713834047317505,0.4933079481124878,0.20295536518096924,0.31091248989105225
ayurbarwada,0.17647357285022736,0.30865684151649475,0.4196285009384155,0.3195618689060211,0.35385528206825256,0.19901207089424133
's,-0.03368149697780609,0.008974763564765453,0.0608903244137764,-0.01540423184633255,-0.03835967555642128,-0.023395681753754616
son,0.24222131073474884,0.3045712113380432,0.18790331482887268,0.2102738618850708,0.3538718521595001,0.14735563099384308
and,0.4716290831565857,0.3740963041782379,0.23317915201187134,0.5171257257461548,0.18361839652061462,0.20544172823429108
successor,0.1862170696258545,0.287630170583725,0.16342508792877197,0.14193344116210938,0.20735102891921997,0.0913006067276001
",",0.36674630641937256,0.45456063747406006,0.2713834047317505,0.4933079481124878,0.20295536518096924,0.31091248989105225
ruled,0.2296513020992279,0.3318201005458832,0.1524425894021988,0.2668108344078064,0.3533867597579956,0.19970785081386566
for,0.43402108550071716,0.3863949179649353,0.16974879801273346,0.4739971458911896,0.16987250745296478,0.264628142118454
only,0.5497387051582336,0.36249664425849915,0.13542523980140686,0.5497692227363586,0.1748690903186798,0.2767370045185089
two,0.3743424117565155,0.27166637778282166,0.15026453137397766,0.43858039379119873,0.11609718203544617,0.19645625352859497
years,0.3409145474433899,0.35855233669281006,0.18498000502586365,0.2912273406982422,0.19048205018043518,0.1914375126361847
",",0.36674630641937256,0.45456063747406006,0.2713834047317505,0.4933079481124878,0.20295536518096924,0.31091248989105225
from,0.405669629573822,0.31171464920043945,0.17924809455871582,0.40150508284568787,0.1362302154302597,0.19969791173934937
1321,0.19897805154323578,0.12803694605827332,0.08284685015678406,0.16632887721061707,0.22294063866138458,0.09066365659236908
to,0.5423505902290344,0.3636345863342285,0.14744608104228973,0.535392165184021,0.2257286012172699,0.29463258385658264
1323,0.08851900696754456,-0.002016146434471011,0.05661838501691818,0.02800673432648182,0.06048183888196945,0.005109874997287989
.,0.475719153881073,0.40146201848983765,0.2324017882347107,0.5934505462646484,0.2352581024169922,0.4130953550338745
