,what,period,did,plates,reverse,directions,to,compress,the,tethys,floor,?
at,0.2838611304759979,0.20980304479599,0.28390252590179443,0.12583835422992706,0.13835975527763367,0.22378987073898315,0.36524343490600586,0.20760825276374817,0.457212895154953,0.2136210948228836,0.2131299525499344,0.21978627145290375
about,0.47976887226104736,0.24550940096378326,0.28723078966140747,0.16774769127368927,0.11372162401676178,0.24736109375953674,0.391953706741333,0.11402217298746109,0.37995871901512146,0.23796774446964264,0.12888625264167786,0.302409827709198
180,0.1435280293226242,0.17775321006774902,0.0669577494263649,0.13498646020889282,0.08609995990991592,0.07014266401529312,0.19752362370491028,0.24908365309238434,0.08750838786363602,0.20135721564292908,0.11803700029850006,0.12062747031450272
mbp,0.20228837430477142,0.18986916542053223,0.18422891199588776,0.14010854065418243,0.2254851758480072,0.1679980754852295,0.21385380625724792,0.3222844898700714,0.1879960000514984,0.20900429785251617,0.0713874027132988,0.27044346928596497
",",0.3087472915649414,0.25030651688575745,0.3015086054801941,0.17598696053028107,0.160164475440979,0.2676805257797241,0.44245919585227966,0.19893641769886017,0.4933079481124878,0.22906635701656342,0.15303881466388702,0.31091248989105225
in,0.30808621644973755,0.23051127791404724,0.2593238651752472,0.17680886387825012,0.17190614342689514,0.2085569202899933,0.45010748505592346,0.12843257188796997,0.6662389636039734,0.19767718017101288,0.21428263187408447,0.20430970191955566
the,0.42745697498321533,0.3125074505805969,0.34736719727516174,0.2566349506378174,0.29930976033210754,0.310249000787735,0.535392165184021,0.21794894337654114,1.0,0.25273868441581726,0.25987908244132996,0.22068053483963013
jurassic,0.25873687863349915,0.3403443396091461,0.16770406067371368,0.323392391204834,0.14380255341529846,0.1478973776102066,0.1760513186454773,0.18791386485099792,0.2727998197078705,0.3812289834022522,0.2228618860244751,0.18851254880428314
period,0.24507179856300354,1.0,0.1760309934616089,0.16568656265735626,0.14880973100662231,0.1837034523487091,0.24346192181110382,0.0960204005241394,0.3125074505805969,0.26912954449653625,0.11179854720830917,0.18706195056438446
",",0.3087472915649414,0.25030651688575745,0.3015086054801941,0.17598696053028107,0.160164475440979,0.2676805257797241,0.44245919585227966,0.19893641769886017,0.4933079481124878,0.22906635701656342,0.15303881466388702,0.31091248989105225
