,what,'s,thomas,piketty,'s,job,?
studies,0.18772079050540924,-0.04059765115380287,0.1240677535533905,0.14662019908428192,-0.04059765115380287,0.19866129755973816,0.1388726830482483
on,0.34226128458976746,0.0026888418942689896,0.1902061104774475,0.2705252170562744,0.0026888418942689896,0.1859906166791916,0.2714994251728058
income,0.21837803721427917,-0.006451981142163277,0.13192082941532135,0.21332399547100067,-0.006451981142163277,0.2631240785121918,0.14935168623924255
inequality,0.30072227120399475,-0.0032307563815265894,0.13228389620780945,0.17187516391277313,-0.0032307563815265894,0.21635733544826508,0.23619021475315094
and,0.31309178471565247,0.06895173341035843,0.20946627855300903,0.3796457350254059,0.06895173341035843,0.2592610716819763,0.20544172823429108
growth,0.1739405393600464,-0.008487226441502571,0.09486779570579529,0.17753902077674866,-0.008487226441502571,0.18130864202976227,0.07547862827777863
have,0.39808809757232666,-0.02807004563510418,0.09757966548204422,0.24251851439476013,-0.02807004563510418,0.23932787775993347,0.32991164922714233
sometimes,0.34229418635368347,0.018931861966848373,0.1390877217054367,0.2729465961456299,0.018931861966848373,0.21638159453868866,0.1751544177532196
found,0.1796332150697708,0.005866709165275097,0.1359933763742447,0.17968353629112244,0.005866709165275097,0.15658649802207947,0.16790300607681274
evidence,0.33425694704055786,0.06192260608077049,0.1477402001619339,0.14672677218914032,0.06192260608077049,0.13998696208000183,0.24151235818862915
confirming,0.29070624709129333,-0.03553840145468712,0.14014418423175812,0.12319217622280121,-0.03553840145468712,0.21352146565914154,0.2766484320163727
the,0.42745697498321533,-0.01540423184633255,0.23505409061908722,0.27088600397109985,-0.01540423184633255,0.24242734909057617,0.22068053483963013
kuznets,0.1295931190252304,0.017264913767576218,0.17854337394237518,0.33250996470451355,0.017264913767576218,0.21102316677570343,0.19523082673549652
curve,0.26433035731315613,-0.025745851919054985,0.11135954409837723,0.30655142664909363,-0.025745851919054985,0.13013945519924164,0.18092067539691925
hypothesis,0.32678523659706116,0.0059502702206373215,0.20744843780994415,0.12098927050828934,0.0059502702206373215,0.09452836215496063,0.20027662813663483
",",0.3087472915649414,-0.0016132977325469255,0.25079426169395447,0.36849284172058105,-0.0016132977325469255,0.27190712094306946,0.31091248989105225
which,0.5261979103088379,0.03856118768453598,0.20158961415290833,0.2634177803993225,0.03856118768453598,0.1744823455810547,0.25814583897590637
states,0.21526020765304565,-0.004298824816942215,0.12428610771894455,0.2942997217178345,-0.004298824816942215,0.18299144506454468,0.16272737085819244
that,0.6297725439071655,0.04397977516055107,0.1523774415254593,0.2496175616979599,0.04397977516055107,0.2914779484272003,0.32716336846351624
with,0.2464839518070221,-0.04624466598033905,0.1763175129890442,0.22981123626232147,-0.04624466598033905,0.17762644588947296,0.2433311939239502
economic,0.18082544207572937,0.0034841743763536215,0.06489337980747223,0.17282181978225708,0.0034841743763536215,0.177793949842453,0.1206481084227562
development,0.19014155864715576,0.004789014346897602,0.08292645215988159,0.19042471051216125,0.004789014346897602,0.1941894292831421,0.1211358830332756
",",0.3087472915649414,-0.0016132977325469255,0.25079426169395447,0.36849284172058105,-0.0016132977325469255,0.27190712094306946,0.31091248989105225
inequality,0.30072227120399475,-0.0032307563815265894,0.13228389620780945,0.17187516391277313,-0.0032307563815265894,0.21635733544826508,0.23619021475315094
first,0.28086137771606445,-0.014458609744906425,0.2396867871284485,0.2292911261320114,-0.014458609744906425,0.1732071042060852,0.18701928853988647
increases,0.23849372565746307,-0.06925508379936218,0.09176407009363174,0.1690061241388321,-0.06925508379936218,0.20978103578090668,0.10270863026380539
",",0.3087472915649414,-0.0016132977325469255,0.25079426169395447,0.36849284172058105,-0.0016132977325469255,0.27190712094306946,0.31091248989105225
then,0.4072686731815338,0.010921895503997803,0.1205587238073349,0.1767265349626541,0.010921895503997803,0.29262036085128784,0.2884598970413208
decreases,0.23214028775691986,-0.08894851058721542,0.10886108130216599,0.1433124989271164,-0.08894851058721542,0.16156402230262756,0.09293979406356812
.,0.3567904531955719,-0.003708066651597619,0.2580391466617584,0.31309884786605835,-0.003708066651597619,0.2807863652706146,0.4130953550338745
