,what,is,a,typical,name,for,learning,that,is,not,inside,of,the,classroom,?
many,0.36131182312965393,0.2649032473564148,0.2872205972671509,0.3185737729072571,0.206878662109375,0.40972793102264404,0.2936221659183502,0.5391656160354614,0.2649032473564148,0.4369727373123169,0.3267318904399872,0.37253960967063904,0.4335206151008606,0.2254517376422882,0.2124512493610382
times,0.21414996683597565,0.21773184835910797,0.2745400369167328,0.17656652629375458,0.19941937923431396,0.2999500632286072,0.13513992726802826,0.2866678833961487,0.21773184835910797,0.22012482583522797,0.11950579285621643,0.24352745711803436,0.29093852639198303,0.12521713972091675,0.18880689144134521
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.2310890257358551,0.28145334124565125,0.4464869201183319,0.22680731117725372,0.4137537479400635,0.4691906273365021,0.3769696354866028,0.2100258767604828,0.4946078956127167,0.4933079481124878,0.19432392716407776,0.31091248989105225
teachers,0.2526462972164154,0.15701442956924438,0.2509842813014984,0.17228858172893524,0.11480151861906052,0.274332195520401,0.4589121639728546,0.24071024358272552,0.15701442956924438,0.22176165878772736,0.06237741932272911,0.27737662196159363,0.22025763988494873,0.49553152918815613,0.19522249698638916
assist,0.2079332321882248,0.12474734336137772,0.22511160373687744,0.11382486671209335,0.08340010792016983,0.3344856798648834,0.23580828309059143,0.25256022810935974,0.12474734336137772,0.22098392248153687,0.13839766383171082,0.2264028638601303,0.22201772034168243,0.25416892766952515,0.1584155559539795
in,0.30808621644973755,0.5394441485404968,0.539380669593811,0.2587708830833435,0.2459065467119217,0.4322226941585541,0.2443799525499344,0.435920387506485,0.5394441485404968,0.3403114080429077,0.3260733187198639,0.5696388483047485,0.6662389636039734,0.215206578373909,0.20430970191955566
learning,0.29806870222091675,0.19600103795528412,0.23662391304969788,0.17285402119159698,0.035126522183418274,0.3046240508556366,0.9999998807907104,0.2574402689933777,0.19600103795528412,0.2633654773235321,0.13122114539146423,0.23709416389465332,0.2504628002643585,0.45158544182777405,0.25810256600379944
outside,0.3224688768386841,0.2823421061038971,0.3113526403903961,0.23793813586235046,0.15096399188041687,0.2657284140586853,0.19844196736812592,0.351840078830719,0.2823421061038971,0.3095373511314392,0.6500258445739746,0.2973117530345917,0.3879719078540802,0.25104355812072754,0.14839068055152893
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.33413293957710266,0.24075818061828613,0.4185989499092102,0.23709416389465332,0.41498205065727234,0.4854315221309662,0.3307090103626251,0.2544495463371277,1.0,0.733189046382904,0.18854095041751862,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.28039172291755676,0.3171212375164032,0.4739971458911896,0.2504628002643585,0.5473989248275757,0.5823672413825989,0.4310511648654938,0.35313180088996887,0.733189046382904,1.0,0.18035247921943665,0.22068053483963013
classroom,0.2124699205160141,0.14807726442813873,0.24022886157035828,0.19297753274440765,0.06736695766448975,0.25043272972106934,0.45158544182777405,0.2551419138908386,0.14807726442813873,0.25095072388648987,0.23674461245536804,0.18854095041751862,0.18035247921943665,1.0,0.23190370202064514
by,0.2455483376979828,0.3899846076965332,0.32094135880470276,0.10447146743535995,0.25480157136917114,0.3248702883720398,0.18080872297286987,0.37496164441108704,0.3899846076965332,0.291808545589447,0.261824369430542,0.3646814823150635,0.4408751428127289,0.14227165281772614,0.17966607213020325
accompanying,0.24260017275810242,0.20132537186145782,0.257628858089447,0.32740095257759094,0.1738770604133606,0.37723246216773987,0.29482725262641907,0.31743669509887695,0.20132537186145782,0.3217693269252777,0.268083393573761,0.3065544068813324,0.3379639685153961,0.23650668561458588,0.22333867847919464
students,0.2380729615688324,0.2124544233083725,0.2676560878753662,0.18736033141613007,0.10358775407075882,0.2460945099592209,0.4564066231250763,0.2510627210140228,0.2124544233083725,0.2090270072221756,0.11597388237714767,0.25513339042663574,0.25268980860710144,0.5304811596870422,0.18017297983169556
on,0.34226128458976746,0.3635730445384979,0.3848365545272827,0.20953485369682312,0.17627742886543274,0.36199691891670227,0.1940586417913437,0.42569106817245483,0.3635730445384979,0.3516409695148468,0.2502138614654541,0.3966929316520691,0.5107308030128479,0.24903182685375214,0.2714994251728058
field,0.1825202852487564,0.17269009351730347,0.2030690312385559,0.13810284435749054,0.15073443949222565,0.24342265725135803,0.13137707114219666,0.2216513603925705,0.17269009351730347,0.22636151313781738,0.19794394075870514,0.20410659909248352,0.2105809599161148,0.18831530213356018,0.11279727518558502
trips,0.2086525410413742,0.17319568991661072,0.20099662244319916,0.2016177922487259,0.09167909622192383,0.24201631546020508,0.18502193689346313,0.25690531730651855,0.17319568991661072,0.18535444140434265,0.13918864727020264,0.23944911360740662,0.24421270191669464,0.1638905555009842,0.07787525653839111
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.2668197751045227,0.24737101793289185,0.4726039469242096,0.24872951209545135,0.4460422694683075,0.4569662809371948,0.4824007451534271,0.3128161132335663,0.5352458953857422,0.5934505462646484,0.20956985652446747,0.4130953550338745
