,what,is,another,word,for,long,",",planar,igneous,intrusions,?
volcanic,0.17858825623989105,0.22739481925964355,0.17747841775417328,0.0472240075469017,0.13000400364398956,0.20259201526641846,0.21734577417373657,0.22885063290596008,0.587321937084198,0.43727296590805054,0.11614231020212173
ashes,0.16322189569473267,0.21821825206279755,0.17242805659770966,0.10444866120815277,0.16135872900485992,0.18365272879600525,0.2434438169002533,0.09851288050413132,0.2269311547279358,0.2291458249092102,0.18550114333629608
and,0.31309178471565247,0.3859752118587494,0.3214244842529297,0.20273149013519287,0.5064792633056641,0.3395216166973114,0.6633074283599854,0.27659496665000916,0.23742187023162842,0.34108346700668335,0.20544172823429108
lavas,0.18736954033374786,0.2376996874809265,0.15948578715324402,0.11278188228607178,0.0920511782169342,0.20974838733673096,0.24386608600616455,0.26146748661994934,0.5337841510772705,0.443704754114151,0.16995525360107422
accumulate,0.2557430863380432,0.25496381521224976,0.29911771416664124,0.16735000908374786,0.2201003134250641,0.20387937128543854,0.2147945612668991,0.2508537769317627,0.351604163646698,0.4445066750049591,0.18783392012119293
on,0.34226128458976746,0.3635730445384979,0.2988088130950928,0.12986846268177032,0.36199691891670227,0.3373977243900299,0.49057599902153015,0.19124102592468262,0.13644328713417053,0.24674655497074127,0.2714994251728058
the,0.42745697498321533,0.5823672413825989,0.5019711852073669,0.2835540175437927,0.4739971458911896,0.3075225353240967,0.4933079481124878,0.2408604919910431,0.25911182165145874,0.255447655916214,0.22068053483963013
surface,0.23580394685268402,0.29345643520355225,0.21474498510360718,0.13343486189842224,0.17463307082653046,0.1922260820865631,0.23000483214855194,0.4370925724506378,0.4019366502761841,0.4663347005844116,0.14613434672355652
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.24605005979537964,0.4464869201183319,0.3431144952774048,1.0000001192092896,0.253510445356369,0.22172565758228302,0.24281255900859833,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.3214244842529297,0.20273149013519287,0.5064792633056641,0.3395216166973114,0.6633074283599854,0.27659496665000916,0.23742187023162842,0.34108346700668335,0.20544172823429108
igneous,0.2625714838504791,0.24148809909820557,0.19196565449237823,0.17796014249324799,0.10823797434568405,0.16932736337184906,0.22172565758228302,0.28923091292381287,1.0,0.6034091711044312,0.18516020476818085
intrusions,0.2955773174762726,0.19283242523670197,0.24960120022296906,0.15867559611797333,0.18175987899303436,0.2228616327047348,0.24281255900859833,0.3225937485694885,0.6034091711044312,1.0,0.19610972702503204
enter,0.2278345823287964,0.2221214473247528,0.28961753845214844,0.12624092400074005,0.22679293155670166,0.13060227036476135,0.20928232371807098,0.18515901267528534,0.07111827284097672,0.16398170590400696,0.11047764122486115
from,0.2737620174884796,0.27355384826660156,0.31349602341651917,0.2524685263633728,0.314039945602417,0.3109167516231537,0.39760664105415344,0.12507463991641998,0.19451771676540375,0.21958418190479279,0.19969791173934937
below,0.23541416227817535,0.24241961538791656,0.1960298717021942,0.15302786231040955,0.24234074354171753,0.1431492269039154,0.29792070388793945,0.2646835744380951,0.28642770648002625,0.2649975121021271,0.17692236602306366
.,0.3567904531955719,0.4569662809371948,0.3817248046398163,0.13155406713485718,0.4726039469242096,0.3247973620891571,0.6812511086463928,0.2857663333415985,0.18411651253700256,0.2448778599500656,0.4130953550338745
