,what,theory,was,arrived,at,in,1811,that,presented,the,assumption,of,diatomic,molecules,?
in,0.30808621644973755,0.16955126821994781,0.45514053106307983,0.2573651373386383,0.4374977946281433,1.0,-0.04404795169830322,0.435920387506485,0.3047972023487091,0.6662389636039734,0.20557239651679993,0.5696388483047485,0.26021671295166016,0.2197362184524536,0.20430970191955566
1805,0.21602052450180054,0.31895050406455994,0.0956914871931076,0.09288045018911362,0.051947254687547684,0.13924241065979004,0.04988035559654236,0.2653696835041046,0.020151503384113312,0.07773033529520035,0.2862740457057953,0.1114761084318161,0.33514291048049927,0.2519952058792114,0.2008146047592163
",",0.3087472915649414,0.18095813691616058,0.45456063747406006,0.2745046317577362,0.38314947485923767,0.5201468467712402,0.10501284897327423,0.4137537479400635,0.28443270921707153,0.4933079481124878,0.2519069015979767,0.4946078956127167,0.28459563851356506,0.18639802932739258,0.31091248989105225
joseph,0.20494906604290009,0.1904205083847046,0.29824966192245483,0.21287885308265686,0.14801445603370667,0.12985283136367798,0.14714936912059784,0.1995091736316681,0.17164111137390137,0.2251148819923401,0.1917455494403839,0.20551647245883942,0.1523132026195526,0.13597777485847473,0.08421234786510468
louis,0.11922219395637512,0.1404360830783844,0.28063738346099854,0.10150780528783798,0.18360884487628937,0.2117311805486679,0.11067189276218414,0.1650059074163437,0.13381317257881165,0.22078758478164673,0.1881544291973114,0.22437675297260284,0.13443778455257416,0.14884892106056213,0.09819188714027405
gay-lussac,0.23380626738071442,0.2624940276145935,0.28226131200790405,0.16303597390651703,0.18542645871639252,0.28750157356262207,0.10602729022502899,0.264098584651947,0.08998782932758331,0.32430681586265564,0.25718238949775696,0.2800648808479309,0.296731173992157,0.2906918525695801,0.20833362638950348
and,0.31309178471565247,0.1765792816877365,0.3740963041782379,0.20594286918640137,0.3571503460407257,0.4954058527946472,0.017277298495173454,0.4731321930885315,0.26139622926712036,0.5171257257461548,0.19467933475971222,0.5116966962814331,0.26794034242630005,0.24837805330753326,0.20544172823429108
alexander,0.18212969601154327,0.1246691644191742,0.2708682119846344,0.16519741714000702,0.20869262516498566,0.18552854657173157,0.06883469223976135,0.147577166557312,0.19533051550388336,0.24375919997692108,0.14213310182094574,0.24921993911266327,0.12725718319416046,0.09472223371267319,0.120673269033432
von,0.18003655970096588,0.1678609549999237,0.2042967826128006,0.17069870233535767,0.11698677390813828,0.20116294920444489,0.07710104435682297,0.18165160715579987,0.16084003448486328,0.21817399561405182,0.14221832156181335,0.19899946451187134,0.16274359822273254,0.1702568084001541,0.13907472789287567
humboldt,0.18697886168956757,0.18801045417785645,0.1848861277103424,0.19927985966205597,0.19365611672401428,0.2509552538394928,-0.012575294822454453,0.179372176527977,0.1435454934835434,0.2799397110939026,0.11196611076593399,0.31566321849823,0.2333235740661621,0.16544868052005768,0.14452582597732544
showed,0.23458190262317657,0.28772151470184326,0.36072292923927307,0.30340325832366943,0.2282254695892334,0.3178827166557312,0.13401909172534943,0.3511183559894562,0.31200575828552246,0.3101346790790558,0.25350427627563477,0.31843405961990356,0.2740311920642853,0.27668389678001404,0.17389845848083496
that,0.6297725439071655,0.36183905601501465,0.33670201897621155,0.26205283403396606,0.3183255195617676,0.435920387506485,0.038969337940216064,1.0,0.30667775869369507,0.5473989248275757,0.4000380337238312,0.41498205065727234,0.3439471423625946,0.29100579023361206,0.32716336846351624
water,0.17456887662410736,0.14915134012699127,0.18750394880771637,0.2192646861076355,0.14569826424121857,0.23966141045093536,-0.09069038182497025,0.3326379060745239,0.1376763880252838,0.297396719455719,0.17845258116722107,0.2741255462169647,0.30003678798675537,0.3961057662963867,0.14731885492801666
is,0.28837618231773376,0.19279582798480988,0.5810302495956421,0.11152338981628418,0.25906258821487427,0.5394441485404968,-0.04106796905398369,0.3995479643344879,0.22408393025398254,0.5823672413825989,0.32664352655410767,0.4854315221309662,0.2860228419303894,0.20481984317302704,0.22961433231830597
formed,0.15451857447624207,0.15509110689163208,0.3009849190711975,0.24035990238189697,0.1652698516845703,0.27325257658958435,-0.004811514168977737,0.2487153261899948,0.15980401635169983,0.28813210129737854,0.09915927052497864,0.2871689796447754,0.20319150388240814,0.21831104159355164,0.09686966985464096
