,what,was,considered,responsible,for,the,black,death,as,well,as,the,epidemic,in,southern,china,?
the,0.42745697498321533,0.48711544275283813,0.4028765559196472,0.3305104374885559,0.4739971458911896,1.0,0.28466513752937317,0.21438048779964447,0.48381632566452026,0.42630070447921753,0.48381632566452026,1.0,0.23666009306907654,0.6662389636039734,0.3282862603664398,0.3110525608062744,0.22068053483963013
dominant,0.21783894300460815,0.19921712577342987,0.3758309781551361,0.24852654337882996,0.21235959231853485,0.3743239641189575,0.23395992815494537,0.1391839236021042,0.2225310355424881,0.23581859469413757,0.2225310355424881,0.3743239641189575,0.07175850123167038,0.26107057929039,0.2593620717525482,0.2049321085214615,0.07625212520360947
explanation,0.3953537344932556,0.16375088691711426,0.22041785717010498,0.21463441848754883,0.34229084849357605,0.261050283908844,0.09983141720294952,0.1183077022433281,0.28230196237564087,0.2687387466430664,0.28230196237564087,0.261050283908844,0.19032905995845795,0.16231738030910492,0.07216541469097137,0.1242506355047226,0.33794105052948
for,0.3017193675041199,0.3863949179649353,0.3214476406574249,0.35061514377593994,0.9999999403953552,0.4739971458911896,0.2090286761522293,0.19869662821292877,0.44774648547172546,0.46352139115333557,0.44774648547172546,0.4739971458911896,0.20840448141098022,0.4322226941585541,0.14496514201164246,0.15661011636257172,0.264628142118454
the,0.42745697498321533,0.48711544275283813,0.4028765559196472,0.3305104374885559,0.4739971458911896,1.0,0.28466513752937317,0.21438048779964447,0.48381632566452026,0.42630070447921753,0.48381632566452026,1.0,0.23666009306907654,0.6662389636039734,0.3282862603664398,0.3110525608062744,0.22068053483963013
black,0.12054000794887543,0.1419273465871811,0.15496376156806946,0.10914730280637741,0.2090286761522293,0.28466513752937317,1.0,0.1932034194469452,0.19815593957901,0.22336596250534058,0.19815593957901,0.28466513752937317,0.14684009552001953,0.20407067239284515,0.21673153340816498,0.14070409536361694,0.15159966051578522
death,0.2267695665359497,0.28516459465026855,0.16177546977996826,0.18564514815807343,0.19869662821292877,0.21438048779964447,0.1932034194469452,0.9999998807907104,0.19013920426368713,0.1337047964334488,0.19013920426368713,0.21438048779964447,0.2925157845020294,0.18743370473384857,0.17050045728683472,0.11805373430252075,0.21149799227714539
is,0.28837618231773376,0.5810302495956421,0.4096149802207947,0.24123810231685638,0.43268078565597534,0.5823672413825989,0.20887219905853271,0.17991963028907776,0.43216490745544434,0.33406564593315125,0.43216490745544434,0.5823672413825989,0.17961624264717102,0.5394441485404968,0.2419366091489792,0.1968986988067627,0.22961433231830597
the,0.42745697498321533,0.48711544275283813,0.4028765559196472,0.3305104374885559,0.4739971458911896,1.0,0.28466513752937317,0.21438048779964447,0.48381632566452026,0.42630070447921753,0.48381632566452026,1.0,0.23666009306907654,0.6662389636039734,0.3282862603664398,0.3110525608062744,0.22068053483963013
plague,0.22263506054878235,0.24312011897563934,0.14068233966827393,0.16935284435749054,0.1471073478460312,0.2537761330604553,0.2843790054321289,0.2767121493816376,0.1501513570547104,0.17589683830738068,0.1501513570547104,0.2537761330604553,0.5931054353713989,0.2488756626844406,0.13872724771499634,0.19400277733802795,0.11872942000627518
