,when,did,the,siege,of,antioch,take,place,?
after,0.5331412553787231,0.30330467224121094,0.4565047025680542,0.2656107544898987,0.3867455720901489,0.26203447580337524,0.32370224595069885,0.30468833446502686,0.16608688235282898
the,0.5091903209686279,0.34736719727516174,1.0,0.26454421877861023,0.733189046382904,0.2657717168331146,0.31620436906814575,0.4179787337779999,0.22068053483963013
successful,0.21302349865436554,0.32393038272857666,0.31354787945747375,0.17045919597148895,0.2304827868938446,0.1327357143163681,0.18912933766841888,0.09592024236917496,0.1132197454571724
siege,0.2066391110420227,0.09595377743244171,0.26454421877861023,1.0000001192092896,0.24839437007904053,0.3544851541519165,0.2677401006221771,0.19809965789318085,0.07257505506277084
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.24839437007904053,1.0,0.3254023492336273,0.29282352328300476,0.2685627043247223,0.1826142966747284
antioch,0.21115051209926605,0.15515094995498657,0.2657717168331146,0.3544851541519165,0.3254023492336273,0.9999999403953552,0.2046082466840744,0.18709953129291534,0.19155849516391754
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.23684100806713104,0.5696388483047485,0.22959110140800476,0.21975718438625336,0.38128477334976196,0.20430970191955566
1097,-0.11682046204805374,-0.018544809892773628,-0.07830093055963516,0.12186486274003983,-0.05682441592216492,0.2012304812669754,-0.04419250041246414,0.09856046736240387,0.25727367401123047
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.19137106835842133,0.4946078956127167,0.2626475393772125,0.2881867289543152,0.34068408608436584,0.31091248989105225
bohemond,0.1772441864013672,0.10368886590003967,0.29231345653533936,0.29939374327659607,0.3086721897125244,0.39514538645744324,0.2061976194381714,0.22375330328941345,0.16465221345424652
began,0.25673019886016846,0.4415510594844818,0.3059147596359253,0.15779894590377808,0.2330763041973114,0.15498840808868408,0.10897689312696457,0.1736765205860138,0.1370266228914261
carving,0.21539287269115448,0.08935612440109253,0.28037646412849426,0.23901529610157013,0.2920549809932709,0.2291221022605896,0.0883200541138649,0.16933083534240723,0.19270189106464386
out,0.45263928174972534,0.28413498401641846,0.39404502511024475,0.13820751011371613,0.34176841378211975,0.18319492042064667,0.2960454225540161,0.29128244519233704,0.22020699083805084
an,0.33026179671287537,0.22598257660865784,0.4207492768764496,0.17645853757858276,0.32280945777893066,0.1468651294708252,0.20120757818222046,0.20706063508987427,0.19793890416622162
independent,0.2464742362499237,0.22794869542121887,0.2927691638469696,0.11774896830320358,0.30508819222450256,0.19937950372695923,0.14243045449256897,0.12284168601036072,0.11902587860822678
principality,0.17171365022659302,0.11628171056509018,0.3162875175476074,0.2644409239292145,0.3633994162082672,0.3274623453617096,0.13579770922660828,0.19295379519462585,0.09416437894105911
around,0.39192935824394226,0.1658935695886612,0.40085816383361816,0.20677806437015533,0.3296394646167755,0.21462593972682953,0.2508328855037689,0.35144874453544617,0.14729668200016022
that,0.5860282182693481,0.47518548369407654,0.5473989248275757,0.16277021169662476,0.41498205065727234,0.17216260731220245,0.3651382029056549,0.32320237159729004,0.32716336846351624
city,0.19592350721359253,0.12266099452972412,0.35769423842430115,0.3119503855705261,0.32503411173820496,0.3045080602169037,0.181010439991951,0.32570505142211914,0.13423943519592285
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.13070990145206451,0.5352458953857422,0.24980632960796356,0.3045158088207245,0.2844318151473999,0.4130953550338745
