,approximately,how,many,british,drawings,are,included,in,the,v,&,a,collection,?
the,0.33137547969818115,0.33890387415885925,0.4335206151008606,0.28973397612571716,0.19117170572280884,0.40399202704429626,0.3825419843196869,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.25281965732574463,0.22068053483963013
collection,0.15115109086036682,0.11592676490545273,0.24966391921043396,0.15021207928657532,0.3887491524219513,0.22862131893634796,0.38600611686706543,0.23004686832427979,0.25281965732574463,0.11078842729330063,0.18749947845935822,0.24716788530349731,0.9999998807907104,0.20069393515586853
of,0.34526896476745605,0.2480744868516922,0.37253960967063904,0.23701532185077667,0.23873206973075867,0.39081433415412903,0.4391688108444214,0.5696388483047485,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.2915455996990204,0.1826142966747284
drawings,0.09114956110715866,0.26425811648368835,0.30470409989356995,0.10146314650774002,1.0000001192092896,0.24158638715744019,0.1661083698272705,0.18445944786071777,0.19117170572280884,0.08071447908878326,0.14873763918876648,0.15433108806610107,0.3887491524219513,0.15541397035121918
includes,0.2758536636829376,0.14845652878284454,0.2885901629924774,0.13157467544078827,0.2228592187166214,0.4409101605415344,0.6611447930335999,0.32460328936576843,0.3388250470161438,0.036025527864694595,0.27284300327301025,0.25086286664009094,0.3749653398990631,0.14011523127555847
over,0.41201671957969666,0.31446483731269836,0.47131630778312683,0.22151635587215424,0.20427492260932922,0.2778770923614502,0.22086726129055023,0.3605569899082184,0.39856547117233276,0.10378551483154297,0.191574826836586,0.32199642062187195,0.21212655305862427,0.25742942094802856
"10,000",-0.08985824137926102,-0.08011393249034882,-0.13516037166118622,-0.027689578011631966,-0.05514957383275032,-0.15303874015808105,-0.07308349758386612,-0.056806739419698715,-0.07657112926244736,0.1218033954501152,0.12590238451957703,-0.006958124227821827,0.000463886623037979,0.10342991352081299
british,0.09731001406908035,0.17564475536346436,0.23270447552204132,1.0,0.10146314650774002,0.12250547111034393,0.22127242386341095,0.23084034025669098,0.28973397612571716,0.1269635409116745,0.14896833896636963,0.1984395682811737,0.15021207928657532,0.09711728990077972
and,0.3228789269924164,0.33647966384887695,0.5296266674995422,0.325880765914917,0.26347166299819946,0.48576638102531433,0.3643590211868286,0.4954058527946472,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.2379438579082489,0.20544172823429108
"2,000",-0.16865739226341248,-0.008793028071522713,0.004640443250536919,0.09133931994438171,0.07774565368890762,-0.0922631248831749,0.02178903855383396,0.04807119444012642,0.06475643068552017,-0.030162058770656586,0.05775902420282364,0.04046183079481125,0.047761909663677216,-0.01396813802421093
