,the,v,&,a,has,the,world,'s,most,comprehensive,collection,of,sculptures,from,which,period,?
the,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.4177538752555847,1.0,0.33604270219802856,-0.01540423184633255,0.47635307908058167,0.24314838647842407,0.25281965732574463,0.733189046382904,0.2478773295879364,0.40150508284568787,0.6521818041801453,0.3125074505805969,0.22068053483963013
sculpture,0.23690329492092133,0.10977459698915482,0.07646507024765015,0.19645118713378906,0.1540418565273285,0.23690329492092133,0.12298917770385742,0.08444227278232574,0.20820656418800354,0.18289080262184143,0.3205874264240265,0.2746802270412445,0.935681939125061,0.18837447464466095,0.2241707295179367,0.2683025896549225,0.1571214497089386
collection,0.25281965732574463,0.11078842729330063,0.18749947845935822,0.24716788530349731,0.1728775054216385,0.25281965732574463,0.1882934868335724,0.003388406243175268,0.24239301681518555,0.29934996366500854,0.9999998807907104,0.2915455996990204,0.3520832657814026,0.2754948139190674,0.30199134349823,0.2219470590353012,0.20069393515586853
at,0.457212895154953,0.16234125196933746,0.12151119112968445,0.3095070421695709,0.2743658423423767,0.457212895154953,0.22825311124324799,-0.08481216430664062,0.22451047599315643,0.21724985539913177,0.15476343035697937,0.42558613419532776,0.22633567452430725,0.3447161316871643,0.3286694884300232,0.20980304479599,0.21978627145290375
the,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.4177538752555847,1.0,0.33604270219802856,-0.01540423184633255,0.47635307908058167,0.24314838647842407,0.25281965732574463,0.733189046382904,0.2478773295879364,0.40150508284568787,0.6521818041801453,0.3125074505805969,0.22068053483963013
v,0.18580520153045654,1.0,0.10860954970121384,0.21861357986927032,0.07488378137350082,0.18580520153045654,0.06254376471042633,-0.008823617361485958,0.14128151535987854,0.13318033516407013,0.11078842729330063,0.1655031144618988,0.12533864378929138,0.13980557024478912,0.1653934270143509,0.04659586772322655,0.28677162528038025
&,0.14992168545722961,0.10860954970121384,0.9999998807907104,0.07266713678836823,0.1216270700097084,0.14992168545722961,0.15911176800727844,-0.02038128487765789,0.10219087451696396,0.17649617791175842,0.18749947845935822,0.19900451600551605,0.058101896196603775,0.14301162958145142,0.16294614970684052,0.004337700083851814,0.12596383690834045
a,0.5829201340675354,0.21861357986927032,0.07266713678836823,1.0,0.4670248031616211,0.5829201340675354,0.22239887714385986,0.04866964742541313,0.3508910834789276,0.2721365988254547,0.24716788530349731,0.5052502155303955,0.20175547897815704,0.322764128446579,0.56894451379776,0.25205814838409424,0.23916715383529663
is,0.5823672413825989,0.16126930713653564,0.08384179323911667,0.658733606338501,0.5668748617172241,0.5823672413825989,0.24458536505699158,0.02396530658006668,0.41165053844451904,0.2837536931037903,0.21135231852531433,0.4854315221309662,0.2162380963563919,0.27355384826660156,0.4457404911518097,0.1838376820087433,0.22961433231830597
the,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.4177538752555847,1.0,0.33604270219802856,-0.01540423184633255,0.47635307908058167,0.24314838647842407,0.25281965732574463,0.733189046382904,0.2478773295879364,0.40150508284568787,0.6521818041801453,0.3125074505805969,0.22068053483963013
most,0.47635307908058167,0.14128151535987854,0.10219087451696396,0.3508910834789276,0.3426419198513031,0.47635307908058167,0.33157554268836975,0.024445664137601852,1.0,0.23976604640483856,0.24239301681518555,0.4178851246833801,0.25324392318725586,0.28580769896507263,0.4637843072414398,0.22773921489715576,0.2107497900724411
