,who,is,the,founder,of,modern,community,organizing,?
notable,0.23320899903774261,0.20672309398651123,0.20948168635368347,0.1807575523853302,0.1985267549753189,0.10472715646028519,0.19581878185272217,0.1802503764629364,0.31928157806396484
alumni,0.1722409725189209,0.13451172411441803,0.22524002194404602,0.2159617841243744,0.27771928906440735,0.11265353113412857,0.16208600997924805,0.22985877096652985,0.130934476852417
in,0.2792111933231354,0.5394441485404968,0.6662389636039734,0.1495717167854309,0.5696388483047485,0.29808807373046875,0.21838891506195068,0.2954694628715515,0.20430970191955566
the,0.3733934462070465,0.5823672413825989,1.0,0.24715600907802582,0.733189046382904,0.3283970355987549,0.2601400911808014,0.31940990686416626,0.22068053483963013
field,0.18098586797714233,0.17269009351730347,0.2105809599161148,0.17118136584758759,0.20410659909248352,0.18066924810409546,0.11280780285596848,0.1653822809457779,0.11279727518558502
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.25088685750961304,1.0,0.3482828736305237,0.2367410808801651,0.33243584632873535,0.1826142966747284
government,0.27194860577583313,0.20343491435050964,0.31798112392425537,0.08359511941671371,0.3475167155265808,0.15691961348056793,0.2959880530834198,0.3342318832874298,0.18851417303085327
and,0.41279885172843933,0.3859752118587494,0.5171257257461548,0.22729523479938507,0.5116966962814331,0.3277876079082489,0.2756517827510834,0.2579902708530426,0.20544172823429108
politics,0.24479417502880096,0.1504008024930954,0.2115192860364914,0.16204264760017395,0.24890418350696564,0.181492418050766,0.22288598120212555,0.2887658476829529,0.16389669477939606
include,0.15078489482402802,0.28863582015037537,0.2951717972755432,0.12647421658039093,0.37431180477142334,0.23768767714500427,0.13691382110118866,0.12372802942991257,0.14925788342952728
the,0.3733934462070465,0.5823672413825989,1.0,0.24715600907802582,0.733189046382904,0.3283970355987549,0.2601400911808014,0.31940990686416626,0.22068053483963013
founder,0.28227898478507996,0.1966208815574646,0.24715600907802582,1.0,0.25088685750961304,0.2531445026397705,0.1850023716688156,0.21802212297916412,0.13665783405303955
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.25088685750961304,1.0,0.3482828736305237,0.2367410808801651,0.33243584632873535,0.1826142966747284
modern,0.16937296092510223,0.24170172214508057,0.3283970355987549,0.2531445026397705,0.3482828736305237,0.9999999403953552,0.12720651924610138,0.14703281223773956,0.12475407868623734
community,0.245173841714859,0.26023760437965393,0.2601400911808014,0.1850023716688156,0.2367410808801651,0.12720651924610138,0.9999998807907104,0.24125999212265015,0.2380419820547104
organizing,0.24838198721408844,0.1200474351644516,0.31940990686416626,0.21802212297916412,0.33243584632873535,0.14703281223773956,0.24125999212265015,1.0,0.14538010954856873
saul,0.27181562781333923,0.1956031322479248,0.2076161801815033,0.19814854860305786,0.146748885512352,0.15583816170692444,0.09390484541654587,0.07514838874340057,0.19444164633750916
alinsky,0.1646464616060257,0.16128280758857727,0.2103627771139145,0.13079628348350525,0.15278692543506622,0.1284436136484146,0.11001216620206833,0.2012435793876648,0.13827551901340485
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.2440452128648758,0.4946078956127167,0.2557750344276428,0.2761111557483673,0.19626973569393158,0.31091248989105225
obama,0.17867976427078247,0.15654388070106506,0.21614792943000793,0.10142134875059128,0.17125636339187622,0.1673887073993683,0.21134446561336517,0.17196960747241974,0.2326410561800003
campaign,0.18840548396110535,0.1803998500108719,0.2755736708641052,0.1758078783750534,0.23278115689754486,0.10214243084192276,0.22255004942417145,0.3205524981021881,0.162482351064682
advisor,0.2548273205757141,0.13561934232711792,0.17215700447559357,0.30389586091041565,0.20297446846961975,0.11088446527719498,0.14727042615413666,0.2883917987346649,0.0939842164516449
and,0.41279885172843933,0.3859752118587494,0.5171257257461548,0.22729523479938507,0.5116966962814331,0.3277876079082489,0.2756517827510834,0.2579902708530426,0.20544172823429108
top,0.170939639210701,0.17102722823619843,0.31754136085510254,0.08630308508872986,0.20362378656864166,0.1326993703842163,0.08410517871379852,0.16607098281383514,0.17265194654464722
political,0.24357503652572632,0.15203817188739777,0.20477235317230225,0.2065836638212204,0.27319738268852234,0.1466539204120636,0.23433895409107208,0.35362866520881653,0.17130474746227264
advisor,0.2548273205757141,0.13561934232711792,0.17215700447559357,0.30389586091041565,0.20297446846961975,0.11088446527719498,0.14727042615413666,0.2883917987346649,0.0939842164516449
to,0.42656609416007996,0.42745086550712585,0.535392165184021,0.1436357945203781,0.41548454761505127,0.193939670920372,0.2863751947879791,0.28101980686187744,0.29463258385658264
president,0.22565458714962006,0.15443938970565796,0.24330610036849976,0.28440654277801514,0.21610750257968903,0.11030188947916031,0.12184327095746994,0.20134663581848145,0.14148259162902832
bill,0.19545355439186096,0.16088230907917023,0.24155211448669434,0.12152787297964096,0.17127205431461334,0.11465590447187424,0.11233270913362503,0.08377556502819061,0.12855131924152374
clinton,0.23197166621685028,0.16264407336711884,0.2572503685951233,0.10858158022165298,0.19718830287456512,0.10310600697994232,0.19617706537246704,0.13298524916172028,0.22146934270858765
david,0.26544609665870667,0.14622443914413452,0.2237231284379959,0.20098505914211273,0.191870778799057,0.14264941215515137,0.16646671295166016,0.09410359710454941,0.04158485680818558
axelrod,0.3303174078464508,0.18303130567073822,0.2941380441188812,0.3070542514324188,0.21228769421577454,0.17297722399234772,0.22804255783557892,0.26418933272361755,0.1963425576686859
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.2440452128648758,0.4946078956127167,0.2557750344276428,0.2761111557483673,0.19626973569393158,0.31091248989105225
