,turing,machines,are,commonly,employed,to,define,what,?
many,0.29928943514823914,0.3765847384929657,0.5655534863471985,0.3126119077205658,0.26761385798454285,0.40243685245513916,0.2533273696899414,0.36131182312965393,0.2124512493610382
types,0.13523605465888977,0.33757874369621277,0.4691450595855713,0.304052472114563,0.11197179555892944,0.20054484903812408,0.2905689477920532,0.25706279277801514,0.1285012811422348
of,0.2670239806175232,0.18757474422454834,0.39081433415412903,0.29300037026405334,0.22383978962898254,0.41548454761505127,0.23249299824237823,0.33290785551071167,0.1826142966747284
turing,1.0000001192092896,0.4426501989364624,0.17666763067245483,0.2264614999294281,0.2044999599456787,0.22095461189746857,0.2342454195022583,0.2806522250175476,0.1460462063550949
machines,0.4426501989364624,1.0,0.3025093972682953,0.22942689061164856,0.312368243932724,0.2695792019367218,0.18068814277648926,0.25512105226516724,0.17646311223506927
are,0.17666763067245483,0.3025093972682953,1.0,0.4038049578666687,0.21375364065170288,0.3504326641559601,0.260631263256073,0.29724663496017456,0.24591213464736938
used,0.24789999425411224,0.38918182253837585,0.3322218656539917,0.4782883822917938,0.4061715006828308,0.40058770775794983,0.2687920033931732,0.27546408772468567,0.22430120408535004
to,0.22095461189746857,0.2695792019367218,0.3504326641559601,0.2571072280406952,0.22010761499404907,1.0,0.27667900919914246,0.455847829580307,0.29463258385658264
define,0.2342454195022583,0.18068814277648926,0.260631263256073,0.2380037009716034,0.1742013692855835,0.27667900919914246,0.9999998807907104,0.37022438645362854,0.2999834418296814
complexity,0.41919052600860596,0.3310573697090149,0.27680158615112305,0.22764980792999268,0.22689984738826752,0.28336837887763977,0.35257187485694885,0.33747240900993347,0.23062916100025177
classes,0.17569570243358612,0.273708313703537,0.2913099527359009,0.1464134007692337,0.17733871936798096,0.2503586411476135,0.2195030152797699,0.20746955275535583,0.14397528767585754
",",0.2807261645793915,0.25857728719711304,0.4062570035457611,0.27548834681510925,0.24196110665798187,0.44245919585227966,0.18871451914310455,0.3087472915649414,0.31091248989105225
such,0.3163287043571472,0.3609457314014435,0.4654397666454315,0.35613489151000977,0.25103646516799927,0.2871878743171692,0.2917146384716034,0.23989605903625488,0.17851735651493073
as,0.24472561478614807,0.2588748633861542,0.3826591968536377,0.3544585108757019,0.289048969745636,0.42092081904411316,0.30605360865592957,0.31749409437179565,0.27043893933296204
