,what,player,did,the,field,problem,at,levi,'s,stadium,affect,for,a,field,goal,in,week,six,of,the,regular,season,?
concerns,0.345258891582489,0.12457840144634247,0.2600153982639313,0.23063859343528748,0.19200827181339264,0.49836575984954834,0.23139747977256775,0.12381898611783981,-0.06240003928542137,0.11287197470664978,0.2862209975719452,0.3266594707965851,0.17636512219905853,0.19200827181339264,0.18095673620700836,0.17420464754104614,0.3318279981613159,0.13156577944755554,0.18160763382911682,0.23063859343528748,0.1701686829328537,0.14182303845882416,0.3555730879306793
were,0.22298263013362885,0.1087723821401596,0.4162326455116272,0.3906462490558624,0.11600887030363083,0.15708354115486145,0.2947486639022827,0.19408033788204193,0.007088581565767527,0.15496990084648132,0.18298183381557465,0.33592689037323,0.17203083634376526,0.11600887030363083,0.16779333353042603,0.3815755248069763,0.19920413196086884,0.3701136112213135,0.34038281440734863,0.3906462490558624,0.22610516846179962,0.20231115818023682,0.17890112102031708
raised,0.12998360395431519,0.1738305389881134,0.199112206697464,0.2089216411113739,0.12314791977405548,0.11960773169994354,0.25713419914245605,0.17695719003677368,-0.08130557090044022,0.1773478239774704,0.10833141207695007,0.21450461447238922,0.2132149040699005,0.12314791977405548,0.09682738780975342,0.27927297353744507,0.1945217102766037,0.12805739045143127,0.21491092443466187,0.2089216411113739,0.11265846341848373,0.10007676482200623,0.1332261711359024
over,0.28007611632347107,0.13259460031986237,0.2535076439380646,0.39856547117233276,0.1666642725467682,0.22672554850578308,0.34008997678756714,0.0642046108841896,0.016215575858950615,0.18113315105438232,0.3083641827106476,0.3419422209262848,0.32199642062187195,0.1666642725467682,0.20290982723236084,0.3605569899082184,0.3267020881175995,0.3192518353462219,0.36136594414711,0.39856547117233276,0.3150045871734619,0.16469134390354156,0.25742942094802856
whether,0.5516265630722046,0.13411660492420197,0.30857425928115845,0.3211745023727417,0.18917080760002136,0.39455604553222656,0.1790502816438675,0.13261659443378448,0.03314889967441559,0.11717334389686584,0.3704226016998291,0.3131474554538727,0.38829004764556885,0.18917080760002136,0.18071489036083221,0.24645471572875977,0.1580413430929184,0.1724446564912796,0.24392437934875488,0.3211745023727417,0.19848401844501495,0.0899706706404686,0.3150278329849243
levi,0.13056978583335876,0.11439871788024902,0.1928999423980713,0.15661084651947021,0.1189475953578949,0.07623250037431717,0.1250557154417038,0.9999999403953552,0.0004511454317253083,0.16388165950775146,0.03810941427946091,0.16166196763515472,0.14748936891555786,0.1189475953578949,0.1729503720998764,0.13398480415344238,0.13201266527175903,0.07251260429620743,0.14476609230041504,0.15661084651947021,0.053704679012298584,0.09874927997589111,0.09252339601516724
's,0.02692362666130066,-0.02902853861451149,0.05069678649306297,-0.01540423184633255,0.07850787043571472,-0.02317415177822113,-0.08481216430664062,0.0004511454317253083,0.9999999403953552,0.06718146800994873,-0.006103307940065861,-0.07241261005401611,0.04866964742541313,0.07850787043571472,0.0441170372068882,-0.037580832839012146,-0.04274718090891838,0.06576314568519592,-0.03817026689648628,-0.01540423184633255,0.04493177309632301,0.06624794006347656,-0.023395681753754616
stadium,0.12456028908491135,0.25626233220100403,0.14029206335544586,0.21145665645599365,0.31675073504447937,0.09698256850242615,0.22218671441078186,0.16388165950775146,0.06718146800994873,1.0,0.11193501949310303,0.18393352627754211,0.14596018195152283,0.31675073504447937,0.21689622104167938,0.21361783146858215,0.17579275369644165,0.11898426711559296,0.17126937210559845,0.21145665645599365,0.0964258462190628,0.20871607959270477,0.07579939067363739
's,0.02692362666130066,-0.02902853861451149,0.05069678649306297,-0.01540423184633255,0.07850787043571472,-0.02317415177822113,-0.08481216430664062,0.0004511454317253083,0.9999999403953552,0.06718146800994873,-0.006103307940065861,-0.07241261005401611,0.04866964742541313,0.07850787043571472,0.0441170372068882,-0.037580832839012146,-0.04274718090891838,0.06576314568519592,-0.03817026689648628,-0.01540423184633255,0.04493177309632301,0.06624794006347656,-0.023395681753754616
field,0.1825202852487564,0.1546873152256012,0.16789361834526062,0.2105809599161148,1.0,0.15637436509132385,0.190035879611969,0.1189475953578949,0.07850787043571472,0.31675073504447937,0.18322373926639557,0.24342265725135803,0.2030690312385559,1.0,0.26796361804008484,0.20553018152713776,0.14238427579402924,0.12181156128644943,0.20410659909248352,0.2105809599161148,0.13018520176410675,0.16996100544929504,0.11279727518558502
