,combs,are,called,what,?
the,0.2017894983291626,0.40399202704429626,0.489897221326828,0.42745697498321533,0.22068053483963013
``,0.0418117493391037,0.12624181807041168,0.00907047651708126,0.008517155423760414,0.0685480609536171
combs,1.0,0.23614484071731567,0.1902315467596054,0.16265150904655457,0.24039559066295624
'',0.07267970591783524,0.0263817198574543,0.021102847531437874,0.08143015950918198,0.018684765323996544
(,0.2870709300041199,0.23263892531394958,0.2546432614326477,0.2411840260028839,0.40561532974243164
also,0.27642637491226196,0.4565894305706024,0.5140911936759949,0.42747777700424194,0.21848613023757935
called,0.1902315467596054,0.3676711618900299,1.0,0.3235960602760315,0.18963319063186646
``,0.0418117493391037,0.12624181807041168,0.00907047651708126,0.008517155423760414,0.0685480609536171
ctenes,0.1984841227531433,0.3391329050064087,0.33143696188926697,0.2761536240577698,0.17213167250156403
'',0.07267970591783524,0.0263817198574543,0.021102847531437874,0.08143015950918198,0.018684765323996544
or,0.2195664495229721,0.5374364256858826,0.4293559193611145,0.33867141604423523,0.32389625906944275
``,0.0418117493391037,0.12624181807041168,0.00907047651708126,0.008517155423760414,0.0685480609536171
comb,0.6519078612327576,0.29309141635894775,0.2929801940917969,0.20374168455600739,0.2510223686695099
plates,0.20784111320972443,0.2412344068288803,0.22001619637012482,0.18082769215106964,0.15258446335792542
'',0.07267970591783524,0.0263817198574543,0.021102847531437874,0.08143015950918198,0.018684765323996544
),0.3028028905391693,0.2373749315738678,0.273923397064209,0.26259949803352356,0.42300865054130554
run,0.16074134409427643,0.2580355107784271,0.2177579253911972,0.2294815480709076,0.17904110252857208
across,0.07491343468427658,0.24150612950325012,0.19607765972614288,0.24809791147708893,0.17034576833248138
each,0.16562743484973907,0.39730963110923767,0.3405378758907318,0.3353266417980194,0.21173812448978424
row,0.13314345479011536,0.1476336270570755,0.11727231740951538,0.19005049765110016,0.11000081151723862
",",0.34822797775268555,0.4062570035457611,0.26549121737480164,0.3087472915649414,0.31091248989105225
and,0.34910082817077637,0.48576638102531433,0.3251761794090271,0.31309178471565247,0.20544172823429108
each,0.16562743484973907,0.39730963110923767,0.3405378758907318,0.3353266417980194,0.21173812448978424
consists,0.1279069483280182,0.43408724665641785,0.3447881042957306,0.11367427557706833,-0.004641483072191477
of,0.18958649039268494,0.39081433415412903,0.4222904443740845,0.33290785551071167,0.1826142966747284
thousands,0.15659832954406738,0.3605367839336395,0.16671867668628693,0.2399357110261917,0.15520451962947845
of,0.18958649039268494,0.39081433415412903,0.4222904443740845,0.33290785551071167,0.1826142966747284
unusually,0.15927289426326752,0.3999168574810028,0.3725331723690033,0.24332080781459808,0.14397919178009033
long,0.24942730367183685,0.23909839987754822,0.2144252210855484,0.28276848793029785,0.19699987769126892
cilia,0.23325201869010925,0.29726603627204895,0.19652394950389862,0.17923450469970703,0.15204964578151703
",",0.34822797775268555,0.4062570035457611,0.26549121737480164,0.3087472915649414,0.31091248989105225
up,0.2939288914203644,0.32151925563812256,0.25133395195007324,0.28591108322143555,0.1819818764925003
to,0.17389018833637238,0.3504326641559601,0.2987143397331238,0.455847829580307,0.29463258385658264
2,-0.010004639625549316,-0.028399748727679253,-0.033458780497312546,-0.049862053245306015,0.001977203879505396
millimeters,0.28786009550094604,0.30345025658607483,0.276773601770401,0.24447742104530334,0.17141805589199066
(,0.2870709300041199,0.23263892531394958,0.2546432614326477,0.2411840260028839,0.40561532974243164
0.079,-0.054388146847486496,0.0470920093357563,-0.08424344658851624,0.14655208587646484,0.09281547367572784
in,0.18868955969810486,0.3841303884983063,0.40847352147102356,0.30808621644973755,0.20430970191955566
),0.3028028905391693,0.2373749315738678,0.273923397064209,0.26259949803352356,0.42300865054130554
.,0.32467591762542725,0.3452940285205841,0.300344854593277,0.3567904531955719,0.4130953550338745
