,what,is,preschool,required,for,?
preschool,0.2599947154521942,0.23256751894950867,1.0000001192092896,0.18643216788768768,0.23049373924732208,0.18582090735435486
",",0.3087472915649414,0.4691906273365021,0.245544895529747,0.22653338313102722,0.4464869201183319,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.24943125247955322,0.33025646209716797,0.44095608592033386,0.25814583897590637
targets,0.1900707483291626,0.2138451337814331,0.2348991334438324,0.1891535520553589,0.2587404251098633,0.17795707285404205
children,0.22469459474086761,0.15495672821998596,0.4596373438835144,0.09871503710746765,0.19934585690498352,0.21788206696510315
from,0.2737620174884796,0.27355384826660156,0.18598352372646332,0.1592145413160324,0.314039945602417,0.19969791173934937
age,0.1895245760679245,0.17962174117565155,0.2564449608325958,0.15264266729354858,0.23129768669605255,0.16859300434589386
three,0.24888746440410614,0.23072560131549835,0.1888115257024765,0.21440739929676056,0.3032672107219696,0.20928427577018738
to,0.455847829580307,0.42745086550712585,0.27896252274513245,0.3613971471786499,0.4451248347759247,0.29463258385658264
five,0.18688078224658966,0.22980348765850067,0.20415033400058746,0.19708982110023499,0.30701300501823425,0.18342848122119904
",",0.3087472915649414,0.4691906273365021,0.245544895529747,0.22653338313102722,0.4464869201183319,0.31091248989105225
is,0.28837618231773376,1.0,0.23256751894950867,0.21426478028297424,0.43268078565597534,0.22961433231830597
an,0.2821882665157318,0.4654068350791931,0.19869190454483032,0.22291910648345947,0.3236706852912903,0.19793890416622162
integral,0.25464048981666565,0.25060150027275085,0.15870770812034607,0.26755961775779724,0.21828211843967438,0.1463361233472824
component,0.19980107247829437,0.327473908662796,0.15914832055568695,0.3127354085445404,0.23877555131912231,0.14409896731376648
of,0.33290785551071167,0.4854315221309662,0.18266068398952484,0.26183071732521057,0.4185989499092102,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.221901074051857,0.27848219871520996,0.4739971458911896,0.22068053483963013
education,0.19940856099128723,0.18778188526630402,0.4657595753669739,0.2273806780576706,0.27265021204948425,0.18067774176597595
system,0.23557309806346893,0.2282046526670456,0.14865072071552277,0.3249019384384155,0.2630598843097687,0.15556083619594574
and,0.31309178471565247,0.3859752118587494,0.2497885525226593,0.25104308128356934,0.5064792633056641,0.20544172823429108
is,0.28837618231773376,1.0,0.23256751894950867,0.21426478028297424,0.43268078565597534,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.26152539253234863,0.2891559302806854,0.44038116931915283,0.23916715383529663
key,0.2270265817642212,0.23925143480300903,0.13666197657585144,0.2141537368297577,0.23655444383621216,0.18782930076122284
requirement,0.3455283045768738,0.2691333293914795,0.20839619636535645,0.6775131821632385,0.3727163076400757,0.3024540841579437
for,0.3017193675041199,0.43268078565597534,0.23049373924732208,0.33989444375038147,0.9999999403953552,0.264628142118454
admission,0.29061800241470337,0.21989640593528748,0.40364357829093933,0.38470953702926636,0.27035728096961975,0.19312289357185364
to,0.455847829580307,0.42745086550712585,0.27896252274513245,0.3613971471786499,0.4451248347759247,0.29463258385658264
standard,0.22809998691082,0.23514990508556366,0.17668087780475616,0.3943347930908203,0.3173719346523285,0.17029257118701935
one,0.376489520072937,0.4544198513031006,0.2391320765018463,0.2598664164543152,0.384836345911026,0.2673267424106598
(,0.2411840260028839,0.35393038392066956,0.16481421887874603,0.22542260587215424,0.3357032239437103,0.40561532974243164
first,0.28086137771606445,0.30889374017715454,0.2221665233373642,0.24691946804523468,0.3800288736820221,0.18701928853988647
grade,0.20697078108787537,0.18658840656280518,0.3898729383945465,0.18549895286560059,0.20654825866222382,0.12344983220100403
),0.26259949803352356,0.37732169032096863,0.17665976285934448,0.245443657040596,0.3639558255672455,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.26025423407554626,0.2724599838256836,0.4726039469242096,0.4130953550338745
