,what,agreement,was,made,for,trade,with,natives,and,british,?
he,0.3114890456199646,0.2570803165435791,0.5410010814666748,0.27847591042518616,0.4540175199508667,0.2100159227848053,0.2845253646373749,0.08939109742641449,0.45427167415618896,0.20335537195205688,0.2089974731206894
completed,0.19063329696655273,0.1946287602186203,0.3156263828277588,0.24747972190380096,0.252206027507782,0.18601398169994354,0.22860164940357208,0.04227825254201889,0.24284477531909943,0.10557474941015244,0.08272653818130493
the,0.42745697498321533,0.2490699142217636,0.48711544275283813,0.3885267674922943,0.4739971458911896,0.2681608200073242,0.4223487675189972,0.2204582393169403,0.5171257257461548,0.28973397612571716,0.22068053483963013
1752,0.06873507797718048,0.13174310326576233,0.08384682983160019,0.03810533508658409,0.09331372380256653,0.09097754955291748,0.10884901136159897,0.21823972463607788,0.08033834397792816,0.11189160495996475,0.1778085082769394
treaty,0.17237819731235504,0.6315374374389648,0.2409621626138687,0.16611096262931824,0.1456756442785263,0.34863007068634033,0.17950300872325897,0.2845987379550934,0.1592116355895996,0.18525288999080658,0.1174844279885292
of,0.33290785551071167,0.21259461343288422,0.4069072902202606,0.33167365193367004,0.4185989499092102,0.2310105711221695,0.41827285289764404,0.17872627079486847,0.5116966962814331,0.23701532185077667,0.1826142966747284
logstown,0.17280608415603638,0.1084388941526413,0.2794228494167328,0.15645265579223633,0.20199158787727356,0.21420951187610626,0.15206089615821838,0.21076448261737823,0.26477086544036865,0.2545379400253296,0.2342851161956787
in,0.30808621644973755,0.20350398123264313,0.45514053106307983,0.25271502137184143,0.4322226941585541,0.23862801492214203,0.4080928862094879,0.1702413111925125,0.4954058527946472,0.23084034025669098,0.20430970191955566
which,0.5261979103088379,0.24597544968128204,0.2830964922904968,0.3407467305660248,0.44095608592033386,0.22325871884822845,0.46403205394744873,0.16187630593776703,0.506277859210968,0.2002234309911728,0.25814583897590637
the,0.42745697498321533,0.2490699142217636,0.48711544275283813,0.3885267674922943,0.4739971458911896,0.2681608200073242,0.4223487675189972,0.2204582393169403,0.5171257257461548,0.28973397612571716,0.22068053483963013
local,0.18981902301311493,0.13879729807376862,0.11715790629386902,0.12636278569698334,0.23619583249092102,0.18519392609596252,0.16601361334323883,0.1833738088607788,0.2468787580728531,0.17293424904346466,0.15022775530815125
indians,0.2342250943183899,0.18466512858867645,0.207571879029274,0.15215913951396942,0.2301066368818283,0.25961732864379883,0.1875048577785492,0.4705735743045807,0.2537406086921692,0.23816223442554474,0.13372346758842468
",",0.3087472915649414,0.23435252904891968,0.45456063747406006,0.32507219910621643,0.4464869201183319,0.1945054978132248,0.4120737314224243,0.24557791650295258,0.6633074283599854,0.25734075903892517,0.31091248989105225
through,0.23167094588279724,0.15969470143318176,0.21752823889255524,0.23296959698200226,0.3172857463359833,0.21775344014167786,0.26801666617393494,0.12953512370586395,0.3666759729385376,0.09790610522031784,0.16913433372974396
their,0.35142919421195984,0.19614875316619873,0.2396296262741089,0.2909255027770996,0.3406745493412018,0.20305249094963074,0.4258328378200531,0.21241700649261475,0.45114588737487793,0.19777938723564148,0.1898253709077835
``,0.008517155423760414,0.1097528263926506,-0.012679691426455975,-0.0342245027422905,0.01270448137074709,-0.018402187153697014,0.08974023163318634,0.08698620647192001,0.036644238978624344,0.01002498995512724,0.0685480609536171
half-king,0.35279056429862976,0.21387845277786255,0.3069092929363251,0.27221834659576416,0.3808564245700836,0.22285351157188416,0.39101195335388184,0.2425086796283722,0.4189487099647522,0.19917261600494385,0.2437925785779953
'',0.08143015950918198,0.05314817652106285,0.04456103965640068,0.014119047671556473,-0.04479556903243065,0.009646755643188953,0.07907696813344955,-0.0670504942536354,0.021612688899040222,0.042234957218170166,0.018684765323996544
tanacharison,0.2619406580924988,0.19898121058940887,0.2882919907569885,0.0918312817811966,0.23790843784809113,0.18187104165554047,0.20097622275352478,0.261797696352005,0.30397987365722656,0.24991554021835327,0.20297423005104065
