,what,is,retrograde,signaling,?
all,0.41981086134910583,0.2553904056549072,0.25677549839019775,0.18976697325706482,0.29575422406196594
these,0.4164220690727234,0.2498808652162552,0.2835052013397217,0.29207178950309753,0.2571668326854706
molecules,0.2143162339925766,0.20481984317302704,0.36210086941719055,0.43847325444221497,0.17409995198249817
initiate,0.27222952246665955,0.13254444301128387,0.15160013735294342,0.26760587096214294,0.22985298931598663
retrograde,0.2042669951915741,0.23785825073719025,1.0,0.3056904375553131,0.138086199760437
signaling—signals,0.2479443997144699,0.2223425805568695,0.34811341762542725,0.9148476123809814,0.11596086621284485
from,0.2737620174884796,0.27355384826660156,0.2531757652759552,0.2076083868741989,0.19969791173934937
the,0.42745697498321533,0.5823672413825989,0.2415434867143631,0.3361169397830963,0.22068053483963013
chloroplast,0.23505516350269318,0.20798198878765106,0.30487725138664246,0.3171656131744385,0.12532055377960205
that,0.6297725439071655,0.3995479643344879,0.2777959704399109,0.2637414038181305,0.32716336846351624
regulate,0.2151658535003662,0.18022339046001434,0.17857590317726135,0.38596898317337036,0.1759853959083557
gene,0.13440482318401337,0.17336677014827728,0.14677435159683228,0.301281213760376,0.18118205666542053
expression,0.258706271648407,0.24893754720687866,0.26150521636009216,0.335610032081604,0.17946012318134308
in,0.30808621644973755,0.5394441485404968,0.21242043375968933,0.22937773168087006,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.2415434867143631,0.3361169397830963,0.22068053483963013
nucleus,0.2337055206298828,0.2536528408527374,0.4320087432861328,0.2919072210788727,0.1512926071882248
.,0.3567904531955719,0.4569662809371948,0.17113783955574036,0.2554301619529724,0.4130953550338745
