,how,many,cylinders,does,the,energiprojekt,ab,engine,have,?
it,0.36714982986450195,0.39615920186042786,0.21777039766311646,0.34188351035118103,0.6251175999641418,0.26386934518814087,0.1265791654586792,0.26840072870254517,0.40974161028862,0.25732165575027466
is,0.22544461488723755,0.2649032473564148,0.19109757244586945,0.4403602182865143,0.5823672413825989,0.2754059135913849,0.13701391220092773,0.18856970965862274,0.3613572418689728,0.22961433231830597
a,0.29312583804130554,0.2872205972671509,0.2649710178375244,0.38201746344566345,0.5829201340675354,0.35288169980049133,0.1437591314315796,0.24768835306167603,0.338716596364975,0.23916715383529663
single-step,0.251566082239151,0.24701319634914398,0.21086488664150238,0.21285270154476166,0.2719062864780426,0.40595248341560364,0.18880721926689148,0.1775062084197998,0.26063162088394165,0.2778633236885071
",",0.22659391164779663,0.40610817074775696,0.1583022028207779,0.28617382049560547,0.4933079481124878,0.3473548889160156,0.2635496258735657,0.19789794087409973,0.3541618287563324,0.31091248989105225
5-cylinder,0.1246509924530983,0.15560422837734222,0.9082207679748535,0.161091148853302,0.21013498306274414,0.19576618075370789,0.22227849066257477,0.49493223428726196,0.20390278100967407,0.12647278606891632
engine,0.15099172294139862,0.16697712242603302,0.458169162273407,0.1364237666130066,0.21651263535022736,0.2484273910522461,0.1639074832201004,1.0,0.1709139198064804,0.17739196121692657
(,0.1676948219537735,0.1455259770154953,0.08332233130931854,0.2728188931941986,0.33289089798927307,0.29587435722351074,0.2610151469707489,0.11642640084028244,0.23072676360607147,0.40561532974243164
no,0.2603875398635864,0.27654168009757996,0.17534811794757843,0.29778221249580383,0.3461136817932129,0.21978531777858734,0.14261986315250397,0.16175004839897156,0.38691386580467224,0.32165053486824036
compound,0.23700924217700958,0.20571978390216827,0.3443154990673065,0.18499062955379486,0.18848907947540283,0.2936970591545105,0.14370155334472656,0.25325000286102295,0.25392287969589233,0.19502747058868408
),0.17939934134483337,0.16602720320224762,0.10341814905405045,0.2575884759426117,0.3456730246543884,0.3044908046722412,0.26529037952423096,0.12827058136463165,0.22866283357143402,0.42300865054130554
with,0.3525622487068176,0.35744401812553406,0.249330535531044,0.26186925172805786,0.4223487675189972,0.2961669862270355,0.09226340055465698,0.1990211457014084,0.48046383261680603,0.2433311939239502
superheated,0.28964856266975403,0.2509363293647766,0.3950980305671692,0.28354597091674805,0.27916091680526733,0.3113618791103363,0.1192527711391449,0.36113423109054565,0.3022097945213318,0.17004865407943726
steam,0.13796336948871613,0.1984996646642685,0.370393842458725,0.1864793747663498,0.23105813562870026,0.22548584640026093,0.14790964126586914,0.4921848475933075,0.15978071093559265,0.113324373960495
and,0.33647966384887695,0.5296266674995422,0.22631578147411346,0.3461615741252899,0.5171257257461548,0.2877015471458435,0.1269059032201767,0.18437977135181427,0.4711785912513733,0.20544172823429108
consumes,0.27358776330947876,0.2473030537366867,0.258284330368042,0.2928370237350464,0.2604540288448334,0.30316364765167236,0.06128179654479027,0.2745721936225891,0.2545875012874603,0.20505772531032562
approx,0.14911328256130219,0.13070392608642578,0.17653925716876984,0.15352921187877655,0.16406011581420898,0.28212031722068787,0.17623335123062134,0.12205184251070023,0.15596935153007507,0.20296265184879303
.,0.3287222981452942,0.3974229395389557,0.23770886659622192,0.3022993505001068,0.5934505462646484,0.3307434916496277,0.28026220202445984,0.21814921498298645,0.41614407300949097,0.4130953550338745
