,when,was,manning,picked,#,1,in,the,nfl,draft,?
manning,0.23698855936527252,0.2607507109642029,0.9999998807907104,0.2566511332988739,0.13881531357765198,-0.2721913456916809,0.22345924377441406,0.27058160305023193,0.41851508617401123,0.29614222049713135,0.15856626629829407
was,0.37326499819755554,1.0000001192092896,0.2607507109642029,0.26922017335891724,0.15975844860076904,-0.2275921255350113,0.45514053106307983,0.48711544275283813,0.20145657658576965,0.22196774184703827,0.18412111699581146
the,0.5091903209686279,0.48711544275283813,0.27058160305023193,0.32128480076789856,0.24127686023712158,-0.1554475575685501,0.6662389636039734,1.0,0.15305201709270477,0.2136591076850891,0.22068053483963013
#,0.11634358018636703,0.15975844860076904,0.13881531357765198,0.11242091655731201,1.0,-0.1453167200088501,0.15086837112903595,0.24127686023712158,0.10203789919614792,0.1326262205839157,0.23921507596969604
1,-0.2683585286140442,-0.2275921255350113,-0.2721913456916809,-0.24535828828811646,-0.1453167200088501,1.0,-0.10660158097743988,-0.1554475575685501,-0.24205392599105835,-0.2553935647010803,-0.249979168176651
selection,0.19198103249073029,0.18640951812267303,0.20637711882591248,0.2885422110557556,0.0636182576417923,-0.2778385877609253,0.20567981898784637,0.26173123717308044,0.26464515924453735,0.28765392303466797,0.24161170423030853
of,0.3757161796092987,0.4069072902202606,0.20024974644184113,0.29296234250068665,0.21342608332633972,-0.09473495930433273,0.5696388483047485,0.733189046382904,0.1524115800857544,0.1597527265548706,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,0.27058160305023193,0.32128480076789856,0.24127686023712158,-0.1554475575685501,0.6662389636039734,1.0,0.15305201709270477,0.2136591076850891,0.22068053483963013
1998,-0.02254817821085453,0.04920116811990738,-0.04177447780966759,-0.0193446334451437,0.008513616397976875,-0.10245532542467117,-0.07160314172506332,-0.047468025237321854,-0.06900740414857864,0.03720373287796974,0.11714459210634232
nfl,0.13304822146892548,0.20145657658576965,0.41851508617401123,0.2857164442539215,0.10203789919614792,-0.24205392599105835,0.12599408626556396,0.15305201709270477,1.0,0.4675278961658478,0.10610254108905792
draft,0.22716832160949707,0.22196774184703827,0.29614222049713135,0.43280717730522156,0.1326262205839157,-0.2553935647010803,0.19735127687454224,0.2136591076850891,0.4675278961658478,0.9999999403953552,0.1941390335559845
",",0.36674630641937256,0.45456063747406006,0.30921146273612976,0.22014860808849335,0.28369632363319397,-0.15742997825145721,0.5201468467712402,0.4933079481124878,0.18939071893692017,0.2209516018629074,0.31091248989105225
while,0.548916757106781,0.3253832161426544,0.27035990357398987,0.2746375799179077,0.12698794901371002,-0.22627979516983032,0.3399278521537781,0.39804592728614807,0.11480259895324707,0.19970649480819702,0.21076419949531555
newton,0.16569024324417114,0.25264593958854675,0.31537702679634094,0.11323507875204086,0.16112487018108368,-0.21369890868663788,0.23639483749866486,0.1876603662967682,0.2505591809749603,0.19785626232624054,0.09645649790763855
was,0.37326499819755554,1.0000001192092896,0.2607507109642029,0.26922017335891724,0.15975844860076904,-0.2275921255350113,0.45514053106307983,0.48711544275283813,0.20145657658576965,0.22196774184703827,0.18412111699581146
picked,0.3510895371437073,0.26922017335891724,0.2566511332988739,0.9999999403953552,0.11242091655731201,-0.24535828828811646,0.17203427851200104,0.32128480076789856,0.2857164442539215,0.43280717730522156,0.11181110143661499
first,0.4282494783401489,0.5022147297859192,0.28783273696899414,0.2950030267238617,0.14546403288841248,-0.26829156279563904,0.4127444326877594,0.49448907375335693,0.15461091697216034,0.23240342736244202,0.18701928853988647
in,0.4431333839893341,0.45514053106307983,0.22345924377441406,0.17203427851200104,0.15086837112903595,-0.10660158097743988,1.0,0.6662389636039734,0.12599408626556396,0.19735127687454224,0.20430970191955566
2011,0.07140792906284332,-0.022202642634510994,-0.02558758296072483,-0.013755761086940765,0.011008716188371181,0.027505112811923027,0.08290185779333115,0.07811610400676727,0.039159614592790604,-0.0938880667090416,0.005212190095335245
.,0.475719153881073,0.40146201848983765,0.2937074899673462,0.2571806311607361,0.21395067870616913,-0.15870751440525055,0.5591574311256409,0.5934505462646484,0.1964210718870163,0.22211715579032898,0.4130953550338745
