,what,forces,should,serve,as,a,brake,on,wealth,concentration,?
economist,0.16227665543556213,0.20356452465057373,0.14910678565502167,0.14285947382450104,0.16131366789340973,0.18651142716407776,0.13934697210788727,0.15839412808418274,0.32817479968070984,0.12687845528125763,0.15311987698078156
joseph,0.20494906604290009,0.1535995751619339,0.21708375215530396,0.06540562957525253,0.1927168071269989,0.14221104979515076,0.08312880247831345,0.17754994332790375,0.19293993711471558,0.17355825006961823,0.08421234786510468
stiglitz,0.1559118777513504,0.19625288248062134,0.20177678763866425,0.13181675970554352,0.28447026014328003,0.2103291153907776,0.09255027025938034,0.230573832988739,0.20463240146636963,0.26945093274116516,0.18573977053165436
argues,0.3211183547973633,0.19452136754989624,0.24935844540596008,0.11212337017059326,0.19524139165878296,0.21543139219284058,0.11610215157270432,0.17911744117736816,0.34192955493927,0.15066535770893097,0.20733967423439026
that,0.6297725439071655,0.24199660122394562,0.4588061273097992,0.2641109228134155,0.4735107421875,0.47537946701049805,0.23756003379821777,0.42569106817245483,0.256238728761673,0.2594655752182007,0.32716336846351624
rather,0.3923804461956024,0.15360070765018463,0.38420456647872925,0.2975080609321594,0.38414403796195984,0.4061340093612671,0.18552827835083008,0.2960607409477234,0.25228798389434814,0.21545907855033875,0.3053998053073883
than,0.29388150572776794,0.14093171060085297,0.30810293555259705,0.3054537773132324,0.40532299876213074,0.3126874566078186,0.15443982183933258,0.2864885926246643,0.22315660119056702,0.27734577655792236,0.24917294085025787
explaining,0.48103222250938416,0.16687877476215363,0.402621865272522,0.2373107671737671,0.3015032112598419,0.3281087875366211,0.20009061694145203,0.3003038763999939,0.23861131072044373,0.24007362127304077,0.4030202329158783
concentrations,0.21233819425106049,0.2551237642765045,0.21576707065105438,0.22465410828590393,0.25912073254585266,0.2025378793478012,0.20531035959720612,0.21546733379364014,0.21005785465240479,0.9552719593048096,0.12325159460306168
of,0.33290785551071167,0.3090144991874695,0.23792634904384613,0.2656401991844177,0.3886612355709076,0.5052502155303955,0.1285759061574936,0.3966929316520691,0.27235376834869385,0.2754148840904236,0.1826142966747284
wealth,0.2415573000907898,0.21563923358917236,0.2105938345193863,0.13688524067401886,0.2313503623008728,0.20101723074913025,0.09610532224178314,0.1212598904967308,0.9999998807907104,0.19168125092983246,0.1624586433172226
and,0.31309178471565247,0.26456665992736816,0.27632346749305725,0.27672067284584045,0.49487000703811646,0.3739250600337982,0.1575475037097931,0.4077630043029785,0.29316192865371704,0.29947298765182495,0.20544172823429108
income,0.21837803721427917,0.13863682746887207,0.2029237002134323,0.17392687499523163,0.1530616581439972,0.2084353119134903,0.18831489980220795,0.12938405573368073,0.46220239996910095,0.19138839840888977,0.14935168623924255
",",0.3087472915649414,0.2544684410095215,0.2706286907196045,0.2385157197713852,0.48816442489624023,0.427140474319458,0.13499361276626587,0.49057599902153015,0.22482609748840332,0.2576465308666229,0.31091248989105225
