,what,major,event,u.s.,occurred,that,made,the,bbc,delay,the,broadcast,?
it,0.45803478360176086,0.22329258918762207,0.3087007403373718,0.011612125672399998,0.20880642533302307,0.5921133160591125,0.3944323658943176,0.6251175999641418,0.18502579629421234,0.2143334448337555,0.6251175999641418,0.24714356660842896,0.25732165575027466
has,0.20338068902492523,0.2243996560573578,0.16105224192142487,0.014947312884032726,0.19921322166919708,0.41272613406181335,0.27942559123039246,0.4177538752555847,0.1988421231508255,0.13389690220355988,0.4177538752555847,0.17970146238803864,0.15994466841220856
been,0.2567804455757141,0.20505735278129578,0.214043527841568,0.007175118196755648,0.3598586618900299,0.4152003228664398,0.27026844024658203,0.3563927710056305,0.2207382470369339,0.23748835921287537,0.3563927710056305,0.18831424415111542,0.24354910850524902
claimed,0.2667301297187805,0.07508476823568344,0.22987134754657745,-0.002308482304215431,0.3340260982513428,0.38060468435287476,0.22700515389442444,0.2761930227279663,0.21697360277175903,0.1657322347164154,0.2761930227279663,0.19262492656707764,0.2083493024110794
that,0.6297725439071655,0.2570328712463379,0.3453879952430725,0.006652553100138903,0.2822191119194031,1.0,0.3437977731227875,0.5473989248275757,0.22032664716243744,0.34386560320854187,0.5473989248275757,0.267183780670166,0.32716336846351624
the,0.42745697498321533,0.31775903701782227,0.2960145175457001,0.06592652946710587,0.3372073173522949,0.5473989248275757,0.3885267674922943,1.0,0.2735401690006256,0.2607918381690979,1.0,0.2713715434074402,0.22068053483963013
transmission,0.21502315998077393,0.13547813892364502,0.14081645011901855,-0.06412231177091599,0.165436252951622,0.23073406517505646,0.12847992777824402,0.26124435663223267,0.2675427496433258,0.289958655834198,0.26124435663223267,0.327177494764328,0.16372337937355042
of,0.33290785551071167,0.2641255557537079,0.19878064095973969,0.011562774889171124,0.31296631693840027,0.41498205065727234,0.33167365193367004,0.733189046382904,0.1797877550125122,0.19660267233848572,0.733189046382904,0.20155203342437744,0.1826142966747284
the,0.42745697498321533,0.31775903701782227,0.2960145175457001,0.06592652946710587,0.3372073173522949,0.5473989248275757,0.3885267674922943,1.0,0.2735401690006256,0.2607918381690979,1.0,0.2713715434074402,0.22068053483963013
first,0.28086137771606445,0.3049021065235138,0.2614595890045166,0.07239635288715363,0.2866097092628479,0.3482176661491394,0.31759878993034363,0.49448907375335693,0.25469130277633667,0.22215960919857025,0.49448907375335693,0.2604263722896576,0.18701928853988647
