,what,public,entity,of,learning,is,often,target,of,civil,disobedience,?
brownlee,0.1723894327878952,0.2555769383907318,0.13111089169979095,0.2697301208972931,0.14173263311386108,0.2225184291601181,0.20972153544425964,0.14138495922088623,0.2697301208972931,0.23662586510181427,0.2422027885913849,0.27307888865470886
argues,0.3211183547973633,0.21325989067554474,0.26282167434692383,0.24239063262939453,0.21068306267261505,0.2095448076725006,0.1807880848646164,0.10330189019441605,0.24239063262939453,0.17222075164318085,0.3338176906108856,0.20733967423439026
that,0.6297725439071655,0.2622828185558319,0.29692912101745605,0.41498205065727234,0.2574402689933777,0.3995479643344879,0.43873903155326843,0.21144841611385345,0.41498205065727234,0.16867391765117645,0.3551425039768219,0.32716336846351624
disobedience,0.3298627436161041,0.3216745853424072,0.2142096757888794,0.31932318210601807,0.3455619812011719,0.21453623473644257,0.2892713248729706,0.17560319602489471,0.31932318210601807,0.5442691445350647,1.0,0.19890835881233215
in,0.30808621644973755,0.29074716567993164,0.22507517039775848,0.5696388483047485,0.2443799525499344,0.5394441485404968,0.3380797803401947,0.1404450386762619,0.5696388483047485,0.26466667652130127,0.3054615259170532,0.20430970191955566
opposition,0.2798226773738861,0.20554739236831665,0.28055641055107117,0.27615541219711304,0.20356214046478271,0.21637342870235443,0.18431375920772552,0.1650802046060562,0.27615541219711304,0.22930368781089783,0.35063114762306213,0.15647298097610474
to,0.455847829580307,0.2672370672225952,0.19512765109539032,0.41548454761505127,0.2609867453575134,0.42745086550712585,0.4351843297481537,0.275001585483551,0.41548454761505127,0.2019355595111847,0.30665844678878784,0.29463258385658264
the,0.42745697498321533,0.22857438027858734,0.2403784692287445,0.733189046382904,0.2504628002643585,0.5823672413825989,0.38004449009895325,0.25054478645324707,0.733189046382904,0.2477465271949768,0.30963727831840515,0.22068053483963013
decisions,0.3351972997188568,0.23798143863677979,0.31803154945373535,0.2881335914134979,0.29808899760246277,0.2378915399312973,0.2593715190887451,0.22516711056232452,0.2881335914134979,0.24488519132137299,0.3744994103908539,0.29068708419799805
of,0.33290785551071167,0.2391265481710434,0.21258564293384552,1.0,0.23709416389465332,0.4854315221309662,0.3351972997188568,0.15346646308898926,1.0,0.24698495864868164,0.31932318210601807,0.1826142966747284
