,what,alumni,member,also,write,the,bestseller,before,i,fall,?
in,0.30808621644973755,0.2126772403717041,0.20856694877147675,0.5073733329772949,0.24632485210895538,0.6662389636039734,0.284925252199173,0.4155850410461426,0.22907796502113342,0.22958555817604065,0.20430970191955566
literature,0.22505109012126923,0.2678532302379608,0.12257016450166702,0.21301308274269104,0.38052240014076233,0.2611817419528961,0.36206966638565063,0.15505295991897583,0.1928267627954483,0.23968715965747833,0.2043706774711609
",",0.3087472915649414,0.2394251972436905,0.25757819414138794,0.4717654287815094,0.24658997356891632,0.4933079481124878,0.3041984736919403,0.3156566619873047,0.3467482030391693,0.31587862968444824,0.31091248989105225
author,0.18480391800403595,0.158415287733078,0.17877647280693054,0.2134505808353424,0.3686300218105316,0.199458509683609,0.4509630799293518,0.19011589884757996,0.17632757127285004,0.16719447076320648,0.14162757992744446
of,0.33290785551071167,0.27771928906440735,0.2701796889305115,0.4924938678741455,0.2147456258535385,0.733189046382904,0.20081837475299835,0.3282964527606964,0.25849398970603943,0.2854328155517578,0.1826142966747284
the,0.42745697498321533,0.22524002194404602,0.2806392312049866,0.6021018624305725,0.23380951583385468,1.0,0.2600448429584503,0.45900648832321167,0.26687872409820557,0.3639753758907318,0.22068053483963013
new,0.2130378633737564,0.22630517184734344,0.16893768310546875,0.30404865741729736,0.20642755925655365,0.3845241069793701,0.3006903827190399,0.3233793377876282,0.21394464373588562,0.21322742104530334,0.14782847464084625
york,0.15652963519096375,0.2654082179069519,0.13525967299938202,0.23120084404945374,0.16953237354755402,0.3034006953239441,0.37507879734039307,0.24354316294193268,0.15059059858322144,0.18688690662384033,0.15262620151042938
times,0.21414996683597565,0.20367132127285004,0.13399934768676758,0.36468109488487244,0.21372856199741364,0.29093852639198303,0.34431740641593933,0.3115774989128113,0.18352754414081573,0.11815802752971649,0.18880689144134521
bestseller,0.19411920011043549,0.2192545086145401,0.1523539274930954,0.21861454844474792,0.2868651747703552,0.2600448429584503,0.9999998807907104,0.18796101212501526,0.18021494150161743,0.20170098543167114,0.18862217664718628
before,0.3801657259464264,0.1191863939166069,0.1951834261417389,0.3703020513057709,0.22359606623649597,0.45900648832321167,0.18796101212501526,1.0,0.3053337037563324,0.26193201541900635,0.2507109045982361
