,because,speakers,are,drawn,from,across,scotland,",",what,do,the,represent,the,balance,of,?
speakers,0.19668789207935333,1.0000001192092896,0.3058508634567261,0.0648619532585144,0.1478075385093689,0.19109347462654114,0.15065990388393402,0.2619240880012512,0.24561834335327148,0.20416685938835144,0.2500099837779999,0.2984083294868469,0.2500099837779999,0.12042038887739182,0.21395252645015717,0.21979813277721405
are,0.43093472719192505,0.3058508634567261,1.0,0.18002136051654816,0.2674213647842407,0.24150612950325012,0.19172759354114532,0.4062570035457611,0.29724663496017456,0.41111594438552856,0.40399202704429626,0.3746086657047272,0.40399202704429626,0.26936018466949463,0.39081433415412903,0.24591213464736938
drawn,0.19459138810634613,0.0648619532585144,0.18002136051654816,1.0000001192092896,0.12806525826454163,0.1882861703634262,0.21480822563171387,0.2046290934085846,0.21374164521694183,0.12145733088254929,0.2380581647157669,0.2534778416156769,0.2380581647157669,0.21958297491073608,0.22420795261859894,0.15159106254577637
from,0.35139670968055725,0.1478075385093689,0.2674213647842407,0.12806525826454163,1.0,0.35845574736595154,0.14669892191886902,0.39760664105415344,0.2737620174884796,0.20424067974090576,0.40150508284568787,0.27289822697639465,0.40150508284568787,0.15597668290138245,0.4249346852302551,0.19969791173934937
across,0.266289085149765,0.19109347462654114,0.24150612950325012,0.1882861703634262,0.35845574736595154,1.0,0.17223836481571198,0.22515052556991577,0.24809791147708893,0.10507063567638397,0.3816230297088623,0.20342133939266205,0.3816230297088623,0.16511660814285278,0.2936134934425354,0.17034576833248138
scotland,0.1890520602464676,0.15065990388393402,0.19172759354114532,0.21480822563171387,0.14669892191886902,0.17223836481571198,1.0,0.21124857664108276,0.16722074151039124,0.11975225061178207,0.23846951127052307,0.15848274528980255,0.23846951127052307,0.05890163406729698,0.2208399921655655,0.09160218387842178
and,0.5069696307182312,0.20654089748859406,0.48576638102531433,0.2559950053691864,0.3601827025413513,0.3308866024017334,0.2930583655834198,0.6633074283599854,0.31309178471565247,0.276123583316803,0.5171257257461548,0.2796897888183594,0.5171257257461548,0.2617957592010498,0.5116966962814331,0.20544172823429108
are,0.43093472719192505,0.3058508634567261,1.0,0.18002136051654816,0.2674213647842407,0.24150612950325012,0.19172759354114532,0.4062570035457611,0.29724663496017456,0.41111594438552856,0.40399202704429626,0.3746086657047272,0.40399202704429626,0.26936018466949463,0.39081433415412903,0.24591213464736938
chosen,0.29670441150665283,0.10608761012554169,0.17316240072250366,0.2174224853515625,0.17282035946846008,0.08311501145362854,0.10572969168424606,0.20892350375652313,0.24263155460357666,0.17570361495018005,0.32853078842163086,0.36794552206993103,0.32853078842163086,0.16141660511493683,0.3265131711959839,0.18667186796665192
to,0.5166091918945312,0.25578445196151733,0.3504326641559601,0.1552073210477829,0.4069952368736267,0.36818596720695496,0.19875919818878174,0.44245919585227966,0.455847829580307,0.38876664638519287,0.535392165184021,0.2675820589065552,0.535392165184021,0.2728893756866455,0.41548454761505127,0.29463258385658264
represent,0.3015731871128082,0.2984083294868469,0.3746086657047272,0.2534778416156769,0.27289822697639465,0.20342133939266205,0.15848274528980255,0.26053929328918457,0.2515442371368408,0.2658964991569519,0.3288072943687439,1.0,0.3288072943687439,0.257155179977417,0.40416419506073,0.1972627341747284
the,0.44596394896507263,0.2500099837779999,0.40399202704429626,0.2380581647157669,0.40150508284568787,0.3816230297088623,0.23846951127052307,0.4933079481124878,0.42745697498321533,0.30239659547805786,1.0,0.3288072943687439,1.0,0.2858610153198242,0.733189046382904,0.22068053483963013
balance,0.3004287779331207,0.12042038887739182,0.26936018466949463,0.21958297491073608,0.15597668290138245,0.16511660814285278,0.05890163406729698,0.2039237916469574,0.25451838970184326,0.2125023752450943,0.2858610153198242,0.257155179977417,0.2858610153198242,0.9999998807907104,0.2267034351825714,0.2381676584482193
